prior,coarse_grid_size,fine_grid_size,t,relative_score_error_mean,relative_score_error_std,posterior_mean_mse_mean,posterior_mean_mse_std,score_cosine_mean,score_cosine_std
laplace,201.0,401.0,0.08,0.00010674229751408038,3.323793844313762e-05,9.53734423351049e-10,5.666358552529734e-10,0.9999999938557457,4.330176418893936e-09
laplace,201.0,401.0,0.12,6.787048926408796e-05,1.3372247015615117e-05,6.580850749991215e-10,1.884129393557184e-10,0.9999999976495572,1.0290877429223142e-09
laplace,201.0,401.0,0.18,5.418675509627654e-05,1.2293672146939051e-05,7.415441557192594e-10,2.578753661228002e-10,0.9999999984863512,5.866182852976089e-10
laplace,201.0,401.0,0.27,3.325417961655383e-05,8.571518228778952e-06,5.627105904949879e-10,2.8430582178782094e-10,0.999999999425007,2.9153856755025136e-10
laplace,201.0,401.0,0.4,2.553846441020871e-05,6.200156392081251e-06,5.77289753134877e-10,1.91602574065815e-10,0.9999999996660209,1.569148014669067e-10
laplace,201.0,401.0,0.6,1.623181375546652e-05,4.37450441234739e-06,5.205407598930056e-10,2.270944707166951e-10,0.9999999998625633,6.494416985569942e-11
laplace,201.0,401.0,0.9,8.877137700681734e-06,2.842637296574349e-06,3.347523773301064e-10,1.6004922712141924e-10,0.9999999999585786,3.0126958264087704e-11
laplace,201.0,401.0,1.3,3.980006352045121e-06,6.350724503229076e-07,2.0160808006007605e-10,6.288623315894087e-11,0.9999999999924665,2.489286284407195e-12
laplace,201.0,401.0,1.8,2.134505469319214e-06,7.094871169324623e-07,1.754352369311932e-10,1.0199117070014983e-10,0.9999999999977036,1.5076747180043808e-12
laplace,201.0,401.0,2.4,6.864520481741053e-07,2.4807658304191445e-07,5.908363612207523e-11,3.596871852610777e-11,0.9999999999997594,1.6127408722002255e-13
