family,rho,t,rep,n,n_trials,grid_size,grid_halfwidth,rel_score_gap_mean,rel_score_gap_std,score_cosine_mean,worst_boundary_mass
gaussian,0.95,0.3,0,40,200,801,12.0,2.9665579856949037e-16,1.2882917396997864e-16,1.0,3.8930244477822004e-44
gaussian,0.5,0.08,0,40,200,801,12.0,9.76970292906778e-16,2.459770398719974e-16,1.0,2.3063863959351873e-30
mixture,0.85,1.2,0,40,200,801,12.0,0.0016837341036986108,0.0011859547347498332,0.9999982415914113,2.4585387394007386e-33
mixture,0.7,1.8,0,40,200,801,12.0,0.0002405104658948896,0.00010125116948935679,0.9999999714701928,9.784649316475526e-31
mixture,0.5,0.08,0,40,200,801,12.0,0.3697212723599751,0.04202262198943783,0.9316343221189252,9.74194382941241e-78
student,0.85,0.08,0,40,200,801,20.0,0.17960163820894212,0.14059268599918456,0.9805144392968491,4.365208839224812e-09
uniform,0.85,0.3,0,40,200,1201,12.0,0.035955607919165224,0.013965454919426004,0.9993585600559021,4.386142558497272e-74
student,0.5,0.3,0,40,200,801,20.0,0.13012006686021027,0.08516303624373908,0.9904190220735793,4.085303667510588e-08
gaussian,0.85,0.5,0,40,200,801,12.0,1.7693409604146277e-16,5.273468893871385e-17,1.0,3.926395006160415e-34
gaussian,0.95,0.08,0,40,200,801,12.0,5.528905404747364e-16,2.2538613353438455e-16,1.0,2.5074255707482897e-84
mixture,0.7,0.5,0,40,200,801,12.0,0.025007807714981217,0.008301491033422509,0.9996963755328483,1.220351624519442e-46
student,0.5,2.4,0,40,200,801,20.0,0.00010929482502275248,4.504504382692432e-05,0.9999999940975971,3.367492733592622e-06
laplace,0.95,0.15,0,40,200,801,12.0,0.04706745839067557,0.025498712738708657,0.9987596402169525,4.8359849837562715e-18
student,0.5,0.8,0,40,200,801,20.0,0.026872161153138688,0.019779904252949374,0.9995767909490582,2.9262559565244095e-08
gaussian,0.7,0.5,0,40,200,801,12.0,1.7981880544497302e-16,4.4857274420072536e-17,1.0,2.744513540012964e-32
student,0.95,1.2,0,40,200,801,20.0,0.003062266603806065,0.0024982297458011446,0.9999933418877904,2.0217389996006748e-10
student,0.7,2.4,0,40,200,801,20.0,0.00013176480008357703,9.779577446168321e-05,0.9999999893035941,6.559842582642977e-06
gaussian,0.5,0.8,0,40,200,801,12.0,1.0279082105964053e-16,2.842026058548784e-17,1.0,8.411414720966025e-31
gaussian,0.7,0.3,0,40,200,801,12.0,3.326964163751182e-16,8.339318466867692e-17,1.0,5.242803776583497e-33
student,0.5,0.5,0,40,200,801,20.0,0.08316873082794726,0.0887137794500227,0.9946698699556475,5.7591659963647465e-08
student,0.7,0.15,0,40,200,801,20.0,0.168113340348402,0.12360974006168442,0.9840816271828472,2.0430533552810765e-08
student,0.95,0.8,0,40,200,801,20.0,0.0065979305693238685,0.007759244199444212,0.999960348034773,2.3129300343981304e-10
mixture,0.85,0.5,0,40,200,801,12.0,0.012992118727155045,0.006171580008477944,0.9999106550593995,1.3690131724105727e-44
laplace,0.5,0.08,0,40,200,801,12.0,0.3704721297405908,0.07373521383096868,0.9348750142223753,2.1346219563802128e-08
mixture,0.95,0.8,0,40,200,801,12.0,0.0019710958976187605,0.0012806834017725314,0.9999976419826146,1.197058545840277e-32
laplace,0.5,0.3,0,40,200,801,12.0,0.15738172469200054,0.06383374782474786,0.9878882578871472,2.052816450730309e-08
gaussian,0.5,2.4,0,40,200,801,12.0,2.4678237785401782e-17,1.7159326390356094e-17,1.0,2.6791498018342484e-31
laplace,0.85,1.2,0,40,200,801,12.0,0.005269718558542489,0.00436531095561642,0.9999816498425281,2.2701074624529863e-11
uniform,0.7,0.15,0,40,200,1201,12.0,0.18642025898574224,0.03290960470920813,0.9834604115855936,2.2334534730093144e-93
mixture,0.95,1.2,0,40,200,801,12.0,0.0008063696126882694,0.0007176756456853171,0.9999995256896093,5.168432641051204e-33
mixture,0.95,0.5,0,40,200,801,12.0,0.003870003681562668,0.0016320306312749492,0.9999922306675003,3.023322327310955e-39
mixture,0.5,0.5,0,40,200,801,12.0,0.040331290407703675,0.009900254816078514,0.9992326509035955,1.3349183098906403e-40
laplace,0.7,0.3,0,40,200,801,12.0,0.1142114072968509,0.06441416019760858,0.9930003427302095,3.542525844830975e-08
uniform,0.85,1.2,0,40,200,1201,12.0,0.0020375475532391275,0.001493520900698041,0.9999974315577638,4.621067500530985e-36
student,0.7,0.08,0,40,200,801,20.0,0.2353739661157133,0.1356736446804051,0.9711478862890075,3.5173880869526115e-08
laplace,0.7,0.08,0,40,200,801,12.0,0.30659864466817105,0.09447768054667333,0.9551604241196492,6.513879267638383e-09
gaussian,0.5,1.2,0,40,200,801,12.0,6.946217669695174e-17,2.6456811231650926e-17,1.0,2.9020967802928037e-30
mixture,0.5,1.8,0,40,200,801,12.0,0.00024177782809099886,8.396709506137296e-05,0.9999999723108113,4.872673338842982e-31
uniform,0.7,2.4,0,40,200,1201,12.0,3.211802351846753e-05,1.6069634508707774e-05,0.9999999994611971,4.8517729525601486e-32
mixture,0.7,0.08,0,40,200,801,12.0,0.26591495853950414,0.037550302266541165,0.9657484756037773,4.358246998090181e-90
uniform,0.85,0.08,0,40,200,1201,12.0,0.17604837623210273,0.031098833678943467,0.985612550185069,7.10462906199643e-216
uniform,0.95,1.8,0,40,200,1201,12.0,0.00020389405371170743,0.0001779562382965689,0.9999999687049468,2.799871464055349e-32
mixture,0.7,0.8,0,40,200,801,12.0,0.009101790951928848,0.004592097481390815,0.9999555038337599,7.437336111680879e-36
uniform,0.95,0.15,0,40,200,1201,12.0,0.027720468532737335,0.01130309500857099,0.9996091506420334,1.2725880486796106e-212
gaussian,0.85,2.4,0,40,200,801,12.0,4.4336045667756236e-17,2.139090401859336e-17,1.0,1.9330418727739822e-31
uniform,0.5,0.08,0,40,200,1201,12.0,0.46032211738322937,0.0638258035561676,0.8986303071971917,2.7071069287642396e-134
student,0.85,0.3,0,40,200,801,20.0,0.05548114029663398,0.0514306177908525,0.9978373475161768,4.6065973914767485e-09
gaussian,0.85,0.15,0,40,200,801,12.0,3.968167139559266e-16,1.3195494780668878e-16,1.0,2.0737395935270903e-44
uniform,0.85,0.5,0,40,200,1201,12.0,0.015329933919410583,0.005821471129127319,0.999881604933932,5.305450178856894e-54
student,0.7,0.8,0,40,200,801,20.0,0.022906235504289683,0.019747484741306096,0.9996319805610593,1.2553270759371137e-08
uniform,0.95,0.8,0,40,200,1201,12.0,0.002501926416642355,0.002051550874339735,0.9999955775824121,1.7667005504319722e-57
laplace,0.85,0.8,0,40,200,801,12.0,0.013409404887859062,0.007533797966963052,0.9998968710042345,1.666788102902996e-11
mixture,0.85,0.3,0,40,200,801,12.0,0.027374017562305186,0.00834662994537982,0.9996320583640032,8.788961437022458e-52
laplace,0.5,1.8,0,40,200,801,12.0,0.000716256170946859,0.0002832066254916519,0.9999997538949913,8.390862778792442e-08
uniform,0.5,0.15,0,40,200,1201,12.0,0.2862664653496532,0.03780668347942317,0.9607275693636214,2.0022099188855236e-84
student,0.95,0.08,0,40,200,801,20.0,0.07903754951355008,0.06484080039134453,0.9957237266957363,3.5190948996764693e-10
uniform,0.95,0.08,0,40,200,1201,12.0,0.05703405115767879,0.019092921308697695,0.9984247125083161,0.0
gaussian,0.85,1.8,0,40,200,801,12.0,5.4942234182457995e-17,1.9160839416723938e-17,1.0,4.5174026926623245e-30
gaussian,0.95,0.15,0,40,200,801,12.0,4.182594899065633e-16,1.951297275159381e-16,1.0,3.28408263939094e-61
gaussian,0.7,1.2,0,40,200,801,12.0,7.253305609894898e-17,2.2226453607569466e-17,1.0,5.7049125614475764e-30
student,0.5,1.8,0,40,200,801,20.0,0.0010684556696664471,0.0007743183701640884,0.9999993154802883,2.0341275275481853e-05
gaussian,0.7,2.4,0,40,200,801,12.0,3.1187717051512403e-17,1.8129723259949047e-17,1.0,2.3175181179607738e-30
gaussian,0.5,0.3,0,40,200,801,12.0,3.225535950982426e-16,7.482478419596367e-17,1.0,9.259002152898893e-29
laplace,0.95,0.3,0,40,200,801,12.0,0.021995776871541143,0.01240670127235117,0.9997343427854287,2.147191080113336e-17
uniform,0.95,0.5,0,40,200,1201,12.0,0.005748883703671952,0.0033566537463789246,0.9999806397116332,9.56333342009423e-78
uniform,0.85,0.15,0,40,200,1201,12.0,0.0917421599622696,0.024740578947485714,0.9959413328889158,6.0556449217938967e-120
gaussian,0.7,1.8,0,40,200,801,12.0,4.523754032971895e-17,1.9533641625493284e-17,1.0,1.0683261504169923e-30
student,0.5,1.2,0,40,200,801,20.0,0.008091759302487693,0.006472041769275801,0.9999589237364229,2.7253684801422796e-07
mixture,0.95,0.08,0,40,200,801,12.0,0.045340529281949225,0.01281413898266506,0.999002714882514,2.82830525738069e-111
laplace,0.5,0.15,0,40,200,801,12.0,0.2785495197568873,0.07141731948291723,0.9630819603167134,8.985334045489792e-09
gaussian,0.7,0.8,0,40,200,801,12.0,1.0693512318110658e-16,2.7359728974989277e-17,1.0,1.674227046602342e-30
gaussian,0.5,0.15,0,40,200,801,12.0,5.067991791278426e-16,1.1867172862568807e-16,1.0,3.583425530093009e-30
mixture,0.7,2.4,0,40,200,801,12.0,2.4690427512667027e-05,1.2866832509163234e-05,0.9999999996814621,7.512495755760204e-32
student,0.5,0.15,0,40,200,801,20.0,0.2156886067787575,0.11046408608168784,0.9766875989461038,3.921943129798377e-08
laplace,0.85,1.8,0,40,200,801,12.0,0.0007886571837762954,0.0005341790904866455,0.9999996228467691,8.370287829196075e-11
laplace,0.95,0.08,0,40,200,801,12.0,0.08458997295169572,0.039879630300011897,0.996271540669857,4.2889850179838385e-17
student,0.85,1.8,0,40,200,801,20.0,0.0011756065132842034,0.001455381031369947,0.9999986649067191,3.069108394765555e-06
gaussian,0.85,0.3,0,40,200,801,12.0,2.6536958811288244e-16,8.806325683535559e-17,1.0,2.949604227833405e-40
mixture,0.85,2.4,0,40,200,801,12.0,2.7279840082621473e-05,1.3464065516399028e-05,0.9999999995963894,1.3307108388030161e-30
gaussian,0.85,0.08,0,40,200,801,12.0,7.000540285050852e-16,2.427476283298775e-16,1.0,9.532436219130544e-50
mixture,0.95,0.15,0,40,200,801,12.0,0.021744309985039463,0.007390670928508089,0.9997674080191443,4.390048419136089e-73
gaussian,0.5,1.8,0,40,200,801,12.0,3.6772883441473895e-17,1.8425911870000977e-17,1.0,8.660971024397081e-31
laplace,0.7,1.8,0,40,200,801,12.0,0.0007915056154659767,0.000584028915226445,0.9999996170086675,1.8974927202235147e-08
laplace,0.95,2.4,0,40,200,801,12.0,6.796509107444073e-05,3.274408716259827e-05,0.9999999973421416,2.768320925725574e-17
mixture,0.7,0.3,0,40,200,801,12.0,0.05951857975832153,0.014073139370511654,0.9983437985530484,3.392534096187898e-55
laplace,0.5,0.8,0,40,200,801,12.0,0.029286840139480734,0.01848566304525187,0.9995111311111257,9.662487912931907e-07
student,0.95,1.8,0,40,200,801,20.0,0.0007149328141804184,0.00042003204506818305,0.9999996916727918,1.0896234790483205e-08
