sweep,parameter,t,rr_length,tt_length,rr_L95,tt_L95,rr_nn,tt_nn
kappa,0.5,0.1,4.184609537029281,7.136618682005345,9,9,0.34634823953666494,0.35913300680480625
kappa,0.5,0.4,7.068963799340337,9.22432676296667,9,9,0.04279340096418242,0.10464038637295929
kappa,0.5,0.7,8.936596982342486,9.590462655792777,9,10,0.03503978522486969,0.05642201066806197
kappa,0.5,1.5,9.694152306252017,9.668245561322717,10,10,0.01803371703573765,0.020555003967416614
kappa,1.0,0.1,3.2603718592706703,7.49359456872496,8,9,0.21643015001123805,0.35813703923393003
kappa,1.0,0.4,6.479038226043295,9.439623299585929,9,10,0.02429417670045037,0.11032606072018297
kappa,1.0,0.7,8.922643989813803,9.748327572815379,9,10,0.03488555946750959,0.07371145683545363
kappa,1.0,1.5,9.714647219856527,9.759488028178533,10,10,0.014201961463574768,0.018526272318558894
kappa,2.0,0.1,2.753458853801233,7.4709445837879604,8,9,0.10267865919204022,0.3604843051080186
kappa,2.0,0.4,6.756997711981242,9.316548406578566,9,9,0.016133414907656872,0.09162639898581282
kappa,2.0,0.7,9.65120619054898,9.598434659286767,10,10,0.029297218400184847,0.050429389993527356
kappa,2.0,1.5,9.812198219069552,9.805374922712936,10,10,0.01826663088079191,0.019460332767713903
kappa,4.0,0.1,2.736505880565695,7.486220594262185,9,9,0.03390645531242752,0.35617114372124054
kappa,4.0,0.4,7.3884723547058275,9.293219522160019,9,9,0.006166172409700568,0.08624402495176839
kappa,4.0,0.7,9.992521307477583,9.563744713963363,10,9,0.020927946392071968,0.05714109806167369
kappa,4.0,1.5,9.844729679862851,9.859104814306207,10,10,0.02033343829394687,0.020745536029828704
D_theta,0.002,0.1,2.5609232748746273,8.71069729492637,8,9,0.09650972997173385,0.31567327696494774
D_theta,0.002,0.4,7.899429884829653,9.642224720828294,10,10,0.016319642481382318,0.0813773365352485
D_theta,0.002,0.7,9.224086179303294,9.848489025698399,10,10,0.015163882521193765,0.05934715157848328
D_theta,0.002,1.5,9.903038775578107,9.890549036321346,10,10,0.020372437441914592,0.021083657126540305
D_theta,0.005,0.1,2.371206041686627,7.333661525455614,8,9,0.0956864932348479,0.34309797121785296
D_theta,0.005,0.4,7.734599208419957,9.496298427267975,9,10,0.01899093709238255,0.11123655842385788
D_theta,0.005,0.7,9.5812324288463,9.551949101030226,10,10,0.045007430144898296,0.051249993920953724
D_theta,0.005,1.5,9.805790030356551,9.796383523258989,10,10,0.020646108240910274,0.02159382702659616
D_theta,0.02,0.1,2.4405734266659995,4.711100994751254,8,9,0.10540151317009688,0.5049701403016866
D_theta,0.02,0.4,5.6031517302425105,8.06284967707866,9,9,0.01865634458584749,0.10996876702657289
D_theta,0.02,0.7,8.629873852811347,8.89914222232807,9,9,0.025934556945575008,0.050756180416523064
D_theta,0.02,1.5,9.479666166591649,9.517413629824246,10,10,0.02167867912446593,0.019424811396041297
D_theta,0.08,0.1,2.3508912490174168,2.957097237947645,7,8,0.12351085094780875,0.7579367410741038
D_theta,0.08,0.4,4.595627824791858,5.621654252106936,9,9,0.04366264759616238,0.1419662965858968
D_theta,0.08,0.7,7.2652165834670015,7.23454539904341,10,9,0.03607416826375999,0.08126133645787566
D_theta,0.08,1.5,7.7811528513003045,7.846436581349875,9,9,0.016135533292696545,0.018771983341187445
