t,radius,frames,total_relative_error,radial_relative_error,tangential_relative_error
0.03,0,1,0.7770817547595554,0.406738612661213,1.0802611622697915
0.03,1,3,0.38740777065202947,0.09216970062638476,0.5761449020514946
0.03,2,5,0.23327038569692124,0.03454046650954673,0.35039073118252306
0.03,3,7,0.19430239007724914,0.02247391352056749,0.2925668155093413
0.03,4,9,0.14635321977637042,0.02131022527037703,0.21987945671977477
0.03,5,11,0.10526687842963608,0.013130925007792353,0.15840545290955277
0.03,6,13,0.07869141308855933,0.01058309633317779,0.11832982564516668
0.03,7,15,0.05507115939898559,0.008942059659512886,0.08261666708658359
0.03,8,17,0.03910708601040653,0.005544638315701294,0.0587724367684917
0.03,9,19,0.02118202096821553,0.0029391468300715446,0.03184126964954407
0.03,10,20,0.0,0.0,0.0
0.06,0,1,0.716882936466797,0.5129048183352374,0.8291790466481459
0.06,1,3,0.31767988356993276,0.12489880525701415,0.39996532146287106
0.06,2,5,0.252265350518777,0.05809188935464237,0.3245717056993883
0.06,3,7,0.20107422032864425,0.0384052570909115,0.2596011660699519
0.06,4,9,0.1480902958039611,0.028507109616003955,0.19117233775914277
0.06,5,11,0.1328603981527942,0.023581412958087956,0.17170945213486627
0.06,6,13,0.10379685257881929,0.015753328401187018,0.13438273321814406
0.06,7,15,0.0694639398066988,0.008032257995679106,0.09011216843157367
0.06,8,17,0.04664518399248295,0.006399433281232209,0.060442643103020346
0.06,9,19,0.018825022825074235,0.0033001900285030317,0.02433343399738694
0.06,10,20,0.0,0.0,0.0
0.1,0,1,0.7931850770566886,0.793328799410527,0.7930563633148671
0.1,1,3,0.33015677553101097,0.1717958380284163,0.4244761757021984
0.1,2,5,0.21891203744000703,0.0875371504975721,0.2897788476781369
0.1,3,7,0.16221426265031003,0.04695098412415532,0.2188633674223612
0.1,4,9,0.15679263849890646,0.03619894398964348,0.21312792471080283
0.1,5,11,0.11758153506238454,0.022531691258966504,0.16046920883363408
0.1,6,13,0.0820917348182493,0.015059115023846364,0.11211719144715318
0.1,7,15,0.06542983177252104,0.012101711370719493,0.08934914684310971
0.1,8,17,0.04882744697884235,0.007173870872180912,0.066879159001898
0.1,9,19,0.020889588808115794,0.0028115807076518544,0.028636249418194842
0.1,10,20,0.0,0.0,0.0
0.2,0,1,0.6193132603875765,0.6873323423926494,0.5428584204915614
0.2,1,3,0.3201352110782152,0.24930743639743064,0.3778999705091997
0.2,2,5,0.23055389953516126,0.12314121543966342,0.30188827690675196
0.2,3,7,0.2076941425540251,0.09284128651014026,0.27864889188073466
0.2,4,9,0.17960146846248193,0.0683523137161886,0.24461018041573582
0.2,5,11,0.14252341833917465,0.042226767346151106,0.19707337703826594
0.2,6,13,0.12628135110954913,0.04023022905515,0.17398778744185342
0.2,7,15,0.09711167050312648,0.025789609538502928,0.13488499741781862
0.2,8,17,0.05797045418534352,0.012114092556426469,0.08107747845994126
0.2,9,19,0.02397034292139764,0.005002385884979906,0.03352592216812688
0.2,10,20,0.0,0.0,0.0
0.4,0,1,0.480084409049139,0.6156992348550004,0.33277314458339236
0.4,1,3,0.34756114471822314,0.4135079660334802,0.28347204352227523
0.4,2,5,0.2251994021095456,0.21457449927280067,0.2334091661317039
0.4,3,7,0.2060522691624508,0.1964124317520026,0.21350346979696117
0.4,4,9,0.13981460472899326,0.11071766919171758,0.15944297287963913
0.4,5,11,0.12711735739450844,0.09527104078512869,0.14787016083571689
0.4,6,13,0.10955722939001471,0.07405922257138967,0.1313579023580304
0.4,7,15,0.08234151587998949,0.04459150168574643,0.10315627550259197
0.4,8,17,0.06141121401575749,0.02397539603123936,0.07966830379924003
0.4,9,19,0.030404760019828624,0.014515035297361513,0.03872451538469698
0.4,10,20,0.0,0.0,0.0
0.7,0,1,0.3955199514462872,0.5366565900190756,0.20352962653497078
0.7,1,3,0.3398750911696504,0.3997794418758705,0.27709412998863314
0.7,2,5,0.29561350051081947,0.3321225372728968,0.2595239848416726
0.7,3,7,0.255435787680894,0.25936452480449784,0.2519511578174504
0.7,4,9,0.20280818782730556,0.16705868654526349,0.22954333636607052
