t,lag,mean_block_norm
0.02,0,23.112190184270904
0.02,1,6.279550020579664
0.02,2,3.0405835503773706
0.02,3,1.4723898465746283
0.02,4,0.7130670743967522
0.02,5,0.3453699587164622
0.02,6,0.1672981157522082
0.02,7,0.08105065693373739
0.02,8,0.039272531760621794
0.02,9,0.019032571435730433
0.02,10,0.009225574233684771
0.02,11,0.004472910116744118
0.02,12,0.0021692226214363583
0.02,13,0.0010523383094549518
0.02,14,0.0005107036174547416
0.02,15,0.0002479569242640464
0.02,16,0.00012045295258814039
0.02,17,5.855239100420456e-05
0.02,18,2.8485678650525285e-05
0.02,19,1.3872541534710407e-05
0.02,20,6.764898521236144e-06
0.02,21,3.3046458067614665e-06
0.02,22,1.6181407029004043e-06
0.02,23,7.949702132780997e-07
0.02,24,3.924710645869187e-07
0.02,25,1.9524687279382203e-07
0.02,26,9.840291716674872e-08
0.02,27,5.08314617175729e-08
0.02,28,2.766754074324421e-08
0.02,29,1.6948718920967834e-08
0.05,0,11.3447745369243
0.05,1,2.2324197515798034
0.05,2,1.4140019818413703
0.05,3,0.8957398234598828
0.05,4,0.567515750261604
0.05,5,0.3596214601969625
0.05,6,0.22792586269353143
0.05,7,0.14448810118889147
0.05,8,0.09161634387365089
0.05,9,0.05810725315369677
0.05,10,0.03686558212141131
0.05,11,0.023397284891976754
0.05,12,0.014855525838982784
0.05,13,0.00943667332316929
0.05,14,0.005997848250141681
0.05,15,0.003814736363427555
0.05,16,0.002428206890067699
0.05,17,0.0015471627451054365
0.05,18,0.0009869995130364821
0.05,19,0.0006306160994210392
0.05,20,0.0004037093766534141
0.05,21,0.00025911731057772766
0.05,22,0.00016689486093156725
0.05,23,0.00010802258970545571
0.05,24,7.041777109029596e-05
0.05,25,4.640545849284866e-05
0.05,26,3.1116041087583183e-05
0.05,27,2.147202586635902e-05
0.05,28,1.5551833063236027e-05
0.05,29,1.2198083588253605e-05
0.1,0,6.487066857029821
0.1,1,0.9634415928400957
0.1,2,0.7031923239234149
0.1,3,0.5133367430592886
0.1,4,0.374816664962252
0.1,5,0.27373725691458545
0.1,6,0.19996739899459837
0.1,7,0.14611961057820055
0.1,8,0.10680657312301385
0.1,9,0.07809922136372216
0.1,10,0.05713173291049785
0.1,11,0.041813578847418265
0.1,12,0.030619605191756136
0.1,13,0.022436989664540358
0.1,14,0.016453656146651285
0.1,15,0.012076910360035909
0.1,16,0.008874107204301537
0.1,17,0.006529380599100538
0.1,18,0.00481208489336172
0.1,19,0.0035537763041263866
0.1,20,0.0026314225062503333
0.1,21,0.0019551551827014122
0.1,22,0.001459337323661988
0.1,23,0.0010960504848126897
0.1,24,0.0008303508087470846
0.1,25,0.0006368210833781991
0.1,26,0.0004970774992532746
0.1,27,0.000397986636980231
0.1,28,0.0003304169410186474
0.1,29,0.0002883868339684025
0.2,0,3.7878605516626673
0.2,1,0.40932880076232536
0.2,2,0.33182112261143815
0.2,3,0.2690569608741327
0.2,4,0.2182251429897735
0.2,5,0.17705140252987142
0.2,6,0.14369572080401943
0.2,7,0.1166693146229738
0.2,8,0.09476750812302388
0.2,9,0.07701544737840528
0.2,10,0.0626241991925416
0.2,11,0.050955246457094816
0.2,12,0.04149177321259911
0.2,13,0.033815440343017845
0.2,14,0.027587601678975823
0.2,15,0.022534111481038153
0.2,16,0.018433036971456245
0.2,17,0.015104721179916781
0.2,18,0.012403747857584016
0.2,19,0.010212446452565296
0.2,20,0.008435645077228274
0.2,21,0.006996436250721719
0.2,22,0.005832766590195774
0.2,23,0.004894699659041477
0.2,24,0.004142232447148983
0.2,25,0.003543571363386558
0.2,26,0.0030737929882503415
0.2,27,0.0027138262693828744
0.2,28,0.002449692351246958
0.2,29,0.002271921432910575
0.4,0,2.3676306371854654
0.4,1,0.1775679558619657
0.4,2,0.15589384227551037
0.4,3,0.1369142844519216
0.4,4,0.12029305994052542
0.4,5,0.1057361204377837
0.4,6,0.09298629895891997
0.4,7,0.08181868364612081
0.4,8,0.07203657439352149
0.4,9,0.06346794906878768
0.4,10,0.055962375382855936
0.4,11,0.04938831257363281
0.4,12,0.04363075417584475
0.4,13,0.03858916937953615
0.4,14,0.03417570595024113
0.4,15,0.03031362249750812
0.4,16,0.026935922126356975
0.4,17,0.023984163268744856
0.4,18,0.02140742683892435
0.4,19,0.01916142184552098
0.4,20,0.01720771426675625
0.4,21,0.015513066373882754
0.4,22,0.014048875757841426
0.4,23,0.012790705007986488
0.4,24,0.0117178941587036
0.4,25,0.010813248385280614
0.4,26,0.01006279255175149
0.4,27,0.00945558145946221
0.4,28,0.00898354926483661
0.4,29,0.008641372914284571
0.7,0,1.7775193467255377
