t,cross_influence_mass,cross_radius_95,joint_vs_marginal_relative_mse,mean_score_power
0.02,23.51408530409442,5,0.9546989197350758,15.708124089900874
0.05,11.50948532011031,7,0.918737436914305,8.16816439191755
0.1,6.557599019203961,10,0.7870841465071036,4.63277682112406
0.2,3.782296396398833,12,0.6074003828649325,2.5861932869280273
0.4,2.2819876233864087,13,0.35830417381868446,1.8658534424985986
0.7,1.5892438644462716,14,0.21319325949434736,1.1759837824640378
1.0,1.2480365994033538,14,0.08930836146287097,1.1506623796872568
1.5,0.816876509761329,14,0.023629092900294617,0.9939942087799841
2.0,0.4356003723773055,14,0.005476888483793726,0.9551992929484177
3.0,0.07890188460805204,14,0.00011950655990005362,1.0089875642603905
