t,window_radius,relative_mse
0.05,0,0.918737436914305
0.05,1,0.1833186027347062
0.05,2,0.05439745159846149
0.05,3,0.021305439751624352
0.05,4,0.008462756055521003
0.05,5,0.0033139373510608296
0.05,6,0.0012849258135139467
0.05,7,0.0005488126981963386
0.05,8,0.0002249745252393505
0.05,9,9.021310349802344e-05
0.05,10,3.187511098629337e-05
0.2,0,0.6074003828649325
0.2,1,0.2137760548488293
0.2,2,0.10886220309169102
0.2,3,0.058791857556464384
0.2,4,0.03420373874411371
0.2,5,0.021381183719330232
0.2,6,0.013615967860917835
0.2,7,0.008601170691749805
0.2,8,0.0052535662796514004
0.2,9,0.0030943555325806922
0.2,10,0.001909880955275488
0.7,0,0.21319325949434736
0.7,1,0.13433949832259232
0.7,2,0.08415094350755005
0.7,3,0.06075884372099006
0.7,4,0.04343359686729866
0.7,5,0.03182677625729977
0.7,6,0.02374576106662638
0.7,7,0.018280583325664214
0.7,8,0.01355215412381202
0.7,9,0.009278805653224505
0.7,10,0.006397062386595137
1.5,0,0.023629092900294617
1.5,1,0.0198563008887913
1.5,2,0.01638971450906818
1.5,3,0.013637844779136503
1.5,4,0.011682376694060206
1.5,5,0.009694851303692997
1.5,6,0.008176464288813124
1.5,7,0.0069644315587610315
1.5,8,0.005629832001592441
1.5,9,0.0047265609659223684
1.5,10,0.003251640370038002
