t,window_radius,frames,relative_mse,relative_rmse
0.05,0,1,0.8916397880275101,0.9442667991767528
0.05,1,3,0.20027960967097908,0.4475260994299428
0.05,2,5,0.06314897903376815,0.25129460605784626
0.05,3,7,0.023402676304990145,0.1529793329341913
0.05,4,9,0.008775429618178955,0.09367726308010367
0.05,5,11,0.0037666650705429155,0.06137316246164048
0.05,6,13,0.00141248479297298,0.03758303863410967
0.05,7,15,0.0005548666062215322,0.02355560668336802
0.05,8,17,0.0002245376522365246,0.014984580482500155
0.05,9,19,9.020570514576706e-05,0.009497668405759756
0.05,10,21,3.63767873491006e-05,0.0060313172150949414
0.05,11,23,1.346370888480505e-05,0.0036692926954394155
0.05,12,25,5.292629354370018e-06,0.0023005715277665283
0.05,13,27,1.5683488023702022e-06,0.0012523373356928245
0.05,14,29,1.9743277818033893e-07,0.0004443340839732407
0.05,15,30,0.0,0.0
0.2,0,1,0.6479974667850971,0.8049828984426297
0.2,1,3,0.20206052839767313,0.4495114329999551
0.2,2,5,0.09085069129704391,0.30141448421906325
0.2,3,7,0.05288556445042838,0.22996861622932024
0.2,4,9,0.0318166689722356,0.17837227635547964
0.2,5,11,0.019130166953365623,0.13831184675712208
0.2,6,13,0.012041493821044913,0.10973374057711198
0.2,7,15,0.0079567031208035,0.0892003538154614
0.2,8,17,0.0052898355771364754,0.07273125584737607
0.2,9,19,0.003171777727498828,0.05631853804475777
0.2,10,21,0.0018304781887971775,0.042784088032785945
0.2,11,23,0.0011092294141535316,0.03330509591869586
0.2,12,25,0.0005910481838948303,0.02431148255238315
0.2,13,27,0.0002613469157443249,0.016166227628742733
0.2,14,29,4.595285895171736e-05,0.006778853808109256
0.2,15,30,0.0,0.0
0.7,0,1,0.19795868642675185,0.4449254841282435
0.7,1,3,0.11566232842374465,0.3400916470949333
0.7,2,5,0.07597539178974792,0.2756363397481325
0.7,3,7,0.05525167640261801,0.23505675145083157
0.7,4,9,0.03961020044242726,0.199023115347005
0.7,5,11,0.0295159797607732,0.1718021529573282
0.7,6,13,0.021936739784989744,0.14811056608152487
0.7,7,15,0.016768023498541403,0.12949140318392338
0.7,8,17,0.012889680410429673,0.11353272836688844
0.7,9,19,0.009589679044698915,0.09792690664316378
0.7,10,21,0.00658868591355074,0.08117072078989283
0.7,11,23,0.004627749181652992,0.06802756192642062
0.7,12,25,0.002762253230314244,0.0525571425242492
0.7,13,27,0.0014379839416198204,0.03792075871629971
0.7,14,29,0.00034108151676237776,0.018468392370815
0.7,15,30,0.0,0.0
1.5,0,1,0.02461644305623458,0.15689628120588003
1.5,1,3,0.02036361705066973,0.14270114593327457
1.5,2,5,0.017809594020797983,0.13345259091077244
1.5,3,7,0.015100480188580059,0.1228840111185343
1.5,4,9,0.013023446402227017,0.11412031546673457
1.5,5,11,0.011079141002943585,0.10525749855921708
1.5,6,13,0.009021011377692558,0.09497900493105073
1.5,7,15,0.007254256119827233,0.08517192095888898
1.5,8,17,0.005692702075227717,0.07544999718507428
1.5,9,19,0.004149859650522946,0.0644194043012115
1.5,10,21,0.0031806014089083906,0.05639682091136335
1.5,11,23,0.0024050001918592264,0.04904080129707534
1.5,12,25,0.0015136756082808898,0.03890598422197914
1.5,13,27,0.0008313835154567845,0.028833721845380706
1.5,14,29,0.00019290901078399968,0.013889168829847223
1.5,15,30,0.0,0.0
