prior,grid_size,t,alpha,delta,posterior_mean_mse_mean,posterior_mean_mse_std,score_mse_mean,score_mse_std,relative_score_error_mean,relative_score_error_std,score_cosine_mean,score_cosine_std,score_error_identity_rel_residual_mean,closure_vs_lmmse_rel_gap_mean
laplace,601.0,0.08,0.9231163463866358,0.14785621103378865,0.0031449553464828767,0.00168130818029128,0.12258807373120251,0.06553617093512001,0.19904125479029586,0.05374756366788396,0.9806467683115152,0.011772750476331402,1.1862711706679607e-15,8.517085366223746e-16
laplace,601.0,0.12,0.8869204367171575,0.21337213893344653,0.0033694064917903855,0.003040646723444755,0.058216663421073366,0.052536346478964775,0.1473384592269402,0.060941079697773445,0.9886955854321533,0.011269207559232686,1.3293711471838075e-15,6.790637357678652e-16
laplace,601.0,0.18,0.835270211411272,0.302323673928969,0.0031526158825062657,0.0027930746424007415,0.02406471554080373,0.02132024618875286,0.1031624287069846,0.038712954860908935,0.9946901465555856,0.0044013517240390375,1.4612688574408863e-15,6.365372526214589e-16
laplace,601.0,0.27,0.7633794943368531,0.41725174762601036,0.002057132216562565,0.0016104962114048315,0.00688568033253655,0.005390690009718978,0.06367446362993642,0.021578053661256712,0.998021929735753,0.0017231379196974122,2.0522646082421957e-15,5.273373181722129e-16
laplace,601.0,0.4,0.6703200460356393,0.5506710358827784,0.0019374711810274216,0.0021205484695461406,0.0028708810427670946,0.003142158944661292,0.04179378059187624,0.019831281532985384,0.9990324117085535,0.0011320890320310028,2.9983972652026608e-15,4.851881119087504e-16
laplace,601.0,0.6,0.5488116360940264,0.6988057880877978,0.001586727810247523,0.002220717429480052,0.0009786695325393424,0.001369704668043966,0.024942185851806697,0.013913815060911734,0.9996472119554621,0.00047285826895019983,4.984295117477574e-15,4.027595951252259e-16
laplace,601.0,0.9,0.4065696597405991,0.8347011117784134,0.0016559908535723183,0.005360329034679784,0.00039288539284426405,0.0012717431222652048,0.013283283037292728,0.012265364731857924,0.9998746886408526,0.00030211539171061944,1.0467952487945249e-14,3.5988814084144865e-16
laplace,601.0,1.3,0.2725317930340126,0.9257264217856661,0.0003025555924695304,0.0005317353388400958,2.6222507188584683e-05,4.6085526403096165e-05,0.0042887701047231,0.002798645953949945,0.9999889438036159,1.775946810235782e-05,2.719693363824742e-14,3.8003410999232767e-16
laplace,601.0,1.8,0.16529888822158653,0.9726762775527075,2.0723768709247445e-05,1.8362269587378908e-05,5.985107477493733e-07,5.303097064682629e-07,0.000749872935316023,0.0002391474584618515,0.9999997195329038,1.9174810520617143e-07,1.3684039110591944e-13,4.036668643843021e-16
laplace,601.0,2.4,0.09071795328941251,0.99177025295098,1.0253239870786998e-06,1.2312857835135944e-06,8.578778379231165e-09,1.0302039151893713e-08,8.6830311479753e-05,3.910259680177552e-05,0.9999999959306064,4.713798770801755e-09,1.2307989863460659e-12,6.230459814954429e-16
