prior,coarse_grid_size,fine_grid_size,t,relative_score_error_mean,relative_score_error_std,posterior_mean_mse_mean,posterior_mean_mse_std,score_cosine_mean,score_cosine_std
laplace,301.0,601.0,0.08,0.00012469491532145826,3.344666676296487e-05,1.2320830869696632e-09,5.750321086689883e-10,0.9999999917739184,4.3049077317086774e-09
laplace,301.0,601.0,0.12,6.734814407742332e-05,1.4461461764038084e-05,6.756137441135725e-10,2.9851076293988335e-10,0.9999999976878624,1.001922262122281e-09
laplace,301.0,601.0,0.18,5.0745160216953314e-05,1.1561016047072801e-05,6.86256283488716e-10,2.2515313311964329e-10,0.999999998673231,6.079640403704224e-10
laplace,301.0,601.0,0.27,3.992020970010328e-05,9.866382308199125e-06,7.646769108381295e-10,3.168772340175165e-10,0.9999999991754263,4.2151813872429657e-10
laplace,301.0,601.0,0.4,2.9106904397995342e-05,8.03709969015555e-06,7.917088489880463e-10,3.2099406094892266e-10,0.9999999995542862,2.5724313621118074e-10
laplace,301.0,601.0,0.6,1.5497446412980994e-05,3.951956125983153e-06,4.960916665625431e-10,2.418625827456882e-10,0.9999999998749991,6.196004386928516e-11
laplace,301.0,601.0,0.9,9.077185478353826e-06,2.994482466770851e-06,3.6661050131985806e-10,1.9184040041846197e-10,0.999999999956259,2.9462808615756705e-11
laplace,301.0,601.0,1.3,4.476141777813143e-06,1.1509196952055768e-06,2.372766845337145e-10,1.0869437641071653e-10,0.9999999999901015,5.112261585360917e-12
laplace,301.0,601.0,1.8,2.1609009628838596e-06,7.274044966699077e-07,1.7703085989441532e-10,1.0684082120347098e-10,0.999999999997644,1.448577707887421e-12
laplace,301.0,601.0,2.4,7.811652561131293e-07,3.194913728167361e-07,8.664791858456053e-11,7.364793229830106e-11,0.9999999999996809,2.4459339916244834e-13
