prior,grid_size,t,alpha,delta,posterior_mean_mse_mean,posterior_mean_mse_std,score_mse_mean,score_mse_std,relative_score_error_mean,relative_score_error_std,score_cosine_mean,score_cosine_std,score_error_identity_rel_residual_mean
laplace,801.0,0.08,0.9231163463866358,0.14785621103378865,0.003717806446746027,0.003391248071718053,0.1449173932856421,0.1321883851614915,0.2109520997154264,0.0889799388623385,0.9782192715509017,0.021515707240837328,1.32791425805176e-15
laplace,801.0,0.12,0.8869204367171575,0.21337213893344653,0.0033891030201207532,0.0022723026992415136,0.05855698037694275,0.039260885189975274,0.14719626179158962,0.04892377891304906,0.989358409821569,0.009381787488082181,1.1973985615427232e-15
laplace,801.0,0.18,0.835270211411272,0.302323673928969,0.0026157257032008445,0.0023364269659481673,0.01996649681605226,0.01783453881248219,0.09442839218483545,0.036468997784112944,0.9956475464128021,0.003737474595372346,1.6042548589818262e-15
laplace,801.0,0.27,0.7633794943368531,0.41725174762601036,0.0024131657201363842,0.002553984971969901,0.008077403875410618,0.008548757318318046,0.0642204477256058,0.023332670378049362,0.9979026715286028,0.001785539052724473,1.94558790859865e-15
laplace,801.0,0.4,0.6703200460356393,0.5506710358827784,0.00229842976801842,0.003401176657049838,0.003405737599480845,0.005039751653311501,0.04433655660227628,0.023745773838168883,0.9988604306861169,0.001387563040588186,2.9951510049341344e-15
laplace,801.0,0.6,0.5488116360940264,0.6988057880877978,0.0012071566994973702,0.0015638646745987316,0.0007445558558745698,0.0009645678988922355,0.023379041029540096,0.012515598084709513,0.9996949544815936,0.00043281882110886505,5.0615256486053405e-15
laplace,801.0,0.9,0.4065696597405991,0.8347011117784134,0.003419760376810928,0.005107500118531579,0.000811341376782512,0.0012117592233028447,0.021616668373014306,0.016352434669620115,0.9996494657812998,0.0005096670935568383,6.441056887762453e-15
laplace,801.0,1.3,0.2725317930340126,0.9257264217856661,1.501001118669313,5.794071262831203,0.1300918363567962,0.5021724242498145,0.1235385368129874,0.29527595333846446,0.9787710648949843,0.07543148584935087,3.0434336823808406e-15
laplace,801.0,1.8,0.16529888822158653,0.9726762775527075,3.6919077069909663,7.87680394895638,0.10662377453319485,0.22748525557812893,0.20519071466262534,0.32301254453333267,0.9504000010411756,0.11287018317335812,2.4065822030945417e-15
laplace,801.0,2.4,0.09071795328941251,0.99177025295098,0.7304410019485333,2.8469360478820174,0.006111523336807762,0.0238200156461865,0.023414270441092896,0.06788474002688913,0.9977370791667526,0.008775580803377326,2.9779536742223116e-14
