prior,coarse_grid_size,fine_grid_size,t,relative_score_error_mean,relative_score_error_std,posterior_mean_mse_mean,posterior_mean_mse_std,score_cosine_mean,score_cosine_std
laplace,401.0,801.0,0.08,6.184925237236406e-06,1.277790707715859e-06,2.954950855281916e-12,9.35638620263155e-13,0.9999999999807351,8.086956003858022e-12
laplace,401.0,801.0,0.12,3.290832051468851e-06,5.565240171919952e-07,1.5462465330717769e-12,3.839846336386573e-13,0.9999999999947309,1.8143532550268496e-12
laplace,401.0,801.0,0.18,1.3494907962666072e-06,3.1884245436369247e-07,4.966677899908007e-13,1.8537200927565118e-13,0.9999999999991581,4.221549690135038e-13
laplace,401.0,801.0,0.27,6.727107178473108e-07,1.4766235251682895e-07,2.2668927582183403e-13,8.72629816006824e-14,0.9999999999998272,8.774713304720566e-14
laplace,401.0,801.0,0.4,4.1825421603706407e-07,6.275865299682595e-08,1.5913150019327456e-13,3.6287858437111396e-14,0.9999999999999444,1.9249295123544025e-14
laplace,401.0,801.0,0.6,3.2866925670895683e-07,3.698304078906435e-08,2.1201793267306176e-13,5.000655539571912e-14,0.9999999999999643,9.193871204478613e-15
laplace,401.0,801.0,0.9,2.478083243987537e-07,3.7098256102369095e-08,2.6272203842095604e-13,8.281851662409962e-14,0.9999999999999771,6.190426775387902e-15
laplace,401.0,801.0,1.3,1.8511537322480662e-07,5.4780059873030586e-08,4.094533015641906e-13,2.0147794846951747e-13,0.9999999999999862,7.684743182891566e-15
laplace,401.0,801.0,1.8,7.43838166060993e-08,2.034277613774176e-08,2.1326781085282014e-13,1.260710571932825e-13,0.9999999999999976,1.2090731429436713e-15
laplace,401.0,801.0,2.4,3.302949956066558e-08,1.0762520413781695e-08,1.498916674443235e-13,8.441382075185334e-14,0.9999999999999996,2.895107444979072e-16
