prior,coarse_grid_size,fine_grid_size,t,relative_score_error_mean,relative_score_error_std,posterior_mean_mse_mean,posterior_mean_mse_std,score_cosine_mean,score_cosine_std
laplace,201.0,401.0,0.08,0.00011489976164029165,4.081224423182935e-05,1.0614408674932095e-09,6.528460625373544e-10,0.9999999926962465,5.656736799776325e-09
laplace,201.0,401.0,0.12,7.208993992019924e-05,1.6774374900649362e-05,7.293707039010639e-10,2.8664625336035773e-10,0.9999999972945965,1.2862322175949682e-09
laplace,201.0,401.0,0.18,5.311418795216156e-05,1.3927774546851325e-05,7.213749404545185e-10,2.7804766985704716e-10,0.9999999985308188,7.720483057664964e-10
laplace,201.0,401.0,0.27,3.817671295376532e-05,7.99745052106045e-06,7.230332570785936e-10,2.2827980145658162e-10,0.9999999992545439,3.124239886071249e-10
laplace,201.0,401.0,0.4,2.7332280752115842e-05,7.244820387253304e-06,6.796832747897759e-10,3.0154077381590296e-10,0.999999999608801,2.4056436570975943e-10
laplace,201.0,401.0,0.6,1.6086976858864847e-05,5.089011323527588e-06,5.116886515957357e-10,2.6187648919726935e-10,0.999999999861584,8.831788616309964e-11
laplace,201.0,401.0,0.9,8.51262235786757e-06,2.497219287920711e-06,3.412134517301351e-10,1.8309840110953344e-10,0.9999999999623141,2.0870431968824873e-11
laplace,201.0,401.0,1.3,4.437036059811635e-06,1.2435516600855148e-06,2.416219213360992e-10,1.1035180398275164e-10,0.9999999999901149,5.759416755565684e-12
laplace,201.0,401.0,1.8,2.249665569927521e-06,6.945700976500256e-07,1.768160437311203e-10,1.0067933037125111e-10,0.99999999999749,1.5448754620947782e-12
laplace,201.0,401.0,2.4,7.313153365032962e-07,3.0678261814137654e-07,7.303484851695273e-11,6.154298098790381e-11,0.9999999999997261,2.1959632339846392e-13
