prior,grid_size,t,alpha,delta,posterior_mean_mse_mean,posterior_mean_mse_std,score_mse_mean,score_mse_std,relative_score_error_mean,relative_score_error_std,score_cosine_mean,score_cosine_std,score_error_identity_rel_residual_mean
laplace,401.0,0.08,0.9231163463866358,0.14785621103378865,0.003713628747859795,0.0033818998380850977,0.1447545496193036,0.13182399780854084,0.210865903154187,0.08879387678432331,0.9782402921396158,0.021472822482358413,1.2524151610134116e-15
laplace,401.0,0.12,0.8869204367171575,0.21337213893344653,0.0033871763555381167,0.002269634189542347,0.05852369143308693,0.03921477863341382,0.14716455345606322,0.048900052288512984,0.9893638173461148,0.009376832225044872,1.2559294511682809e-15
laplace,401.0,0.18,0.835270211411272,0.302323673928969,0.002614244133255741,0.002334588961185111,0.019955187617402163,0.017820508856587144,0.09440610972907015,0.036447028118171014,0.9956502191498195,0.0037345514169807837,1.5128430175121487e-15
laplace,401.0,0.27,0.7633794943368531,0.41725174762601036,0.002411160476726938,0.0025499224680611077,0.008070691878488299,0.008535159211672104,0.0641999692947971,0.023314668950598052,0.9979042436266337,0.0017836326086482148,1.967840406049094e-15
laplace,401.0,0.4,0.6703200460356393,0.5506710358827784,0.0022544678020499347,0.003318626261917126,0.0033405962048951615,0.004917431194158266,0.04400177976662373,0.02331616556441667,0.9988823311845764,0.0013539697854147948,2.704562764805128e-15
laplace,401.0,0.6,0.5488116360940264,0.6988057880877978,0.0011302679594366728,0.0014276055733960212,0.0006971320527454105,0.0008805253617809183,0.022654125416977446,0.011876737987942403,0.9997177735850369,0.00039744541360420873,5.185748545738457e-15
laplace,401.0,0.9,0.4065696597405991,0.8347011117784134,0.0005638296938091845,0.0006331454396880119,0.00013376912696807302,0.0001502143530942613,0.010031252236994425,0.004737886546533932,0.9999434350120321,6.100704751477419e-05,1.0975510814843363e-14
laplace,401.0,1.3,0.2725317930340126,0.9257264217856661,0.004122006557029274,0.013135735419181631,0.0003572544988867745,0.0011384747961369294,0.009943128693688422,0.014079341333719709,0.999861524410352,0.00040573334555051916,2.0088971244811454e-14
laplace,401.0,1.8,0.16529888822158653,0.9726762775527075,7.242456929622167,19.714041339202684,0.2091650593724601,0.5693494165384816,0.217562332574104,0.5203814891376882,0.9327867413487452,0.18362406829426264,4.2453028021396496e-15
laplace,401.0,2.4,0.09071795328941251,0.99177025295098,4.022859153653115,10.972457890562293,0.033658841073620396,0.0918054056130831,0.07110628280703402,0.16016037369523328,0.988283216726359,0.031771384478117545,1.1861992001516e-14
