prior,coarse_grid_size,fine_grid_size,t,relative_score_error_mean,relative_score_error_std,posterior_mean_mse_mean,posterior_mean_mse_std,score_cosine_mean,score_cosine_std
laplace,201.0,401.0,0.08,0.0016117694572543846,0.0003883693062336816,2.026075422838893e-07,7.796132706806728e-08,0.9999986462590484,6.785075491268792e-07
laplace,201.0,401.0,0.12,0.0008894417537989762,0.0001853648436193564,1.1452917299726473e-07,3.9928351551316316e-08,0.9999995929806053,1.668551194546963e-07
laplace,201.0,401.0,0.18,0.00037972864404215963,0.0001035793213771838,3.977747662720363e-08,1.8186166067127677e-08,0.999999924083971,4.098274142948941e-08
laplace,201.0,401.0,0.27,0.0002053404050945998,5.57827786420889e-05,2.1493149501131198e-08,1.004107083126723e-08,0.9999999777714897,1.1321124848483942e-08
laplace,201.0,401.0,0.4,0.00014062956534670394,3.583235397902876e-05,1.8507556199672642e-08,8.148807048381654e-09,0.9999999898165046,5.11402352239128e-09
laplace,201.0,401.0,0.6,0.00011678180758967934,2.1404423559968427e-05,2.6322419694416675e-08,6.970712403671095e-09,0.9999999932263751,2.3392002612164446e-09
laplace,201.0,401.0,0.9,8.62922599691028e-05,2.3639100534218488e-05,3.267043627310364e-08,1.2786139118108726e-08,0.9999999961649584,1.899241860802965e-09
laplace,201.0,401.0,1.3,4.894050806094388e-05,1.1030083049268952e-05,2.8427664856074525e-08,1.0791490923161614e-08,0.999999998841028,5.24477236899888e-10
laplace,201.0,401.0,1.8,2.240762855007909e-05,7.282191486373316e-06,1.9774096874388544e-08,1.3208940439717322e-08,0.9999999997446875,1.5710469256367613e-10
laplace,201.0,401.0,2.4,9.937836576189917e-06,3.2171797295915436e-06,1.3678079719033696e-08,7.99058555916996e-09,0.9999999999511322,2.844616270586985e-11
