family,rho,n_chains,t_eval,rep,t_train,rho_hat,q_hat,rho_abs_err,n_params_learned,rel_score_err_vs_true_params
laplace,0.85,4000,0.5,4,0.15,0.8477906621802386,0.2756997178922059,0.0022093378197614033,2,0.003309378596840427
student,0.85,250,0.5,3,0.15,0.8511059881522706,0.2759439284222429,0.0011059881522705872,2,0.0010333076641057535
gaussian,0.85,500,0.5,3,0.15,0.8467336336178255,0.27957697815833793,0.0032663663821744793,2,0.0027296004163509984
mixture,0.7,500,1.2,3,0.15,0.7036661699955793,0.5112045359638426,0.003666169995579338,2,0.0020190227528156684
uniform,0.7,60,1.2,0,0.15,0.6717365135252151,0.518816435171598,0.028263486474784827,2,0.011500279464953274
student,0.85,500,0.5,1,0.15,0.8478542827691721,0.2801735813590623,0.0021457172308279038,2,0.0018328486565048552
uniform,0.7,125,0.5,2,0.15,0.6661099946159468,0.5430841661087839,0.03389000538405318,2,0.021668439683053625
uniform,0.7,125,0.15,2,0.15,0.700405081380253,0.4751025458575325,0.0004050813802530806,2,0.03506460445612257
student,0.85,125,1.2,3,0.15,0.8396566219380829,0.27201205393162897,0.010343378061917097,2,0.011413011889433278
uniform,0.7,4000,0.5,0,0.15,0.6991011141375446,0.5143966799096388,0.0008988858624553453,2,0.0019254489901818007
student,0.7,125,1.2,0,0.15,0.6914131501477182,0.505646109820658,0.008586849852281753,2,0.004919638804920454
laplace,0.85,2000,1.2,4,0.15,0.8515496566629926,0.27526316812364,0.0015496566629926711,2,0.0007864628325675977
mixture,0.85,4000,0.15,3,0.15,0.8514963548300808,0.2762297393584002,0.001496354830080815,2,0.0019897997273232884
laplace,0.7,500,0.15,3,0.15,0.6982803876956457,0.5100482029986095,0.0017196123043542455,2,0.0014124153088540417
mixture,0.7,1000,0.15,3,0.15,0.6962855840347735,0.5109262109408993,0.0037144159652264808,2,0.003217322887773502
mixture,0.7,4000,0.5,4,0.15,0.7057185059267655,0.5079426088168304,0.0057185059267655935,2,0.003936630905362331
mixture,0.7,250,0.5,2,0.15,0.7034639959508298,0.49747216257576216,0.0034639959508298013,2,0.005371112673139783
student,0.7,60,0.5,4,0.15,0.6981602800748743,0.5270151057107768,0.0018397199251256602,2,0.00791794582393495
mixture,0.7,125,0.15,3,0.15,0.6774547577935999,0.5149106287412292,0.022545242206400085,2,0.0195226227934171
mixture,0.85,500,1.2,3,0.15,0.8463633401101796,0.28777494010329024,0.003636659889820426,2,0.00199516082790882
gaussian,0.85,4000,0.15,3,0.15,0.848384657396038,0.27635468559761284,0.0016153426039620111,2,0.001974875448989135
mixture,0.7,1000,1.2,2,0.15,0.708160726015279,0.4968620459964741,0.008160726015279063,2,0.0021540562748672346
gaussian,0.7,60,0.5,1,0.15,0.6938198767387475,0.5115981239442887,0.0061801232612525014,2,0.004605095813230691
laplace,0.7,500,0.5,1,0.15,0.7065891906579117,0.49726950492692207,0.006589190657911748,2,0.005545243632967725
gaussian,0.7,4000,0.15,3,0.15,0.6950974236489017,0.5150252168021323,0.004902576351098253,2,0.0064979420143551295
gaussian,0.7,2000,0.15,4,0.15,0.701626813157156,0.5086427289527147,0.0016268131571560707,2,0.001935742842448588
student,0.7,250,1.2,1,0.15,0.6929142576170051,0.503745818597271,0.007085742382994864,2,0.004455327567695002
laplace,0.7,500,1.2,3,0.15,0.6943778995910372,0.5203776397635432,0.005622100408962716,2,0.0014323014590530553
uniform,0.7,2000,0.15,0,0.15,0.7034022023727742,0.5091971902160162,0.0034022023727742212,2,0.0029271567155546643
gaussian,0.85,4000,0.5,1,0.15,0.8512395951665458,0.27463807184160294,0.001239595166545815,2,0.001701630678568425
student,0.85,2000,0.15,3,0.15,0.8491976245218442,0.28205484434629324,0.000802375478155759,2,0.005852884160731749
uniform,0.85,250,0.15,1,0.15,0.8468938599108836,0.28171701952860567,0.0031061400891163604,2,0.005854703555804009
student,0.85,1000,0.15,1,0.15,0.8464443858876066,0.28502196308082123,0.003555614112393357,2,0.009887331567541319
mixture,0.85,2000,1.2,2,0.15,0.8508352192976577,0.2746808047582662,0.00083521929765773,2,0.0005944728906236821
uniform,0.85,125,1.2,0,0.15,0.8340150419244848,0.27023285182258244,0.015984958075515143,2,0.01685712767314532
gaussian,0.85,60,0.15,0,0.15,0.8407281442435306,0.2585618269355909,0.009271855756469383,2,0.026799368377546415
gaussian,0.7,2000,0.15,2,0.15,0.6949035538191315,0.5130998420358069,0.005096446180868464,2,0.005249901087064054
uniform,0.85,2000,1.2,3,0.15,0.8493695154484373,0.27771172626378615,0.0006304845515626711,2,0.0004956648445636355
laplace,0.85,1000,0.15,2,0.15,0.8515025855324319,0.2814370541724074,0.001502585532431877,2,0.005158416129659375
student,0.85,60,1.2,0,0.15,0.8509661916105867,0.2475551635235315,0.000966191610586753,2,0.011576243426655064
laplace,0.85,500,0.15,3,0.15,0.8432986109593809,0.27980688874980536,0.006701389040619121,2,0.005986515281473156
laplace,0.7,4000,0.15,2,0.15,0.7005483873645661,0.5091031380084822,0.0005483873645661941,2,0.0010007780953490734
gaussian,0.85,125,1.2,3,0.15,0.8347404473621138,0.28951650578863153,0.015259552637886142,2,0.009789234558932929
laplace,0.7,250,1.2,0,0.15,0.6869716189689759,0.5284286261139709,0.013028381031024105,2,0.003513700150388318
laplace,0.85,500,0.5,0,0.15,0.8496704941370259,0.28188714620167155,0.0003295058629740888,2,0.0030338473221646653
mixture,0.85,125,0.5,1,0.15,0.8582070118794708,0.27317473237156065,0.008207011879470816,2,0.00707185866383532
mixture,0.85,1000,0.5,0,0.15,0.848833567136454,0.2763480181283819,0.0011664328635460075,2,0.0018436602800507202
gaussian,0.7,1000,0.5,4,0.15,0.6903601359459004,0.5093307957529883,0.009639864054099556,2,0.008150760124860438
uniform,0.85,60,0.5,3,0.15,0.8415143874877551,0.27797957558009667,0.008485612512244889,2,0.008460823521836913
uniform,0.85,2000,1.2,4,0.15,0.85074420264947,0.2799829301304786,0.0007442026494700604,2,0.0016151202506887333
laplace,0.85,4000,0.15,4,0.15,0.8508203605951835,0.27976261698158783,0.0008203605951835335,2,0.002971422993801056
mixture,0.85,125,0.15,3,0.15,0.8475446208833384,0.28184180241152335,0.0024553791166616046,2,0.0058699598891476905
uniform,0.85,500,0.5,4,0.15,0.8514594777119081,0.2793934602796958,0.0014594777119081304,2,0.0025340458936369756
student,0.85,4000,0.15,4,0.15,0.8501088943732059,0.2826638232770028,0.00010889437320593665,2,0.006507087228962793
gaussian,0.7,60,0.5,0,0.15,0.699593666798576,0.516288966414506,0.00040633320142391405,2,0.0030733354812847824
laplace,0.85,250,0.15,3,0.15,0.8652491304436604,0.26756907369315136,0.015249130443660386,2,0.017544222972800165
student,0.7,2000,0.5,1,0.15,0.6985199095854189,0.5083282390715425,0.0014800904145810811,2,0.0018570209827546325
laplace,0.85,60,0.5,3,0.15,0.8336984481295737,0.25829173122186083,0.016301551870426256,2,0.028253525121277722
mixture,0.7,125,0.5,4,0.15,0.7093671197761939,0.5130277578260465,0.009367119776193977,2,0.008641377919620002
gaussian,0.85,250,0.15,0,0.15,0.8338958570680647,0.29253290624563794,0.016104142931935295,2,0.02245751016436812
uniform,0.85,1000,1.2,4,0.15,0.8472317395098367,0.27516129959207714,0.002768260490163321,2,0.0033321560339309975
student,0.85,250,0.15,3,0.15,0.8527228246730489,0.2729863242937362,0.0027228246730489625,2,0.006187268915563152
gaussian,0.7,250,0.5,4,0.15,0.6872487375105367,0.5183685603888603,0.012751262489463233,2,0.0084044796769301
mixture,0.7,125,1.2,3,0.15,0.7010643665423237,0.4996636640324387,0.0010643665423237803,2,0.0017964026439690021
gaussian,0.7,500,0.5,2,0.15,0.698268602719024,0.507202424193638,0.0017313972809759326,2,0.002527305921121842
laplace,0.7,500,1.2,0,0.15,0.7076484038461384,0.507155506248072,0.007648403846138407,2,0.0032310947045093553
laplace,0.85,250,0.5,2,0.15,0.8627012167495275,0.27286261910898396,0.01270121674952751,2,0.011196898826735382
laplace,0.85,500,0.5,4,0.15,0.8503830905691677,0.2782790940392489,0.0003830905691677433,2,0.0008712690248824081
student,0.85,2000,0.15,1,0.15,0.8472533899892416,0.2840773411289527,0.002746610010758377,2,0.008627875217522533
uniform,0.7,60,0.15,3,0.15,0.6961512126885022,0.5000558368969715,0.0038487873114977367,2,0.01008231770196848
uniform,0.7,2000,1.2,3,0.15,0.7058898439605599,0.5022981580064277,0.005889843960559915,2,0.0016887627397125095
gaussian,0.7,60,0.5,4,0.15,0.7183886125102757,0.481455526608895,0.018388612510275792,2,0.01364273939614044
gaussian,0.7,4000,0.5,2,0.15,0.6964296065185546,0.5092090280760556,0.0035703934814453886,2,0.0031164003150718146
mixture,0.7,250,0.15,2,0.15,0.6925063005472761,0.5063435158875869,0.007493699452723823,2,0.0069582329445979875
laplace,0.85,4000,0.5,2,0.15,0.8498470260845848,0.2775872571237016,0.00015297391541513328,2,0.00012829959321523191
mixture,0.7,4000,0.5,2,0.15,0.7004650409718896,0.5121821255905373,0.0004650409718895965,2,0.0013647056876031002
mixture,0.7,250,0.5,0,0.15,0.6898507983170238,0.5004152478603223,0.010149201682976172,2,0.012099444965357843
uniform,0.7,1000,0.15,3,0.15,0.7055622079197784,0.509435113487905,0.005562207919778461,2,0.004558110242795768
uniform,0.7,250,1.2,4,0.15,0.6979689187809145,0.4873691204929954,0.002031081219085462,2,0.005692649975814183
uniform,0.85,125,1.2,3,0.15,0.8373948743837195,0.3011422918716507,0.012605125616280466,2,0.005644376480487658
laplace,0.85,1000,0.5,0,0.15,0.8509583418072236,0.2698267898178261,0.0009583418072236505,2,0.005267355244471025
mixture,0.85,60,0.5,0,0.15,0.8466811600834626,0.2676258198817335,0.003318839916537364,2,0.009983254458287816
uniform,0.85,250,1.2,3,0.15,0.8610091371259967,0.272236232832173,0.011009137125996715,2,0.008431755594272602
laplace,0.85,250,0.5,1,0.15,0.8512230336769866,0.2677657310006958,0.001223033676986618,2,0.006683376136451719
student,0.85,250,1.2,1,0.15,0.8474292919851063,0.2703416543888776,0.0025707080148936745,2,0.004886399713114679
student,0.85,125,0.5,2,0.15,0.8477497691406018,0.29487380144689573,0.002250230859398128,2,0.0113699925568067
gaussian,0.7,60,0.15,4,0.15,0.701704853056297,0.5051094767270395,0.0017048530562970843,2,0.00503760011098257
laplace,0.85,500,0.15,0,0.15,0.8544456780998884,0.2651459931675924,0.004445678099888384,2,0.016574518633394802
gaussian,0.7,4000,1.2,3,0.15,0.6997003987984027,0.5121286815045145,0.0002996012015972216,2,0.0003394246695327891
laplace,0.7,2000,0.15,0,0.15,0.6988909055464659,0.5029686285961207,0.0011090944535340208,2,0.00679695550985394
gaussian,0.7,500,1.2,0,0.15,0.7087600672743655,0.5040294004545451,0.008760067274365513,2,0.003174646387668835
laplace,0.7,60,0.5,0,0.15,0.7030490717879985,0.5465516268594758,0.003049071787998514,2,0.01986209997227635
uniform,0.7,250,1.2,0,0.15,0.6895142863376538,0.5162621344471605,0.010485713662346186,2,0.0038359197679898286
student,0.85,4000,0.15,1,0.15,0.8511537848843944,0.275580503692093,0.0011537848843944376,2,0.002652652603090353
gaussian,0.85,2000,0.5,2,0.15,0.8524479881952832,0.2777783099666347,0.002447988195283246,2,0.0026926154624099105
uniform,0.7,250,0.5,1,0.15,0.6915274588542717,0.525838049095211,0.008472541145728263,2,0.006833012298655326
student,0.7,125,1.2,2,0.15,0.6975873477512325,0.5440086000792684,0.0024126522487674107,2,0.006124883737498176
laplace,0.7,250,1.2,1,0.15,0.7123355176464264,0.4808363370494414,0.012335517646426486,2,0.003345284994469214
