t,trial,alpha,delta,posterior_mean_mse,posterior_mean_rel_error,score_mse,score_rel_error,score_cosine,score_max_abs_error,identity_residual,grid_self_conv_rel_error,legacy_vs_analytic_max_abs_mean
0.02,0,0.9801986733067553,0.03921056084767682,0.005128429699842725,0.06377951084757068,3.204841227447402,0.589431796516509,0.8621734494534486,6.29477468422245,1.3243491753567916e-15,1.7075612179818538e-05,0.00034692128443564174
0.02,1,0.9801986733067553,0.03921056084767682,0.0015411691134433636,0.04478086202131736,0.9631022754164563,0.42430184519219516,0.9132291107281798,3.208013904095565,1.6363521047419656e-15,4.548234339681315e-05,2.3460516579143498e-05
0.02,2,0.9801986733067553,0.03921056084767682,0.000912640934079587,0.02478903148918858,0.5703245364724546,0.3352398525663398,0.943899569260653,2.1404467169192323,3.200063784686496e-15,2.9355926130268062e-05,6.204755002858775e-05
0.02,3,0.9801986733067553,0.03921056084767682,0.0013664767729600121,0.026761465078859348,0.8539341191448596,0.3903978577232693,0.9208989674091741,2.722263768986826,1.8360577968355477e-15,2.5345509836029872e-05,8.285770541149873e-05
0.02,4,0.9801986733067553,0.03921056084767682,0.0012871964244539683,0.04045345705988602,0.8043905074957888,0.39005829174343487,0.9210792754300647,2.610465575328859,1.0519428512553224e-15,3.722165769170052e-05,9.332023598207506e-06
0.02,5,0.9801986733067553,0.03921056084767682,0.0013955870555519214,0.03428849670905046,0.8721256201019767,0.3768512144971223,0.9269887206474731,1.7930887327454994,1.81221172177051e-15,2.7333266130304254e-05,2.4099757419460133e-05
0.02,6,0.9801986733067553,0.03921056084767682,0.004141512877442123,0.03538277048613794,2.588100449936534,0.6969960614989067,0.8393476423582816,6.4534895281018505,1.3540352805205875e-15,2.5314376442448213e-05,0.0037692711295389536
0.02,7,0.9801986733067553,0.03921056084767682,0.0009745480048579987,0.030777803600261874,0.609011297199084,0.3201250095278758,0.9625477267618076,1.6501630528952498,2.283944689970143e-15,2.390386638811556e-05,9.64469015141134e-06
0.02,8,0.9801986733067553,0.03921056084767682,0.0010218433057002639,0.04861963968086404,0.6385669192657113,0.3003560673827368,0.9640179948096973,1.6553110947690546,1.1687673842610704e-15,2.462817263049238e-05,3.578636717183059e-06
0.02,9,0.9801986733067553,0.03921056084767682,0.0009518524253125871,0.02493627216339025,0.5948284511302031,0.34524519358931255,0.9393832561606286,2.363695475394617,2.4904738160519394e-15,2.9323774731139563e-05,0.0003663425774598217
0.02,10,0.9801986733067553,0.03921056084767682,0.0010902604429880865,0.053536772615347665,0.6813219290985784,0.36289488047879487,0.9323923689905537,2.336516014089814,1.2439618739154993e-15,2.5905333733935225e-05,7.716528358958641e-06
0.02,11,0.9801986733067553,0.03921056084767682,0.001993306678868931,0.02945339001199732,1.2456505786910408,0.5042674785542028,0.8666292659979422,3.9515236577774813,1.4830193997394618e-15,2.7791264976650744e-05,0.0013826954131270774
0.02,12,0.9801986733067553,0.03921056084767682,0.004573416043784859,0.04359284567883837,2.858003939849387,0.6575392447823247,0.8178560971316533,7.9262317149508,9.868657269156004e-16,2.5541545289267304e-05,0.000597811870126197
0.02,13,0.9801986733067553,0.03921056084767682,0.0011081658634072501,0.028557294802087907,0.69251132486155,0.33962961707066086,0.9536496105900109,1.5405668899598077,2.3142853398094274e-15,2.200815626106979e-05,4.387616676049255e-05
0.02,14,0.9801986733067553,0.03921056084767682,0.0028050415605642997,0.045176523567812855,1.7529172405883933,0.4919606856245015,0.8957739752076693,5.133493671281516,1.3514847797511049e-15,1.5800577964376558e-05,6.195058848446067e-05
0.02,15,0.9801986733067553,0.03921056084767682,0.0008422360692154388,0.02665975729529655,0.5263273625350975,0.31327517714095326,0.9500225821016544,1.8201572320258321,1.875681584952943e-15,2.151325070787527e-05,1.7042453067439567e-05
0.02,16,0.9801986733067553,0.03921056084767682,0.0010919638096057824,0.06967257377414161,0.6823863912987755,0.3558800244109198,0.986492093710748,1.6345635797979714,6.929092659188279e-16,4.225246889283886e-05,2.8202027474444336e-06
0.02,17,0.9801986733067553,0.03921056084767682,0.0019068232140177,0.03688597865624525,1.1916056195379063,0.44566635256980064,0.8961895124865378,2.992254856752678,1.366988739133469e-15,2.5632062658744317e-05,0.00026816504347437764
0.02,18,0.9801986733067553,0.03921056084767682,0.0012539134848970307,0.07415204297547563,0.783591443629127,0.30379682045530165,0.959781325486406,1.511466079417013,1.1664097221189875e-15,2.196883201449013e-05,2.6005674229612197e-06
0.02,19,0.9801986733067553,0.03921056084767682,0.002136935064451586,0.05345666931425012,1.33540635160553,0.4787194500564157,0.8789504432623937,2.7856023708193307,1.7067237138582368e-15,2.4161465911113907e-05,1.658568100459945e-05
0.02,20,0.9801986733067553,0.03921056084767682,0.0010045125745942085,0.06252810341151889,0.6277366564364885,0.2800210475185813,0.9683321834885796,1.5080065105822493,1.2565173759622764e-15,3.390373606781566e-05,3.0066897379055213e-06
