t,rel_score_error_median,rel_score_error_q10,rel_score_error_q90,rel_score_error_max,p_rel_error_gt_0p1,cosine_median,posterior_mean_mse_median,grid_self_conv_median,legacy_artifact_median,legacy_artifact_max,identity_residual_max
0.02,0.3702725114954969,0.30404647085139114,0.5076063062632848,0.6495235128973602,1.0,0.9370620758322734,0.0011655077779492713,2.683700710891805e-05,1.6451723600541257e-05,0.003356376861110011,3.730642404656926e-15
0.05,0.24699568623420126,0.18985159622058578,0.35489219610485623,0.6024311631789665,1.0,0.9705449911304695,0.0022753109483839265,1.1375029715653581e-05,3.400966547550954e-05,0.013341248087629154,2.5808961325227426e-15
0.08,0.1752424413356231,0.14046049132311242,0.2860425593287011,0.3788549543805329,1.0,0.984823221779634,0.0025380724136987018,5.762557579146646e-06,5.284496353394341e-05,0.0033218372742371827,2.47799991419425e-15
0.12,0.12826839726425926,0.09248621735975944,0.21663316376502434,0.28184875839933915,0.8,0.9919807431753627,0.0023524854635663946,2.8339328531024907e-06,9.052820734145595e-05,0.004367257154614501,3.18434680026271e-15
0.18,0.08546713093895696,0.0668862453342212,0.16560295696349955,0.2881986640229739,0.3333333333333333,0.996575350117104,0.0021142223798455368,1.3165817809142308e-06,0.00017354460806637793,0.02114457520293289,2.3370876445928175e-15
0.27,0.05486386794667332,0.043135114726108766,0.10440112381809839,0.15734299651191685,0.11666666666666667,0.9986209080823905,0.0014221300703222747,6.128224471477786e-07,0.00040831877102509573,0.025936219897595647,3.2391334656547317e-15
0.4,0.03462477975766699,0.025829263654683392,0.07085598186515017,0.25423822729441453,0.06666666666666667,0.9994950849416115,0.001029666955122092,4.3339832807399015e-07,0.0009324579092527818,0.2850018608462568,5.216939698104459e-15
0.6,0.018390647841897343,0.01430803081952093,0.030859368726004494,0.0822146798116033,0.0,0.9998485236934083,0.0006296123712934451,3.2265478347609e-07,0.005964064861683216,0.18004696226979022,9.032192130360962e-15
0.9,0.008272832320027988,0.0068538298212082625,0.01612217291509166,0.04950982647087236,0.0,0.9999675514223223,0.00029870406553861935,2.508621584713127e-07,0.05781299509318463,3.8907396467507436,1.7742663472414865e-14
1.3,0.0033012975594181792,0.0019824665694055826,0.00696116460176472,0.01944208072906083,0.0,0.999995213404322,0.00010865995207179828,1.7263825284965325e-07,0.43026334679391764,6.203840327874523,6.052748349547484e-14
1.8,0.000623937418887037,0.00039518472273407824,0.0009500070065242264,0.0027295610096968515,0.0,0.999999830049106,1.2990432183063731e-05,8.059045863147042e-08,0.3150068460703022,6.841164137730917,3.0969939612190904e-13
2.4,7.62509130197544e-05,5.537405706986866e-05,0.00011468951484324154,0.0006705012214975606,0.0,0.9999999973940725,6.505688103313365e-07,2.6857979052995428e-08,0.09228214118338521,6.5535048224526555,2.9266926359555914e-12
