init,family,rho,t,excess_kurtosis,invariant_iters,posterior_mean_mse_median,posterior_mean_rel_median,score_mse_median,score_rel_median,score_cosine_median,score_max_abs_median
invariant,laplace,0.5,0.02,3.0,19,0.0010713503543872886,0.033324925459904224,0.6695046994377374,0.5393308923973987,0.8447681325790746,1.8930220131817335
invariant,laplace,0.5,0.05,3.0,19,0.0033110830033736124,0.06670644205581056,0.33083251466081054,0.4204588326473433,0.9087698704323919,1.5321739321246135
invariant,laplace,0.5,0.1,3.0,19,0.005633229986368381,0.09277421393542525,0.14036225121048768,0.3002721829866515,0.9557268802713201,0.7788655153834262
invariant,laplace,0.5,0.2,3.0,19,0.00896815450004117,0.13149651762031833,0.055309560437624514,0.20796478769792276,0.9784146008703634,0.5865168652889796
invariant,laplace,0.5,0.4,3.0,19,0.004610636343747229,0.12066642432761224,0.006831889219295477,0.08370591710304598,0.9972765372963306,0.17659204387529126
invariant,laplace,0.5,0.8,3.0,19,0.001569628672393411,0.08281529909195837,0.0004975163311299368,0.022589879263272033,0.9997822104326284,0.05702165491553457
invariant,laplace,0.5,1.6,3.0,19,3.428175851686033e-05,0.027772876217222194,1.518686681044746e-06,0.0014102716863148893,0.9999992741898567,0.0022524411724533927
invariant,laplace,0.5,2.4,3.0,19,3.519735011376655e-07,0.005995496698820108,2.9449254086255494e-09,6.113688652840618e-05,0.9999999986954722,9.751388534962047e-05
invariant,student_t_nu5,0.5,0.02,6.0,21,0.00023890218304304124,0.01659581133354464,0.1492939574792269,0.28294058017964974,0.966178690419328,0.8463979981835901
invariant,student_t_nu5,0.5,0.05,6.0,21,0.0013062524767401378,0.04282247419817173,0.1305164477065479,0.2688703874488234,0.9691589886127918,0.6798600657368365
invariant,student_t_nu5,0.5,0.1,6.0,21,0.0024110927679602805,0.07246260846140953,0.060076796013508224,0.2143454507029252,0.9821427492756725,0.67276091462585
invariant,student_t_nu5,0.5,0.2,6.0,21,0.0034333962175793604,0.08661348658557907,0.021174884487287257,0.12756620358077597,0.9946772601317436,0.3354293765762226
invariant,student_t_nu5,0.5,0.4,6.0,21,0.0037914667469927544,0.09977503593499243,0.00561807066593434,0.07284974760077681,0.9978494678693508,0.21204328919436044
