sweep,mode,n_train,width,n_params,test_rel_error,markov_baseline_rel_error
sample_efficiency,direct,64,64,9576,0.882941997004811,0.03142908346654971
sample_efficiency,hybrid,64,64,9576,0.22869734063216823,0.03142908346654971
sample_efficiency,direct,256,64,9576,0.7524064638612141,0.03142908346654971
sample_efficiency,hybrid,256,64,9576,0.06038912655972779,0.03142908346654971
sample_efficiency,direct,1024,64,9576,0.2926002195529049,0.03142908346654971
sample_efficiency,hybrid,1024,64,9576,0.01490953020511412,0.03142908346654971
sample_efficiency,direct,4096,64,9576,0.20182754628151695,0.03142908346654971
sample_efficiency,hybrid,4096,64,9576,0.013517271522936589,0.03142908346654971
parameter_efficiency,direct,1024,16,1656,0.7750565890577219,0.03142908346654971
parameter_efficiency,hybrid,1024,16,1656,0.0172648437357923,0.03142908346654971
parameter_efficiency,direct,1024,64,9576,0.28049820515665014,0.03142908346654971
parameter_efficiency,hybrid,1024,64,9576,0.015001781840279308,0.03142908346654971
parameter_efficiency,direct,1024,256,87336,0.32910487978576397,0.03142908346654971
parameter_efficiency,hybrid,1024,256,87336,0.034489609542575066,0.03142908346654971
