regime,n_chains,rep,n_components,rho_raw,param_raw,rho_grid,param_grid,rho_err_raw,rho_err_grid,param_err_raw,param_err_grid,rho_grid_minus_raw,param_grid_minus_raw,exkurt_raw,exkurt_grid,raw_monotone_violation
gaussian,64,0,0,0.7890243327495606,0.3627045672849808,0.7888095226572089,0.3631382307354574,-0.010975667250439414,-0.011190477342791105,0.002704567284980919,0.003138230735457548,-0.00021481009235169157,0.000433663450476629,nan,nan,nan
mixture,64,0,8,0.8239028275502255,0.36869663520687396,0.8226552515917313,0.3691397278398022,0.023902827550225436,0.022655251591731207,0.008696635206874082,0.009139727839802325,-0.0012475759584942292,0.00044309263292824363,3.158213643263453,3.2324348328998926,0.0
gaussian,64,1,0,0.8146001909334498,0.3631462014129742,0.8143973873141765,0.36358550777832876,0.014600190933449775,0.014397387314176502,0.0031462014129743365,0.003585507778328889,-0.00020280361927327295,0.0004393063653545526,nan,nan,nan
mixture,64,1,8,0.8039640229535387,0.34218589119467985,0.8035054460652082,0.3426299833617995,0.003964022953538704,0.0035054460652081953,-0.017814108805320028,-0.01737001663820037,-0.0004585768883305086,0.0004440921671196585,3.549797817505313,3.5319267274509487,0.0
gaussian,64,2,0,0.8181072557041562,0.3647470850081737,0.817905652783576,0.36519316974157195,0.018107255704156167,0.01790565278357592,0.004747085008173835,0.005193169741572079,-0.0002016029205802461,0.0004460847333982443,nan,nan,nan
mixture,64,2,8,0.7993229345680841,0.3338099594791218,0.800374829248614,0.33422580476158226,-0.0006770654319159242,0.0003748292486139837,-0.02619004052087809,-0.02577419523841762,0.0010518946805299079,0.0004158452824604697,2.8098168624201385,2.836203331569851,0.0
gaussian,64,3,0,0.8025802452058934,0.36948350883124736,0.8023685832456253,0.36992609802157,0.0025802452058933945,0.0023685832456252776,0.009483508831247489,0.009926098021570129,-0.0002116619602681169,0.00044258919032263977,nan,nan,nan
mixture,64,3,8,0.8189161813317702,0.34993805313741294,0.8214562947578143,0.3503735233510558,0.0189161813317702,0.021456294757814298,-0.010061946862586935,-0.00962647664894406,0.0025401134260440994,0.0004354702136428745,1.7518611769210368,1.7642292229130385,0.0
gaussian,64,4,0,0.8125016942868934,0.35417128468696535,0.8122987087177116,0.3546144544730575,0.012501694286893406,0.012298708717711548,-0.005828715313034527,-0.00538554552694237,-0.00020298556918185717,0.00044316978609215685,nan,nan,nan
mixture,64,4,8,0.8067940794132226,0.3622985380026937,0.8067042457982667,0.3627435666178889,0.00679407941322252,0.0067042457982666726,0.0022985380026938063,0.0027435666178890483,-8.983361495584763e-05,0.00044502861519524206,2.939581144408688,2.9607053478623513,0.0
