arm,n_chains,rep,rho_err,q_err,rho_fitted,q_fitted
clean,64,0,-0.011190477342791105,0.003138230735457548,0.7888095226572089,0.3631382307354574
noised,64,0,0.00793715330634126,-0.03567631763377549,0.8079371533063413,0.3243236823662244
clean,64,1,0.014397387314176502,0.003585507778328889,0.8143973873141765,0.36358550777832876
noised,64,1,-0.024511789695404795,0.06262585501100687,0.7754882103045952,0.42262585501100675
clean,64,2,0.01790565278357592,0.005193169741572079,0.817905652783576,0.36519316974157195
noised,64,2,0.023697502429691375,-0.010938694404938332,0.8236975024296914,0.34906130559506154
clean,128,0,-0.003349264214430714,0.005049707093712497,0.7966507357855693,0.3650497070937124
noised,128,0,-0.008998972634345126,-3.526136139159197e-05,0.7910010273656549,0.3599647386386083
clean,128,1,0.005224304084854192,0.0020723256761757125,0.8052243040848542,0.3620723256761756
noised,128,1,-0.002880160159867695,0.027806306852668883,0.7971198398401323,0.38780630685266876
clean,128,2,-0.01771127268225381,-0.0040353886140265804,0.7822887273177462,0.3559646113859733
noised,128,2,-0.017220550450635863,0.0040758117490504175,0.7827794495493642,0.3640758117490503
clean,256,0,0.008036026547009856,-0.000699327442659825,0.8080360265470099,0.35930067255734005
noised,256,0,0.005042589086627136,-0.014346942403722474,0.8050425890866272,0.3456530575962774
clean,256,1,-0.013070358898183865,-0.006008861352889694,0.7869296411018162,0.3539911386471102
noised,256,1,-0.016746752794746023,0.014735166586386683,0.783253247205254,0.37473516658638656
clean,256,2,-0.0004549256705902449,-0.008250490287903589,0.7995450743294098,0.3517495097120963
noised,256,2,0.00921620363354747,-0.0340987022084242,0.8092162036335475,0.3259012977915757
clean,512,0,-0.006529541198501465,-0.004705199397261217,0.7934704588014986,0.35529480060273866
noised,512,0,0.006562953919303616,-0.02156662950346422,0.8065629539193037,0.33843337049653566
clean,512,1,0.0028679265031501533,0.0044929033992479606,0.8028679265031502,0.36449290339924784
noised,512,1,-0.006641982660163026,0.019691267873679807,0.793358017339837,0.3796912678736797
clean,512,2,-0.0024170508420635617,0.0044748297684630844,0.7975829491579365,0.36447482976846296
noised,512,2,-0.008859386642661282,0.017116764784115612,0.7911406133573388,0.3771167647841155
clean,1024,0,0.0005017292661531059,0.006831474385423697,0.8005017292661532,0.3668314743854236
noised,1024,0,0.0035359664120789835,-0.0011313586005115561,0.803535966412079,0.3588686413994883
clean,1024,1,0.000659727967299184,-0.000942188239244468,0.8006597279672992,0.3590578117607554
noised,1024,1,-0.003592309904779656,0.00968687495455306,0.7964076900952204,0.36968687495455294
clean,1024,2,-0.0036491528931477113,-0.0007542370180201874,0.7963508471068523,0.3592457629819797
noised,1024,2,-0.0024347790823296966,-0.009553158163414788,0.7975652209176703,0.3504468418365851
