arm,n_chains,rep,n_components,rho_fitted,innovation_mean,innovation_var,innovation_excess_kurtosis,score_rel_l2_t0.2,score_rel_l2_t0.8
clean,64,0,8,0.8226552515917313,-0.011368411997982485,0.3691397278398022,3.2324348328998926,0.023363593628988485,0.023401566362054534
noised,64,0,8,0.8170319197878869,-0.001101064367714455,0.359824310971388,3.1210609689831763,0.044018049202836015,0.01936648876358156
clean,64,1,8,0.8035054460652082,0.012218383453617292,0.3426299833617995,3.5319267274509487,0.029544803386969597,0.012147587282332043
noised,64,1,8,0.8129583642773616,0.012443937004638393,0.2847190179555496,2.537148429866969,0.07479285689567175,0.031075760389290046
clean,64,2,8,0.800374829248614,-0.016696250967604957,0.33422580476158226,2.836203331569851,0.02732169163677539,0.01894533340964345
noised,64,2,8,0.7969057831004701,-0.01231127096073864,0.32681465944461013,2.029403512292544,0.048019669295244906,0.023243753816351676
clean,128,0,8,0.802366752233663,0.0005383572685467401,0.34994463191474673,2.9059995085673505,0.01027828330380917,0.003451536066046225
noised,128,0,8,0.7943200520802602,-0.0010069948718427271,0.3653474059636902,2.5027527854708067,0.03913367054223555,0.00988886330620433
clean,128,1,8,0.8076732696228176,-0.008916613457335229,0.3632325278447585,2.9112699190775393,0.01962696053310812,0.010974934987391098
noised,128,1,8,0.807811141191355,-0.009563669209367989,0.3608508172360086,4.302646141888695,0.03639017841991654,0.012837860963227409
clean,128,2,8,0.7986165240524075,-0.006582345178856221,0.3805635193338854,2.3732148088421727,0.02576620239245966,0.010115357845244291
noised,128,2,8,0.805506756325282,-0.010015545088561104,0.34748025270633354,2.048308386832378,0.03500550034658774,0.011634919093755884
clean,256,0,8,0.8005767268117473,-0.0006895405443438779,0.361504506978915,2.83661460258225,0.013223924920315157,0.0044635448719708756
noised,256,0,8,0.8000339953231564,0.0007381995240802811,0.35529296781864717,2.1803957412547748,0.044189125337540415,0.006541656184741942
clean,256,1,8,0.8008561297292166,-0.0031368625333583963,0.37679235427179025,2.847223273024026,0.017078049718636086,0.008149301342679221
noised,256,1,8,0.7922315162201847,-0.004342545699466332,0.37850566397883334,2.066011135019929,0.033396809903215946,0.008029598778404413
clean,256,2,8,0.8071664827928212,-0.0063136930104097586,0.3614610883324503,3.0939249811831413,0.009974248928411113,0.008131335560293051
noised,256,2,8,0.8119375230586867,-0.0036344608246706156,0.36183494125156546,2.825016165652376,0.02303953365665861,0.011853046701509263
clean,512,0,8,0.7964731360024714,0.00013554112634796105,0.36601972619263423,3.199586866573757,0.009893592623826733,0.0033232181089899175
noised,512,0,8,0.7825373155776353,0.0001805047523702162,0.3609379951405074,3.1137365146862797,0.03349684610286162,0.014909290153961616
clean,512,1,8,0.7960080508730557,0.002781804495576499,0.3582020255918598,3.173440769988864,0.0077430543643399,0.004763626012217455
noised,512,1,8,0.7997394639233187,0.001824000734237833,0.34759823328339945,3.110011747732015,0.02135948029830221,0.006444752930531711
clean,512,2,8,0.8024323982329482,-0.008434310198925462,0.3580585066833968,2.997547856920068,0.0065478560669867064,0.007134737039421283
noised,512,2,8,0.7964627264656273,-0.013469788146696714,0.3673962768600647,2.6114901982490295,0.022309163722484225,0.011648978512933143
clean,1024,0,8,0.8043937466048539,0.0025708883407582327,0.3638264807068674,3.016659728109156,0.00591963629536545,0.005562653743927793
noised,1024,0,8,0.8109347017432654,0.002281677463005269,0.3603263918708724,2.7294673760475296,0.01703852357257169,0.010109700353641974
clean,1024,1,8,0.798653786558776,-0.002638635857699632,0.35610673598633735,2.7620778334792577,0.006022891619397964,0.003723351829495655
noised,1024,1,8,0.7991063857326369,-0.0035082282598388626,0.346205360641576,3.220131186678107,0.026744037232417358,0.009688605332887366
clean,1024,2,8,0.7949315245956686,0.004846907576251957,0.3640459127767065,2.9437466574616833,0.007660182605458839,0.005097039838235179
noised,1024,2,8,0.7879365718399772,0.002988100293199781,0.3736926890631372,2.988550996152907,0.02043737004501274,0.007545929532088771
