rho_true,grid_size,dx,rho_hat,rho_err,b_hat,b_err,monotone_violation
0.8,201,0.08000000000000007,0.7500000000000009,0.049999999999999156,0.43734447036812013,0.013080401656191676,0.0
0.8,401,0.040000000000000036,0.7777777777777797,0.022222222222220367,0.43589434817347705,0.011630279461548598,0.0
0.8,801,0.019999999999999574,0.8076923076923083,0.00769230769230822,0.4163372790925771,0.007926789619351338,0.0
0.8,1601,0.009999999999999787,0.7916666666666669,0.008333333333333193,0.40701160191671165,0.017252466795216803,0.0
0.77,201,0.08000000000000007,0.75,0.020000000000000018,0.4541487687482475,0.0029836105190242934,0.0
0.77,401,0.040000000000000036,0.7777777777777778,0.007777777777777772,0.45572457712006503,0.0045594188908418265,0.0
0.77,801,0.019999999999999574,0.7777777777777782,0.0077777777777782164,0.44507063955110016,0.006094518678123051,0.0
0.77,1601,0.009999999999999787,0.7799999999999999,0.009999999999999898,0.466757303099499,0.01559214487027577,0.0
0.813,201,0.08000000000000007,0.750000000000001,0.06299999999999895,0.4463106076285452,0.03458800684010166,0.0
0.813,401,0.040000000000000036,0.818181818181818,0.005181818181818065,0.3978001090260103,0.013922491762433209,0.0
0.813,801,0.019999999999999574,0.822222222222223,0.00922222222222302,0.3892086082192315,0.02251399256921205,0.0
0.813,1601,0.009999999999999787,0.8200000000000003,0.007000000000000339,0.4023644877438207,0.009358113044622807,0.0
