family,route,lr,n_chains,n_evaluated_states,n_updates,logL_final,param0_err,param1_err,monotone_violation,logL_gap_to_em
gaussian,exact_m_step,nan,256,121,120,-10248.90596529489,0.005331706153496207,0.01710400174885851,0.0,0.0
gaussian,gradient,0.1,256,121,120,-10248.927356943916,0.003982584369532249,0.014732349085662788,0.0,0.02139164902473567
gaussian,gradient,0.5,256,121,120,-10248.905965294718,0.005331806440258768,0.017104222278219672,1.8189894035458565e-12,-1.7280399333685637e-10
gaussian,gradient,2.0,256,121,120,-11563.8272688904,0.38692637874146135,0.12003302837928864,1641.3779614501964,1314.921303595509
gaussian,gradient,8.0,256,121,120,-10250.5277141795,0.008993308597133098,0.01765864633508807,7147.896966205337,1.621748884608678
laplace,exact_m_step,nan,256,73,72,-10418.734168186858,0.003846153846152278,0.014301258553815865,0.0,0.0
laplace,gradient,0.1,256,121,120,-10418.530698757384,0.0019147844615567955,0.011421882453235721,0.011648706597043201,-0.2034694294743531
laplace,gradient,0.5,256,121,120,-10418.53931728712,0.0025920415942968233,0.011678487390451298,0.9227179547597189,-0.19485089973750291
laplace,gradient,2.0,256,121,120,-16340.958574476024,0.14,3.7140712982442405,3523.853102370891,5922.224406289166
laplace,gradient,8.0,256,121,120,5455.176745312181,1.8399999999999999,0.37149161064378355,8964.366536898126,-15873.91091349904
