family,t,n_components,rel_mean_error,gaussian_baseline_error,improvement_over_gaussian,seconds_per_chain,kernel_components,kernel_fit_components
laplace_kernel2,0.02,1,0.03846415198229819,0.03846414418007946,0.9999997971560965,0.006756166406248099,2,2
laplace_kernel2,0.02,2,0.007597810273014108,0.03846414418007946,5.062530228834004,0.0069743083437572295,2,2
laplace_kernel2,0.02,3,0.007604728443775439,0.03846414418007946,5.057924745697241,0.008893847437505542,2,2
laplace_kernel2,0.02,4,0.007605507709216656,0.03846414418007946,5.057406507321935,0.010006557437506558,2,2
laplace_kernel2,0.02,6,0.007607271397269465,0.03846414418007946,5.056233986063082,0.01347253543750071,2,2
laplace_kernel2,0.02,8,0.007607083945202621,0.03846414418007946,5.056358580653856,0.018116877156259648,2,2
laplace_kernel2,0.02,12,0.007607070412822682,0.03846414418007946,5.056367575518069,0.029974751999986893,2,2
laplace_kernel2,0.02,16,0.007607070407883301,0.03846414418007946,5.0563675788012405,0.04077355531249793,2,2
laplace_kernel2,0.05,1,0.0528259187835153,0.052826025673807946,1.0000020234440803,0.0051019884687377726,2,2
laplace_kernel2,0.05,2,0.009251330700449497,0.052826025673807946,5.710100242253936,0.0069036398750057515,2,2
laplace_kernel2,0.05,3,0.009256499862625266,0.052826025673807946,5.706911517073775,0.008187564718753038,2,2
laplace_kernel2,0.05,4,0.009262272836274253,0.052826025673807946,5.703354522976587,0.010109247156250944,2,2
laplace_kernel2,0.05,6,0.009276611394196431,0.052826025673807946,5.694539032523944,0.013769561906258332,2,2
laplace_kernel2,0.05,8,0.009271619573970501,0.052826025673807946,5.697604960207141,0.018811076125004433,2,2
laplace_kernel2,0.05,12,0.009270016162995592,0.052826025673807946,5.6985904603576545,0.028079032281240757,2,2
laplace_kernel2,0.05,16,0.00927001108322008,0.052826025673807946,5.698593583068082,0.041837364218750395,2,2
laplace_kernel2,0.1,1,0.05287496539976732,0.0528729484931784,0.9999618551695746,0.005209542843743975,2,2
laplace_kernel2,0.1,2,0.008323287592061876,0.0528729484931784,6.352411581164711,0.007631789187499294,2,2
laplace_kernel2,0.1,3,0.007652983551426269,0.0528729484931784,6.908802055810585,0.008800987437496133,2,2
laplace_kernel2,0.1,4,0.007643678671816204,0.0528729484931784,6.917212348045411,0.010595003187503949,2,2
laplace_kernel2,0.1,6,0.0076590997122079904,0.0528729484931784,6.903285043920131,0.014192171906245221,2,2
laplace_kernel2,0.1,8,0.007649916145994203,0.0528729484931784,6.911572294928324,0.01922692762499878,2,2
laplace_kernel2,0.1,12,0.00763495471228324,0.0528729484931784,6.925116190684868,0.029564500375002467,2,2
laplace_kernel2,0.1,16,0.007635003542033946,0.0528729484931784,6.925071901026673,0.04165509193749983,2,2
laplace_kernel2,0.2,1,0.057667750848989285,0.05766989054772156,1.000037103904709,0.004663304156252934,2,2
laplace_kernel2,0.2,2,0.017525142932027213,0.05766989054772156,3.290694448050965,0.006425762468751373,2,2
laplace_kernel2,0.2,3,0.013205674702873491,0.05766989054772156,4.367053698147878,0.00827387975000704,2,2
laplace_kernel2,0.2,4,0.013331721045038821,0.05766989054772156,4.32576486958392,0.010921621531238657,2,2
laplace_kernel2,0.2,6,0.01341242977963202,0.05766989054772156,4.299734760609779,0.01437825825000516,2,2
laplace_kernel2,0.2,8,0.013248991793783855,0.05766989054772156,4.352775776854133,0.019765528343754113,2,2
laplace_kernel2,0.2,12,0.01322442322623395,0.05766989054772156,4.360862440739109,0.02902672084375979,2,2
laplace_kernel2,0.2,16,0.013215183977128278,0.05766989054772156,4.36391128928146,0.03826296712500721,2,2
laplace_kernel2,0.4,1,0.05134247052473777,0.05134945638549897,1.0001360639776349,0.006053495218750982,2,2
laplace_kernel2,0.4,2,0.021140404173417948,0.05134945638549897,2.4289723112326316,0.006371581406256155,2,2
laplace_kernel2,0.4,3,0.01717554270629601,0.05134945638549897,2.989684650062084,0.008639451062506964,2,2
laplace_kernel2,0.4,4,0.014105810682797572,0.05134945638549897,3.6403052288317648,0.009774039874997698,2,2
laplace_kernel2,0.4,6,0.013165062501469808,0.05134945638549897,3.900433923482405,0.014287165343759511,2,2
laplace_kernel2,0.4,8,0.012584702046904024,0.05134945638549897,4.0803076778549165,0.017961429843751375,2,2
laplace_kernel2,0.4,12,0.012367244528147721,0.05134945638549897,4.1520531326625045,0.0279036485000006,2,2
laplace_kernel2,0.4,16,0.012325765252147868,0.05134945638549897,4.166025827609437,0.03779397368749926,2,2
laplace_kernel2,0.8,1,0.04450021826134553,0.04446537365887105,0.999216979065814,0.006250299156249639,2,2
laplace_kernel2,0.8,2,0.027317800092642102,0.04446537365887105,1.6277069715744625,0.006537177843753739,2,2
laplace_kernel2,0.8,3,0.0224405272034152,0.04446537365887105,1.981476337690672,0.007970667562503309,2,2
laplace_kernel2,0.8,4,0.017913419928135756,0.04446537365887105,2.482238111832091,0.0100857230000031,2,2
laplace_kernel2,0.8,6,0.01626954036738308,0.04446537365887105,2.733044244323861,0.013836666031252776,2,2
laplace_kernel2,0.8,8,0.015092236991140725,0.04446537365887105,2.9462414143756566,0.017734358343759027,2,2
laplace_kernel2,0.8,12,0.014117095414825408,0.04446537365887105,3.1497537101133894,0.027633447312496173,2,2
laplace_kernel2,0.8,16,0.013836276494684354,0.04446537365887105,3.2136806225254197,0.03806397412499507,2,2
laplace_kernel2,1.6,1,0.018220005881415507,0.017101248152121367,0.9385972904413121,0.00490718634375753,2,2
laplace_kernel2,1.6,2,0.012442673787587148,0.017101248152121367,1.3744029976243233,0.007065292218754848,2,2
laplace_kernel2,1.6,3,0.009718992436756673,0.017101248152121367,1.7595700648397898,0.008359950843754405,2,2
laplace_kernel2,1.6,4,0.009344288490574412,0.017101248152121367,1.8301284436339271,0.010549152156258401,2,2
laplace_kernel2,1.6,6,0.008351039721103126,0.017101248152121367,2.04779868414545,0.013996329718750644,2,2
laplace_kernel2,1.6,8,0.008030353178862158,0.017101248152121367,2.1295760935068224,0.01835497534375463,2,2
laplace_kernel2,1.6,12,0.007879437361042189,0.017101248152121367,2.1703641222752785,0.02812637768749937,2,2
laplace_kernel2,1.6,16,0.007783196006908206,0.017101248152121367,2.1972012701392396,0.04039304684374656,2,2
laplace_kernel4,0.02,1,0.03701319374736306,0.03700898018079972,0.9998861604164153,0.009805435937494167,4,4
laplace_kernel4,0.02,2,0.018473706467414277,0.03700898018079972,2.00333269590917,0.01380926503125579,4,4
laplace_kernel4,0.02,3,0.0034081190631609494,0.03700898018079972,10.859063165027683,0.019440252843750727,4,4
laplace_kernel4,0.02,4,0.00262005316310267,0.03700898018079972,14.12527833480052,0.027306641281256816,4,4
laplace_kernel4,0.02,6,0.0026213099892629277,0.03700898018079972,14.118505759483288,0.04267445793750824,4,4
laplace_kernel4,0.02,8,0.002620749968947313,0.03700898018079972,14.121522701253818,0.05830534409375332,4,4
laplace_kernel4,0.02,12,0.002619726707854399,0.03700898018079972,14.127038545601081,0.10442846675000794,4,4
laplace_kernel4,0.02,16,0.0026200999203154773,0.03700898018079972,14.125026260961679,0.16865501300000574,4,4
laplace_kernel4,0.05,1,0.054404296142318,0.05440100148702366,0.9999394412660771,0.009828802624994637,4,4
laplace_kernel4,0.05,2,0.016449247286623857,0.05440100148702366,3.3072030919774233,0.01380240065624605,4,4
