n_states,n_chains,n_rep,K_max_error_rmse,K_max_error_median,monotone_violation_last,n_params
3,32,8,0.06542738663959853,0.05446472875232638,0.0,6
3,64,8,0.05659613203475581,0.0538877186839877,0.0,6
3,128,8,0.04035478339640084,0.030991784178740364,0.0,6
3,256,8,0.020587921980214113,0.01628513842935836,0.0,6
3,512,8,0.017156018080941058,0.015478763219026581,0.0,6
3,1024,8,0.009624478397924524,0.010022906027534105,0.0,6
3,2048,8,0.007898830474184097,0.006813723064652888,0.0,6
4,32,8,0.23425059371858784,0.17861991974212077,0.0,12
4,64,8,0.2585751592991502,0.18104236311242136,0.0,12
4,128,8,0.16068547195937832,0.1448570374566726,0.0,12
4,256,8,0.08606473165216326,0.06390637392412181,0.0,12
4,512,8,0.07769834380448934,0.06087495788567471,0.0,12
4,1024,8,0.06273424204168321,0.03216165167403874,0.0,12
4,2048,8,0.0440968463616998,0.027912092930366422,0.0,12
6,32,8,0.4902275370897972,0.3928743975748464,0.0,30
6,64,8,0.4270323234753036,0.4211099857197977,0.0,30
6,128,8,0.26950938120045986,0.22387860261025866,0.0,30
6,256,8,0.23779322420160778,0.1755066260226068,0.0,30
6,512,8,0.26489706989436235,0.13801597863890902,0.0,30
6,1024,8,0.20602433285229196,0.08445721046431476,0.0,30
6,2048,8,0.07570347614608464,0.07593883621391717,0.0,30
8,32,8,0.7958823051506004,0.7407358304606164,0.0,56
8,64,8,0.6160315669538344,0.5929028255151451,0.0,56
8,128,8,0.501113665273942,0.5360703887909007,0.0,56
8,256,8,0.48551584728755914,0.5030166102883895,0.0,56
8,512,8,0.39873348761240873,0.3151721379278798,0.0,56
8,1024,8,0.39680567229640695,0.4244891768829725,0.0,56
8,2048,8,0.36657442696833176,0.33805501522599324,0.0,56
12,32,8,0.8529990664012967,0.862989146419517,0.0,132
12,64,8,0.7699460609203507,0.7365084013868083,0.0,132
12,128,8,0.6804604789374986,0.6817262932431871,0.0,132
12,256,8,0.4995625836196531,0.48943904411343897,0.0,132
12,512,8,0.4651789531296651,0.45706696121439916,0.0,132
12,1024,8,0.39209957437734955,0.39960644777467325,0.0,132
12,2048,8,0.36455660025345193,0.3633369315955316,0.0,132
