init,family,excess_kurtosis,rho,t,radius,rms_error,fitted_rate,fitted_rate_se,invariant_iters,rate_over_gaussian
n01,gaussian,0.0,0.95,0.05,1,0.07121351537357361,0.3874115339233043,0.004011844887549674,1,1.0
n01,gaussian,0.0,0.95,0.05,2,0.02446130194341486,0.3874115339233043,0.004011844887549674,1,1.0
n01,gaussian,0.0,0.95,0.05,3,0.010231776396371198,0.3874115339233043,0.004011844887549674,1,1.0
n01,gaussian,0.0,0.95,0.05,4,0.003964083021744276,0.3874115339233043,0.004011844887549674,1,1.0
n01,gaussian,0.0,0.95,0.05,5,0.001345192471434407,0.3874115339233043,0.004011844887549674,1,1.0
n01,gaussian,0.0,0.95,0.05,6,0.0005768179242700469,0.3874115339233043,0.004011844887549674,1,1.0
n01,gaussian,0.0,0.95,0.05,7,0.000244427545341302,0.3874115339233043,0.004011844887549674,1,1.0
n01,gaussian,0.0,0.95,0.05,8,8.744581374972818e-05,0.3874115339233043,0.004011844887549674,1,1.0
n01,gaussian,0.0,0.95,0.1,1,0.128910539958079,0.5122379045867671,0.0030530065644754547,1,1.0
n01,gaussian,0.0,0.95,0.1,2,0.06438591140995559,0.5122379045867671,0.0030530065644754547,1,1.0
n01,gaussian,0.0,0.95,0.1,3,0.03203599535752996,0.5122379045867671,0.0030530065644754547,1,1.0
n01,gaussian,0.0,0.95,0.1,4,0.01548559501528871,0.5122379045867671,0.0030530065644754547,1,1.0
n01,gaussian,0.0,0.95,0.1,5,0.008522527454409465,0.5122379045867671,0.0030530065644754547,1,1.0
n01,gaussian,0.0,0.95,0.1,6,0.004304797823005975,0.5122379045867671,0.0030530065644754547,1,1.0
n01,gaussian,0.0,0.95,0.1,7,0.0023184596041328116,0.5122379045867671,0.0030530065644754547,1,1.0
n01,gaussian,0.0,0.95,0.1,8,0.001163366267684743,0.5122379045867671,0.0030530065644754547,1,1.0
n01,gaussian,0.0,0.95,0.2,1,0.23406598040512744,0.6267934809175523,0.007034727473919403,1,1.0
n01,gaussian,0.0,0.95,0.2,2,0.13630721693042766,0.6267934809175523,0.007034727473919403,1,1.0
n01,gaussian,0.0,0.95,0.2,3,0.08219174696903439,0.6267934809175523,0.007034727473919403,1,1.0
n01,gaussian,0.0,0.95,0.2,4,0.05038174371054234,0.6267934809175523,0.007034727473919403,1,1.0
n01,gaussian,0.0,0.95,0.2,5,0.031059211260630912,0.6267934809175523,0.007034727473919403,1,1.0
n01,gaussian,0.0,0.95,0.2,6,0.019166789676163816,0.6267934809175523,0.007034727473919403,1,1.0
n01,gaussian,0.0,0.95,0.2,7,0.014110482280042918,0.6267934809175523,0.007034727473919403,1,1.0
n01,gaussian,0.0,0.95,0.2,8,0.008697118953087722,0.6267934809175523,0.007034727473919403,1,1.0
n01,gaussian,0.0,0.95,0.4,1,0.39775036270030284,0.7247181266755478,0.0068229321453753215,1,1.0
n01,gaussian,0.0,0.95,0.4,2,0.25361613094230534,0.7247181266755478,0.0068229321453753215,1,1.0
n01,gaussian,0.0,0.95,0.4,3,0.17228061174538167,0.7247181266755478,0.0068229321453753215,1,1.0
n01,gaussian,0.0,0.95,0.4,4,0.14329534665899302,0.7247181266755478,0.0068229321453753215,1,1.0
n01,gaussian,0.0,0.95,0.4,5,0.1018251746714453,0.7247181266755478,0.0068229321453753215,1,1.0
n01,gaussian,0.0,0.95,0.4,6,0.07474732090101971,0.7247181266755478,0.0068229321453753215,1,1.0
n01,gaussian,0.0,0.95,0.4,7,0.05339914233277418,0.7247181266755478,0.0068229321453753215,1,1.0
