seed,n_chains,t,method,n_params,score_rel_l2
0,128,0.1,em_bp,13,0.07645222526509741
0,128,0.1,local_cnn_oracle_r,6081,0.1463434028583122
0,128,0.1,global_mlp,25505,0.7411518422506581
0,128,0.2,em_bp,13,0.04922808894529596
0,128,0.2,local_cnn_oracle_r,6081,0.131485587244569
0,128,0.2,global_mlp,25505,0.5024809697069376
0,128,0.4,em_bp,13,0.031713394225692616
0,128,0.4,local_cnn_oracle_r,6081,0.07032306200512438
0,128,0.4,global_mlp,25505,0.304473200560917
0,128,0.8,em_bp,13,0.02327565093991855
0,128,0.8,local_cnn_oracle_r,6081,0.04670556853245443
0,128,0.8,global_mlp,25505,0.14835918791963426
0,128,1.6,em_bp,13,0.014816837381805645
0,128,1.6,local_cnn_oracle_r,6081,0.015998755138736272
0,128,1.6,global_mlp,25505,0.038271854018216735
0,512,0.1,em_bp,13,0.044826559540270955
0,512,0.1,local_cnn_oracle_r,6081,0.08872097967397008
0,512,0.1,global_mlp,25505,0.3261758025109529
0,512,0.2,em_bp,13,0.025778938598631257
0,512,0.2,local_cnn_oracle_r,6081,0.07704431675907575
0,512,0.2,global_mlp,25505,0.23577618380171858
0,512,0.4,em_bp,13,0.015693067633797932
0,512,0.4,local_cnn_oracle_r,6081,0.05791572108883712
0,512,0.4,global_mlp,25505,0.18238315007223363
0,512,0.8,em_bp,13,0.009930809676135114
0,512,0.8,local_cnn_oracle_r,6081,0.045486391402807795
0,512,0.8,global_mlp,25505,0.09198408120070714
0,512,1.6,em_bp,13,0.006233219229446134
0,512,1.6,local_cnn_oracle_r,6081,0.018476387905385794
0,512,1.6,global_mlp,25505,0.021968405166568544
0,2048,0.1,em_bp,13,0.031111638125731304
0,2048,0.1,local_cnn_oracle_r,6081,0.08382568919683434
0,2048,0.1,global_mlp,25505,0.2362387410767841
0,2048,0.2,em_bp,13,0.016962043898463317
0,2048,0.2,local_cnn_oracle_r,6081,0.09357445167031053
0,2048,0.2,global_mlp,25505,0.1711635687867769
