family,t,parameterization,arch,radius,n_params,score_rel_l2_interior
gaussian,0.1,eps,local_cnn,6,5313,0.08739002241100692
gaussian,0.1,eps,global_mlp,33,25505,0.23727193815781275
gaussian,0.2,eps,local_cnn,6,5313,0.07328198186760143
gaussian,0.2,eps,global_mlp,33,25505,0.19579887734132012
gaussian,0.4,eps,local_cnn,6,5313,0.057390732390992134
gaussian,0.4,eps,global_mlp,33,25505,0.16798154729669665
gaussian,0.8,eps,local_cnn,6,5313,0.05546457435266165
gaussian,0.8,eps,global_mlp,33,25505,0.14989043124905044
gaussian,1.6,eps,local_cnn,6,5313,0.04394478074566539
gaussian,1.6,eps,global_mlp,33,25505,0.1404222449595046
gaussian,0.1,x0,local_cnn,6,5313,0.12839968332003476
gaussian,0.1,x0,global_mlp,33,25505,0.5905946172182173
gaussian,0.2,x0,local_cnn,6,5313,0.06728373326803057
gaussian,0.2,x0,global_mlp,33,25505,0.31644872589492784
gaussian,0.4,x0,local_cnn,6,5313,0.043942316679586285
gaussian,0.4,x0,global_mlp,33,25505,0.16690161841355966
gaussian,0.8,x0,local_cnn,6,5313,0.04261439353123818
gaussian,0.8,x0,global_mlp,33,25505,0.08004331825161588
gaussian,1.6,x0,local_cnn,6,5313,0.02525003035814803
gaussian,1.6,x0,global_mlp,33,25505,0.024305986561073516
laplace,0.1,eps,local_cnn,6,5313,0.09655052914626497
laplace,0.1,eps,global_mlp,33,25505,0.28003076568130036
laplace,0.2,eps,local_cnn,6,5313,0.07304140924140401
laplace,0.2,eps,global_mlp,33,25505,0.20694198875224215
laplace,0.4,eps,local_cnn,6,5313,0.06097919747913536
laplace,0.4,eps,global_mlp,33,25505,0.16948237694858317
laplace,0.8,eps,local_cnn,6,5313,0.07627663704027873
laplace,0.8,eps,global_mlp,33,25505,0.15180242464390256
laplace,1.6,eps,local_cnn,6,5313,0.07812521244968752
laplace,1.6,eps,global_mlp,33,25505,0.14372855258947273
laplace,0.1,x0,local_cnn,6,5313,0.20304034626688733
laplace,0.1,x0,global_mlp,33,25505,0.6756959504558931
laplace,0.2,x0,local_cnn,6,5313,0.1058140693950363
laplace,0.2,x0,global_mlp,33,25505,0.35096447952891524
laplace,0.4,x0,local_cnn,6,5313,0.06126103094607402
laplace,0.4,x0,global_mlp,33,25505,0.18366556686987828
laplace,0.8,x0,local_cnn,6,5313,0.044459649812697406
laplace,0.8,x0,global_mlp,33,25505,0.0856221517113181
laplace,1.6,x0,local_cnn,6,5313,0.022675595275571045
laplace,1.6,x0,global_mlp,33,25505,0.025359192471118515
gauss_mix_kappa0.9,0.1,eps,local_cnn,6,5313,0.13638894538475912
gauss_mix_kappa0.9,0.1,eps,global_mlp,33,25505,0.32807992800264574
gauss_mix_kappa0.9,0.2,eps,local_cnn,6,5313,0.09453953557519058
gauss_mix_kappa0.9,0.2,eps,global_mlp,33,25505,0.22019479328481578
gauss_mix_kappa0.9,0.4,eps,local_cnn,6,5313,0.08881941428488573
gauss_mix_kappa0.9,0.4,eps,global_mlp,33,25505,0.16921546093216064
gauss_mix_kappa0.9,0.8,eps,local_cnn,6,5313,0.08780260580795311
gauss_mix_kappa0.9,0.8,eps,global_mlp,33,25505,0.14853328070737953
gauss_mix_kappa0.9,1.6,eps,local_cnn,6,5313,0.06387054029978982
gauss_mix_kappa0.9,1.6,eps,global_mlp,33,25505,0.13776046966293093
gauss_mix_kappa0.9,0.1,x0,local_cnn,6,5313,0.16719851491326276
gauss_mix_kappa0.9,0.1,x0,global_mlp,33,25505,0.6309330284487695
gauss_mix_kappa0.9,0.2,x0,local_cnn,6,5313,0.09237045690762355
gauss_mix_kappa0.9,0.2,x0,global_mlp,33,25505,0.3263533049216341
gauss_mix_kappa0.9,0.4,x0,local_cnn,6,5313,0.05629224755300293
gauss_mix_kappa0.9,0.4,x0,global_mlp,33,25505,0.17899502607911247
gauss_mix_kappa0.9,0.8,x0,local_cnn,6,5313,0.04356309720130067
gauss_mix_kappa0.9,0.8,x0,global_mlp,33,25505,0.08146316642650786
gauss_mix_kappa0.9,1.6,x0,local_cnn,6,5313,0.023306395265825595
gauss_mix_kappa0.9,1.6,x0,global_mlp,33,25505,0.023932256931690418
