family,excess_kurtosis,radius,receptive_field,parameterization,t,n_params,score_rel_l2_all,score_rel_l2_interior,seconds
gaussian,0.0,0,1,eps,0.1,4545,0.7825316531698641,0.7825316531698641,90.475841260999
gaussian,0.0,0,1,eps,0.2,4545,0.6820430312429316,0.6820430312429316,90.475841260999
gaussian,0.0,0,1,eps,0.4,4545,0.5120172897215498,0.5120172897215498,90.475841260999
gaussian,0.0,0,1,eps,0.8,4545,0.28969488330802406,0.28969488330802406,90.475841260999
gaussian,0.0,0,1,eps,1.6,4545,0.08483670055208492,0.08483670055208492,90.475841260999
gaussian,0.0,0,1,x0,0.1,4545,0.792417399407298,0.792417399407298,82.9692865349989
gaussian,0.0,0,1,x0,0.2,4545,0.6853626668978486,0.6853626668978486,82.9692865349989
gaussian,0.0,0,1,x0,0.4,4545,0.5113963589803296,0.5113963589803296,82.9692865349989
gaussian,0.0,0,1,x0,0.8,4545,0.28865724514491314,0.28865724514491314,82.9692865349989
gaussian,0.0,0,1,x0,1.6,4545,0.07766658836409211,0.07766658836409211,82.9692865349989
gaussian,0.0,1,3,eps,0.1,4673,0.2458111485320978,0.2284739166978531,82.90519803999996
gaussian,0.0,1,3,eps,0.2,4673,0.27635021745990934,0.2699800792672535,82.90519803999996
gaussian,0.0,1,3,eps,0.4,4673,0.27029262021945477,0.2698542284545254,82.90519803999996
gaussian,0.0,1,3,eps,0.8,4673,0.20086105278662705,0.20198732944586273,82.90519803999996
gaussian,0.0,1,3,eps,1.6,4673,0.08957391096886383,0.09008805771457605,82.90519803999996
gaussian,0.0,1,3,x0,0.1,4673,0.26125560000001824,0.24933705326866618,82.18725044100029
gaussian,0.0,1,3,x0,0.2,4673,0.2765637176134832,0.27048686156736734,82.18725044100029
gaussian,0.0,1,3,x0,0.4,4673,0.2670648193576428,0.2665173857373105,82.18725044100029
gaussian,0.0,1,3,x0,0.8,4673,0.19324287504921106,0.19437896559192006,82.18725044100029
gaussian,0.0,1,3,x0,1.6,4673,0.061765111847653195,0.06253838080985641,82.18725044100029
gaussian,0.0,2,5,eps,0.1,4801,0.14262233303827704,0.10016046471670438,89.11588640099944
gaussian,0.0,2,5,eps,0.2,4801,0.14433875170142074,0.1272789738187199,89.11588640099944
gaussian,0.0,2,5,eps,0.4,4801,0.15885392773917184,0.15511556013546796,89.11588640099944
gaussian,0.0,2,5,eps,0.8,4801,0.13841798599773353,0.13997366324949012,89.11588640099944
gaussian,0.0,2,5,eps,1.6,4801,0.05531025013500393,0.05639684291652281,89.11588640099944
gaussian,0.0,2,5,x0,0.1,4801,0.16800138965012756,0.1296466521110538,84.20594028900086
gaussian,0.0,2,5,x0,0.2,4801,0.14552460117850258,0.12579876193555828,84.20594028900086
gaussian,0.0,2,5,x0,0.4,4801,0.1553450414248964,0.15161055221688743,84.20594028900086
gaussian,0.0,2,5,x0,0.8,4801,0.1347459621972675,0.136482817990989,84.20594028900086
gaussian,0.0,2,5,x0,1.6,4801,0.049469503977038636,0.0504786698012129,84.20594028900086
gaussian,0.0,3,7,eps,0.1,4929,0.11741373927441558,0.06469146641098214,83.89972036000108
