seed,n_chains,t,method,n_params,score_rel_l2
2,32,0.1,em_bp,13,0.14389852250417187
2,32,0.1,local_cnn_oracle_r,6593,0.1789028002081878
2,32,0.1,global_mlp,25505,1.276538784891036
2,32,0.2,em_bp,13,0.08293531591913303
2,32,0.2,local_cnn_oracle_r,6593,0.14549406476286486
2,32,0.2,global_mlp,25505,0.9167203032680993
2,32,0.4,em_bp,13,0.051645614114154886
2,32,0.4,local_cnn_oracle_r,6593,0.14003766495727304
2,32,0.4,global_mlp,25505,0.5364076583324201
2,32,0.8,em_bp,13,0.04095901092416905
2,32,0.8,local_cnn_oracle_r,6593,0.09485779715217955
2,32,0.8,global_mlp,25505,0.2373481559401514
2,32,1.6,em_bp,13,0.033324584632692236
2,32,1.6,local_cnn_oracle_r,6593,0.04478214304602447
2,32,1.6,global_mlp,25505,0.0882104376089746
2,128,0.1,em_bp,13,0.16255506930067123
2,128,0.1,local_cnn_oracle_r,6593,0.09812396782898988
2,128,0.1,global_mlp,25505,0.7541833268745965
2,128,0.2,em_bp,13,0.09708832739955515
2,128,0.2,local_cnn_oracle_r,6593,0.09179132088413286
2,128,0.2,global_mlp,25505,0.4952756556486916
2,128,0.4,em_bp,13,0.05240684308841308
2,128,0.4,local_cnn_oracle_r,6593,0.1006026018232728
2,128,0.4,global_mlp,25505,0.30262366274377966
2,128,0.8,em_bp,13,0.025405616641182804
2,128,0.8,local_cnn_oracle_r,6593,0.05875448438114715
2,128,0.8,global_mlp,25505,0.14693786252148874
2,128,1.6,em_bp,13,0.011713959975104079
2,128,1.6,local_cnn_oracle_r,6593,0.02731942670186322
2,128,1.6,global_mlp,25505,0.04347975779225262
2,512,0.1,em_bp,13,0.048229668894807634
2,512,0.1,local_cnn_oracle_r,6593,0.07420002772355758
2,512,0.1,global_mlp,25505,0.33321496549255436
2,512,0.2,em_bp,13,0.027458221991649056
2,512,0.2,local_cnn_oracle_r,6593,0.07419582561083501
2,512,0.2,global_mlp,25505,0.2497557233273264
2,512,0.4,em_bp,13,0.018727826644989443
2,512,0.4,local_cnn_oracle_r,6593,0.06686512068290544
2,512,0.4,global_mlp,25505,0.209034047596826
2,512,0.8,em_bp,13,0.011126599170525957
2,512,0.8,local_cnn_oracle_r,6593,0.049118794186255935
2,512,0.8,global_mlp,25505,0.09747987521578967
2,512,1.6,em_bp,13,0.007458262147815016
2,512,1.6,local_cnn_oracle_r,6593,0.016426776761623733
2,512,1.6,global_mlp,25505,0.035872577496481435
2,2048,0.1,em_bp,13,0.032835969177512934
2,2048,0.1,local_cnn_oracle_r,6593,0.07128906062286826
2,2048,0.1,global_mlp,25505,0.22354233335767912
2,2048,0.2,em_bp,13,0.013066170669920111
2,2048,0.2,local_cnn_oracle_r,6593,0.05732195429553024
2,2048,0.2,global_mlp,25505,0.17865692604114908
2,2048,0.4,em_bp,13,0.005559726513827175
2,2048,0.4,local_cnn_oracle_r,6593,0.05233799537651581
2,2048,0.4,global_mlp,25505,0.1353678363477405
2,2048,0.8,em_bp,13,0.004782361271292452
2,2048,0.8,local_cnn_oracle_r,6593,0.03084118287846662
2,2048,0.8,global_mlp,25505,0.06912000128897049
2,2048,1.6,em_bp,13,0.0037877750010374316
2,2048,1.6,local_cnn_oracle_r,6593,0.009480047989829044
2,2048,1.6,global_mlp,25505,0.029789172106313353
