family,rho,depth,dimension,level,eigenvalue,multiplicity,t_speciation,top_eigenvalue,t_speciation_top,block_size
tree,0.7,2,4,-1,1.9701999999999997,1,0.5443146453073539,1.9701999999999997,0.5443146453073539,1
tree,0.7,2,4,0,1.0098,1,0.34901760731636067,1.9701999999999997,0.5443146453073539,4
tree,0.7,2,4,1,0.51,2,0.2060548254134165,1.9701999999999997,0.5443146453073539,2
tree,0.7,3,8,-1,2.4407959999999997,1,0.6178514199831848,2.4407959999999997,0.6178514199831848,1
tree,0.7,3,8,0,1.499604,1,0.45806615966377506,2.4407959999999997,0.6178514199831848,8
tree,0.7,3,8,1,1.0098,2,0.34901760731636067,2.4407959999999997,0.6178514199831848,4
tree,0.7,3,8,2,0.51,4,0.2060548254134165,2.4407959999999997,0.6178514199831848,2
tree,0.7,4,16,-1,2.9019800799999995,1,0.6807420685567838,2.9019800799999995,0.6807420685567838,1
tree,0.7,4,16,0,1.97961192,1,0.5458965319244834,2.9019800799999995,0.6807420685567838,16
tree,0.7,4,16,1,1.499604,2,0.45806615966377506,2.9019800799999995,0.6807420685567838,8
tree,0.7,4,16,2,1.0098,4,0.34901760731636067,2.9019800799999995,0.6807420685567838,4
tree,0.7,4,16,3,0.51,8,0.2060548254134165,2.9019800799999995,0.6807420685567838,2
tree,0.7,5,32,-1,3.353940478399999,1,0.7355406460815509,3.353940478399999,0.7355406460815509,1
tree,0.7,5,32,0,2.4500196815999997,1,0.619189967919295,3.353940478399999,0.7355406460815509,32
tree,0.7,5,32,1,1.97961192,2,0.5458965319244834,3.353940478399999,0.7355406460815509,16
tree,0.7,5,32,2,1.499604,4,0.45806615966377506,3.353940478399999,0.7355406460815509,8
tree,0.7,5,32,3,1.0098,8,0.34901760731636067,3.353940478399999,0.7355406460815509,4
tree,0.7,5,32,4,0.51,16,0.2060548254134165,3.353940478399999,0.7355406460815509,2
tree,0.7,6,64,-1,3.7968616688319985,1,0.7839809425438315,3.7968616688319985,0.7839809425438315,1
tree,0.7,6,64,0,2.9110192879679992,1,0.6818990137420246,3.7968616688319985,0.7839809425438315,64
tree,0.7,6,64,1,2.4500196815999997,2,0.619189967919295,3.7968616688319985,0.7839809425438315,32
tree,0.7,6,64,2,1.97961192,4,0.5458965319244834,3.7968616688319985,0.7839809425438315,16
tree,0.7,6,64,3,1.499604,8,0.45806615966377506,3.7968616688319985,0.7839809425438315,8
tree,0.7,6,64,4,1.0098,16,0.34901760731636067,3.7968616688319985,0.7839809425438315,4
tree,0.7,6,64,5,0.51,32,0.2060548254134165,3.7968616688319985,0.7839809425438315,2
tree,0.85,2,4,-1,2.7665124999999997,1,0.6630747535045113,2.7665124999999997,0.6630747535045113,1
tree,0.85,2,4,0,0.6784875000000001,1,0.25894654514240656,2.7665124999999997,0.6630747535045113,4
tree,0.85,2,4,1,0.2775000000000001,2,0.12245252154786125,2.7665124999999997,0.6630747535045113,2
tree,0.85,3,8,-1,4.275110562499999,1,0.831499819429059,4.275110562499999,0.831499819429059,1
tree,0.85,3,8,0,1.2579144375,1,0.4072207859812832,4.275110562499999,0.831499819429059,8
tree,0.85,3,8,1,0.6784875000000001,2,0.25894654514240656,4.275110562499999,0.831499819429059,4
tree,0.85,3,8,2,0.2775000000000001,4,0.12245252154786125,4.275110562499999,0.831499819429059,2
tree,0.85,4,16,-1,6.455034762812499,1,1.0044448056128075,6.455034762812499,1.0044448056128075,1
tree,0.85,4,16,0,2.0951863621874995,1,0.564924059138865,6.455034762812499,1.0044448056128075,16
tree,0.85,4,16,1,1.2579144375,2,0.4072207859812832,6.455034762812499,1.0044448056128075,8
tree,0.85,4,16,2,0.6784875000000001,4,0.25894654514240656,6.455034762812499,1.0044448056128075,4
tree,0.85,4,16,3,0.2775000000000001,8,0.12245252154786125,6.455034762812499,1.0044448056128075,2
tree,0.85,5,32,-1,9.60502523226406,1,1.1806639836468915,9.60502523226406,1.1806639836468915,1
tree,0.85,5,32,0,3.3050442933609374,1,0.7298937133223181,9.60502523226406,1.1806639836468915,32
tree,0.85,5,32,1,2.0951863621874995,2,0.564924059138865,9.60502523226406,1.1806639836468915,16
tree,0.85,5,32,2,1.2579144375,4,0.4072207859812832,9.60502523226406,1.1806639836468915,8
tree,0.85,5,32,3,0.6784875000000001,8,0.25894654514240656,9.60502523226406,1.1806639836468915,4
tree,0.85,5,32,4,0.2775000000000001,16,0.12245252154786125,9.60502523226406,1.1806639836468915,2
tree,0.85,6,64,-1,14.156761460621567,1,1.359223366711911,14.156761460621567,1.359223366711911,1
tree,0.85,6,64,0,5.053289003906554,1,0.9003008806675163,14.156761460621567,1.359223366711911,64
tree,0.85,6,64,1,3.3050442933609374,2,0.7298937133223181,14.156761460621567,1.359223366711911,32
tree,0.85,6,64,2,2.0951863621874995,4,0.564924059138865,14.156761460621567,1.359223366711911,16
tree,0.85,6,64,3,1.2579144375,8,0.4072207859812832,14.156761460621567,1.359223366711911,8
tree,0.85,6,64,4,0.6784875000000001,16,0.25894654514240656,14.156761460621567,1.359223366711911,4
tree,0.85,6,64,5,0.2775000000000001,32,0.12245252154786125,14.156761460621567,1.359223366711911,2
tree,0.9,2,4,-1,3.1222000000000003,1,0.70819350071353,3.1222000000000003,0.70819350071353,1
tree,0.9,2,4,0,0.4978,1,0.20199868241656482,3.1222000000000003,0.70819350071353,4
tree,0.9,2,4,1,0.18999999999999995,2,0.08697665356171899,3.1222000000000003,0.70819350071353,2
tree,0.9,3,8,-1,5.2479640000000005,1,0.9161278253384977,5.2479640000000005,0.9161278253384977,1
tree,0.9,3,8,0,0.9964360000000001,1,0.3456817954545798,5.2479640000000005,0.9161278253384977,8
tree,0.9,3,8,1,0.4978,2,0.20199868241656482,5.2479640000000005,0.9161278253384977,4
tree,0.9,3,8,2,0.18999999999999995,4,0.08697665356171899,5.2479640000000005,0.9161278253384977,2
tree,0.9,4,16,-1,8.691701680000001,1,1.135635011227901,8.691701680000001,1.135635011227901,1
tree,0.9,4,16,0,1.8042263199999997,1,0.5155638395909824,8.691701680000001,1.135635011227901,16
tree,0.9,4,16,1,0.9964360000000001,2,0.3456817954545798,8.691701680000001,1.135635011227901,8
tree,0.9,4,16,2,0.4978,4,0.20199868241656482,8.691701680000001,1.135635011227901,4
tree,0.9,4,16,3,0.18999999999999995,8,0.08697665356171899,8.691701680000001,1.135635011227901,2
tree,0.9,5,32,-1,14.270556721600002,1,1.3629632885429597,14.270556721600002,1.3629632885429597,1
tree,0.9,5,32,0,3.1128466383999998,1,0.7070577007560094,14.270556721600002,1.3629632885429597,32
tree,0.9,5,32,1,1.8042263199999997,2,0.5155638395909824,14.270556721600002,1.3629632885429597,16
tree,0.9,5,32,2,0.9964360000000001,4,0.3456817954545798,14.270556721600002,1.3629632885429597,8
tree,0.9,5,32,3,0.4978,8,0.20199868241656482,14.270556721600002,1.3629632885429597,4
tree,0.9,5,32,4,0.18999999999999995,16,0.08697665356171899,14.270556721600002,1.3629632885429597,2
tree,0.9,6,64,-1,23.308301888992006,1,1.5954089667613156,23.308301888992006,1.5954089667613156,1
tree,0.9,6,64,0,5.2328115542079985,1,0.9149137619038307,23.308301888992006,1.5954089667613156,64
tree,0.9,6,64,1,3.1128466383999998,2,0.7070577007560094,23.308301888992006,1.5954089667613156,32
tree,0.9,6,64,2,1.8042263199999997,4,0.5155638395909824,23.308301888992006,1.5954089667613156,16
tree,0.9,6,64,3,0.9964360000000001,8,0.3456817954545798,23.308301888992006,1.5954089667613156,8
tree,0.9,6,64,4,0.4978,16,0.20199868241656482,23.308301888992006,1.5954089667613156,4
tree,0.9,6,64,5,0.18999999999999995,32,0.08697665356171899,23.308301888992006,1.5954089667613156,2
