rho,n_sites,excess_entropy_rate_nats,excess_entropy_total_nats,collapse_dataset_size,log10_collapse_dataset_size
0.5,4,0.14384103622589045,0.43152310867767163,1.5396007178390023,0.18740810491245002
0.5,8,0.14384103622589045,1.0068872535812332,2.7370679428248925,0.4372855781290498
0.5,16,0.14384103622589045,2.157615543388353,8.650486337816908,0.9370405245622477
0.5,24,0.14384103622589045,3.3083438331954795,27.33980867260661,1.436795470995449
0.5,32,0.14384103622589045,4.459072123002599,86.40729654552176,1.9365504174286468
0.5,48,0.14384103622589045,6.760528702616853,863.0983975624673,2.936060310295049
0.5,64,0.14384103622589045,9.061985282231106,8621.249288622801,3.935570203161451
0.7,4,0.3366722766318828,1.0100168298956484,2.745647223584333,0.43864473585309544
0.7,8,0.3366722766318828,2.3567059364231806,10.556121582408057,1.023504383657223
0.7,16,0.3366722766318828,5.050084149478241,156.035594247799,2.193223679265477
0.7,24,0.3366722766318828,7.743462362533307,2306.4443206905394,3.3629429748737327
0.7,32,0.3366722766318828,10.436840575588363,34092.76857687633,4.532662270481985
0.7,48,0.3366722766318828,15.823597001698495,7449049.525139703,6.872100861698496
0.7,64,0.3366722766318828,21.210353427808627,1627569163.3216145,9.211539452915009
0.85,4,0.6409671728978238,1.9229015186934713,6.840778347765755,0.8351055188119572
0.85,8,0.6409671728978238,4.486770210284767,88.83406668635023,1.948579543894567
0.85,16,0.6409671728978238,9.614507593467357,14980.54432910369,4.175527594059786
0.85,24,0.6409671728978238,14.74224497664995,2526246.0311380094,6.402475644225006
0.85,32,0.6409671728978238,19.869982359832537,426013826.3094977,8.629423694390224
0.85,48,0.6409671728978238,30.125457126197723,12114898912870.047,13.083319794720664
0.85,64,0.6409671728978238,40.3809318925629,3.4452115542942445e+17,17.5372158950511
0.95,4,1.1639514504891677,3.491854351467503,32.846800780530685,1.5164930764521944
0.95,8,1.1639514504891677,8.147660153424173,3455.284763237938,3.5384838450551204
0.95,16,1.1639514504891677,17.459271757337515,38235377.49131755,7.582465382260972
0.95,24,1.1639514504891677,26.77088336125086,423103793776.341,11.626446919466826
0.95,32,1.1639514504891677,36.0824949651642,4681968168055430.0,15.670428456672678
0.95,48,1.1639514504891677,54.705718172990885,5.733126587193236e+23,23.75839153108438
0.95,64,1.1639514504891677,73.32894138081755,7.020282771045179e+31,31.84635460549608
