rho,depth,filter_level,n_leaves,n_distinct_rungs,block_size,t_speciation_top,t_speciation_bottom,ladder_span,cross_block_covariance,levels,eigenvalues,speciation_times
0.85,3,0,8,4,8,0.831499819429059,0.12245252154786125,6.790385440156597,0.37714951562499993,-1;0;1;2,4.275111;1.257914;0.678488;0.277500,0.831500;0.407221;0.258947;0.122453
0.85,3,1,8,4,4,0.831499819429059,0.12245252154786125,6.790385440156597,0.37714951562499993,-1;-2;1;2,4.275111;1.257914;0.678488;0.277500,0.831500;0.407221;0.258947;0.122453
0.85,3,2,8,3,2,0.8032565289822315,0.12245252154786125,6.5597385731928295,0.37714951562499993,-1;-2;2,3.985397;0.968201;0.277500,0.803257;0.338560;0.122453
0.85,3,3,8,2,1,0.7673622056558171,0.2420920806456674,3.1697121343632446,0.37714951562499993,-1;-2,3.640047;0.622850,0.767362;0.242092
0.85,4,0,16,5,16,1.0044448056128075,0.12245252154786125,8.202728640587566,0.27249052503906246,-1;0;1;2;3,6.455035;2.095186;1.257914;0.678488;0.277500,1.004445;0.564924;0.407221;0.258947;0.122453
0.85,4,1,16,5,8,1.0044448056128075,0.12245252154786125,8.202728640587566,0.27249052503906246,-1;-2;1;2;3,6.455035;2.095186;1.257914;0.678488;0.277500,1.004445;0.564924;0.407221;0.258947;0.122453
0.85,4,2,16,4,4,0.9755482526337311,0.12245252154786125,7.966746950592052,0.27249052503906246,-1;-2;2;3,6.036399;1.676550;0.678488;0.277500,0.975548;0.492264;0.258947;0.122453
0.85,4,3,16,3,2,0.9387672693189311,0.12245252154786125,7.666377608663686,0.27249052503906246,-1;-2;3,5.537367;1.177519;0.277500,0.938767;0.389093;0.122453
0.85,4,4,16,2,1,0.9031070706049148,0.2733403807133327,3.3039650718568856,0.27249052503906246,-1;-2,5.087358;0.727509,0.903107;0.273340
0.85,5,0,32,6,32,1.1806639836468915,0.12245252154786125,9.641810301026936,0.1968744043407226,-1;0;1;2;3;4,9.605025;3.305044;2.095186;1.257914;0.678488;0.277500,1.180664;0.729894;0.564924;0.407221;0.258947;0.122453
0.85,5,1,32,6,16,1.1806639836468915,0.12245252154786125,9.641810301026936,0.1968744043407226,-1;-2;1;2;3;4,9.605025;3.305044;2.095186;1.257914;0.678488;0.277500,1.180664;0.729894;0.564924;0.407221;0.258947;0.122453
0.85,5,2,32,5,8,1.1512973598077219,0.12245252154786125,9.401989810048386,0.1968744043407226,-1;-2;2;3;4,9.000096;2.700115;1.257914;0.678488;0.277500,1.151297;0.654182;0.407221;0.258947;0.122453
0.85,5,3,32,4,4,1.1138766660286772,0.12245252154786125,9.096396317109013,0.1968744043407226,-1;-2;3;4,8.278996;1.979015;0.678488;0.277500,1.113877;0.545796;0.258947;0.122453
0.85,5,4,32,3,2,1.077548790037732,0.12245252154786125,8.799727244624899,0.1968744043407226,-1;-2;4,7.628732;1.328751;0.277500,1.077549;0.422666;0.122453
0.85,5,5,32,2,1,1.046123755468905,0.2947608005312861,3.5490599617837195,0.1968744043407226,-1;-2,7.103107;0.803126,1.046124;0.294761
0.85,6,0,64,7,64,1.359223366711911,0.12245252154786125,11.100003083077802,0.14224175713617207,-1;0;1;2;3;4;5,14.156761;5.053289;3.305044;2.095186;1.257914;0.678488;0.277500,1.359223;0.900301;0.729894;0.564924;0.407221;0.258947;0.122453
0.85,6,1,64,7,32,1.359223366711911,0.12245252154786125,11.100003083077802,0.14224175713617207,-1;-2;1;2;3;4;5,14.156761;5.053289;3.305044;2.095186;1.257914;0.678488;0.277500,1.359223;0.900301;0.729894;0.564924;0.407221;0.258947;0.122453
