n_components,n_chains,seed,iter,log_evidence,seconds
4,2048,0,0,-447727.79949065374,13.742224432062358
4,2048,0,1,-439097.4107654402,13.81513544707559
4,2048,0,2,-433285.779144839,13.753206910099834
4,2048,0,3,-429316.3486363047,13.907182918861508
4,2048,0,4,-426540.93727175985,13.922761471010745
4,2048,0,5,-424552.83363445505,13.784274738980457
4,2048,0,6,-423098.9479834578,13.920675084926188
4,2048,0,7,-422017.9223043682,13.952598543837667
4,2048,0,8,-421203.26759962726,13.771112974965945
4,2048,0,9,-420582.42928989616,13.894948906032369
4,2048,0,10,-420104.68919712777,14.036815255880356
4,2048,0,11,-419733.87238972686,13.74896084703505
4,2048,0,12,-419443.7560715073,13.96161256893538
4,2048,0,13,-419215.07464667835,13.932864723028615
4,2048,0,14,-419033.511335507,13.806242089951411
4,2048,0,15,-418888.32173489605,13.935776938917115
4,2048,0,16,-418771.37340747693,14.019779967144132
4,2048,0,17,-418676.4653333233,13.763167464872822
4,2048,0,18,-418598.8390300064,13.958894076058641
4,2048,0,19,-418534.8229999219,13.924676690017805
4,2048,0,20,-418481.57122744404,13.850260462844744
4,2048,0,21,-418436.86887414975,13.874947021948174
4,2048,0,22,-418398.9865595018,13.94144565006718
4,2048,0,23,-418366.57016000076,13.753674033796415
4,2048,0,24,-418338.5568432368,14.013094112975523
4,2048,0,25,-418314.1106666831,13.939533137017861
4,2048,0,26,-418292.572897356,13.786204556003213
4,2048,0,27,-418273.42349871446,13.873391872039065
4,2048,0,28,-418256.25115227705,13.923403621884063
4,2048,0,29,-418240.7298456313,13.675880993017927
4,2048,0,30,-418226.6005421606,13.940075997030362
4,2048,0,31,-418213.6568033441,13.81362714804709
4,2048,0,32,-418201.7334983017,13.702314550057054
4,2048,0,33,-418190.6979328167,13.857790790032595
4,2048,0,34,-418180.4428793184,13.888283340958878
4,2048,0,35,-418170.8811030587,13.686490353895351
4,2048,0,36,-418161.9410670871,13.955588117009029
4,2048,0,37,-418153.5635662661,13.686301730107516
4,2048,0,38,-418145.69909326313,13.457952601835132
4,2048,0,39,-418138.3057807669,13.695315039949492
4,2048,1,0,-449793.5877404646,13.613900508964434
4,2048,1,1,-440821.583590578,13.765858307946473
4,2048,1,2,-434689.9283714866,13.760084406938404
4,2048,1,3,-430447.78544806316,13.896910220850259
4,2048,1,4,-427452.426084469,14.012700276914984
4,2048,1,5,-425290.7733841365,14.044680569088086
4,2048,1,6,-423700.3347974359,13.913502048002556
4,2048,1,7,-422511.3269529323,14.043533492134884
4,2048,1,8,-421610.6959634418,13.889418895123526
4,2048,1,9,-420920.9637361613,13.96211209287867
4,2048,1,10,-420387.72114769474,13.912828884785995
4,2048,1,11,-419971.9928863311,13.899863820057362
4,2048,1,12,-419645.4012490273,13.845941975014284
4,2048,1,13,-419387.0013142145,13.83052391000092
4,2048,1,14,-419181.15392195596,13.831875243922696
4,2048,1,15,-419016.06469100935,13.851039995905012
4,2048,1,16,-418882.7620102792,13.847605612128973
4,2048,1,17,-418774.370706025,13.779377246974036
4,2048,1,18,-418685.5885509019,13.8206175819505
4,2048,1,19,-418612.30417408596,13.902718962868676
4,2048,1,20,-418551.31496611674,13.870185161940753
4,2048,1,21,-418500.1166281501,13.924837308004498
4,2048,1,22,-418456.7446765215,13.881566622061655
4,2048,1,23,-418419.6540495721,13.806536030955613
4,2048,1,24,-418387.62695150706,13.9017310438212
4,2048,1,25,-418359.70182788325,13.857108197174966
4,2048,1,26,-418335.1182999244,13.959070524899289
4,2048,1,27,-418313.2742531011,13.890205706004053
4,2048,1,28,-418293.69225420547,13.892204710980877
4,2048,1,29,-418275.9931783137,13.929041802184656
4,2048,1,30,-418259.8754428704,14.02912915404886
4,2048,1,31,-418245.098625966,13.801594434073195
4,2048,1,32,-418231.4705281806,13.771263193106279
4,2048,1,33,-418218.83694910345,13.829041448887438
4,2048,1,34,-418207.0736099331,13.76944393501617
4,2048,1,35,-418196.07977596915,13.785576072055846
4,2048,1,36,-418185.7732271241,13.732664400013164
4,2048,1,37,-418176.0862978375,13.897962556919083
4,2048,1,38,-418166.96276510705,13.616670043906197
4,2048,1,39,-418158.35540852696,13.823212679941207
4,2048,2,0,-447356.3527170524,13.588444414082915
4,2048,2,1,-438903.89145785436,13.366177609190345
4,2048,2,2,-433381.4071467469,13.775152292102575
4,2048,2,3,-429706.9536048629,13.915700434008613
4,2048,2,4,-427156.9780961992,13.744747979100794
4,2048,2,5,-425314.99625936814,13.744616802083328
4,2048,2,6,-423946.25078185485,13.868545620935038
4,2048,2,7,-422910.29604232585,14.013511961093172
4,2048,2,8,-422116.31066471717,13.561135090189055
4,2048,2,9,-421501.94857417775,13.872855866095051
4,2048,2,10,-421022.7726999412,13.995886753080413
4,2048,2,11,-420646.36871694855,13.732228704029694
4,2048,2,12,-420348.72239434184,13.800941894995049
4,2048,2,13,-420111.8355722711,13.879897157894447
4,2048,2,14,-419922.09253545775,14.034801777917892
4,2048,2,15,-419769.111886341,13.590699024032801
4,2048,2,16,-419644.925172925,13.914981612935662
4,2048,2,17,-419543.3810072137,13.98349831206724
4,2048,2,18,-419459.707599631,13.809321712935343
4,2048,2,19,-419390.18818877393,13.729190211975947
4,2048,2,20,-419331.9179251336,13.903500407002866
4,2048,2,21,-419282.62018207344,14.032570197014138
