seed,depth,width,n_params,t,net_rms,radius_d_rms,ratio_net_over_radius
0,2,24,1969,0.1,0.028414828357661594,0.022051835216547824,1.28854710180035
0,2,24,1969,0.2,0.06795046156861446,0.06330864688136457,1.0733203901190351
0,2,24,1969,0.4,0.14630655466910555,0.14417531076573603,1.0147823083720102
0,2,24,1969,0.8,0.2538224229038322,0.25082413815637095,1.011953732880334
0,2,24,1969,1.6,0.2941139698722085,0.239907807304093,1.2259458046707374
1,2,24,1969,0.1,0.027808514955077402,0.022051835216547824,1.2610521837298028
1,2,24,1969,0.2,0.06709289978624261,0.06330864688136457,1.0597746609869807
1,2,24,1969,0.4,0.15114735962721393,0.14417531076573603,1.048358133056543
1,2,24,1969,0.8,0.283165650924126,0.25082413815637095,1.1289409903108785
1,2,24,1969,1.6,0.40706035537956026,0.239907807304093,1.6967365920842856
2,2,24,1969,0.1,0.024580708856591357,0.022051835216547824,1.1146786022664386
2,2,24,1969,0.2,0.06511793483906415,0.06330864688136457,1.0285788442310264
2,2,24,1969,0.4,0.14670166923292233,0.14417531076573603,1.0175228231086755
2,2,24,1969,0.8,0.2562376262242559,0.25082413815637095,1.0215828034242462
2,2,24,1969,1.6,0.2949625705867578,0.239907807304093,1.229482999746151
