mechanism,strength,arm,t,score_rel_l2,ratio_to_em,fitted_rho,chow_liu_rho,rho_minus_chow_liu,em_seconds,em_iters,em_monotone_violation,mode_cnn,mode_mlp,innovation_mean,innovation_var,innovation_excess_kurtosis
global,1.0,em_bp,0.1,0.02884159060092588,1.0,0.9380066728417089,0.9250000000000002,0.013006672841708755,1570.5075003779493,81,0.0,eps,eps,-0.0018972838760628868,0.11752042195084021,0.014275941388127489
global,1.0,cnn,0.1,0.05805844843574112,2.0130113224017996,0.9380066728417089,0.9250000000000002,0.013006672841708755,1570.5075003779493,81,0.0,eps,eps,-0.0018972838760628868,0.11752042195084021,0.014275941388127489
global,1.0,mlp,0.1,0.0625100990101605,2.167359625725836,0.9380066728417089,0.9250000000000002,0.013006672841708755,1570.5075003779493,81,0.0,eps,eps,-0.0018972838760628868,0.11752042195084021,0.014275941388127489
global,1.0,em_bp,0.2,0.038098320321361324,1.0,0.9380066728417089,0.9250000000000002,0.013006672841708755,1570.5075003779493,81,0.0,eps,eps,-0.0018972838760628868,0.11752042195084021,0.014275941388127489
global,1.0,cnn,0.2,0.08341147360263457,2.1893740432400803,0.9380066728417089,0.9250000000000002,0.013006672841708755,1570.5075003779493,81,0.0,eps,eps,-0.0018972838760628868,0.11752042195084021,0.014275941388127489
global,1.0,mlp,0.2,0.0926288043497936,2.431309400741681,0.9380066728417089,0.9250000000000002,0.013006672841708755,1570.5075003779493,81,0.0,eps,eps,-0.0018972838760628868,0.11752042195084021,0.014275941388127489
global,1.0,em_bp,0.4,0.06119104960101033,1.0,0.9380066728417089,0.9250000000000002,0.013006672841708755,1570.5075003779493,81,0.0,x0,x0,-0.0018972838760628868,0.11752042195084021,0.014275941388127489
global,1.0,cnn,0.4,0.13560546869530898,2.216099733204609,0.9380066728417089,0.9250000000000002,0.013006672841708755,1570.5075003779493,81,0.0,x0,x0,-0.0018972838760628868,0.11752042195084021,0.014275941388127489
global,1.0,mlp,0.4,0.13559761415381458,2.2159713722507504,0.9380066728417089,0.9250000000000002,0.013006672841708755,1570.5075003779493,81,0.0,x0,x0,-0.0018972838760628868,0.11752042195084021,0.014275941388127489
global,1.0,em_bp,0.8,0.10968094819416928,1.0,0.9380066728417089,0.9250000000000002,0.013006672841708755,1570.5075003779493,81,0.0,x0,x0,-0.0018972838760628868,0.11752042195084021,0.014275941388127489
global,1.0,cnn,0.8,0.2818604898434259,2.569821782944887,0.9380066728417089,0.9250000000000002,0.013006672841708755,1570.5075003779493,81,0.0,x0,x0,-0.0018972838760628868,0.11752042195084021,0.014275941388127489
global,1.0,mlp,0.8,0.13510297681476804,1.2317816269749409,0.9380066728417089,0.9250000000000002,0.013006672841708755,1570.5075003779493,81,0.0,x0,x0,-0.0018972838760628868,0.11752042195084021,0.014275941388127489
global,1.0,em_bp,1.6,0.17226225226210054,1.0,0.9380066728417089,0.9250000000000002,0.013006672841708755,1570.5075003779493,81,0.0,x0,x0,-0.0018972838760628868,0.11752042195084021,0.014275941388127489
global,1.0,cnn,1.6,0.5411589890983116,3.1414833023019293,0.9380066728417089,0.9250000000000002,0.013006672841708755,1570.5075003779493,81,0.0,x0,x0,-0.0018972838760628868,0.11752042195084021,0.014275941388127489
global,1.0,mlp,1.6,0.228839693506937,1.3284378353462645,0.9380066728417089,0.9250000000000002,0.013006672841708755,1570.5075003779493,81,0.0,x0,x0,-0.0018972838760628868,0.11752042195084021,0.014275941388127489
