mechanism,strength,arm,t,score_rel_l2,ratio_to_em,fitted_rho,chow_liu_rho,rho_minus_chow_liu,em_seconds,em_iters,em_monotone_violation,mode_cnn,mode_mlp,innovation_mean,innovation_var,innovation_excess_kurtosis
longrange,0.4,em_bp,0.1,0.09640779407340061,1.0,0.7390294883148569,0.6414587730494757,0.09757071526538119,256.2170535796322,401,0.0,eps,eps,-0.004497267605170806,0.4454743957732664,-0.002438983878319867
longrange,0.4,cnn,0.1,0.04384612990304429,0.45479860134193917,0.7390294883148569,0.6414587730494757,0.09757071526538119,256.2170535796322,401,0.0,eps,eps,-0.004497267605170806,0.4454743957732664,-0.002438983878319867
longrange,0.4,mlp,0.1,0.07828102325953339,0.811978160188311,0.7390294883148569,0.6414587730494757,0.09757071526538119,256.2170535796322,401,0.0,eps,eps,-0.004497267605170806,0.4454743957732664,-0.002438983878319867
longrange,0.4,em_bp,0.2,0.1405129533364741,1.0,0.7390294883148569,0.6414587730494757,0.09757071526538119,256.2170535796322,401,0.0,eps,eps,-0.004497267605170806,0.4454743957732664,-0.002438983878319867
longrange,0.4,cnn,0.2,0.0833152628153374,0.5929365288894727,0.7390294883148569,0.6414587730494757,0.09757071526538119,256.2170535796322,401,0.0,eps,eps,-0.004497267605170806,0.4454743957732664,-0.002438983878319867
longrange,0.4,mlp,0.2,0.12859591115505153,0.9151890135503318,0.7390294883148569,0.6414587730494757,0.09757071526538119,256.2170535796322,401,0.0,eps,eps,-0.004497267605170806,0.4454743957732664,-0.002438983878319867
longrange,0.4,em_bp,0.4,0.22432250327912184,1.0,0.7390294883148569,0.6414587730494757,0.09757071526538119,256.2170535796322,401,0.0,eps,x0,-0.004497267605170806,0.4454743957732664,-0.002438983878319867
longrange,0.4,cnn,0.4,0.16897449740618806,0.7532659226610675,0.7390294883148569,0.6414587730494757,0.09757071526538119,256.2170535796322,401,0.0,eps,x0,-0.004497267605170806,0.4454743957732664,-0.002438983878319867
longrange,0.4,mlp,0.4,0.1786901581656758,0.7965770511366563,0.7390294883148569,0.6414587730494757,0.09757071526538119,256.2170535796322,401,0.0,eps,x0,-0.004497267605170806,0.4454743957732664,-0.002438983878319867
longrange,0.4,em_bp,0.8,0.3684374964644477,1.0,0.7390294883148569,0.6414587730494757,0.09757071526538119,256.2170535796322,401,0.0,x0,x0,-0.004497267605170806,0.4454743957732664,-0.002438983878319867
longrange,0.4,cnn,0.8,0.33181933229034993,0.9006122760970633,0.7390294883148569,0.6414587730494757,0.09757071526538119,256.2170535796322,401,0.0,x0,x0,-0.004497267605170806,0.4454743957732664,-0.002438983878319867
longrange,0.4,mlp,0.8,0.18763518678100183,0.509272776472434,0.7390294883148569,0.6414587730494757,0.09757071526538119,256.2170535796322,401,0.0,x0,x0,-0.004497267605170806,0.4454743957732664,-0.002438983878319867
longrange,0.4,em_bp,1.6,0.5792040092956862,1.0,0.7390294883148569,0.6414587730494757,0.09757071526538119,256.2170535796322,401,0.0,x0,x0,-0.004497267605170806,0.4454743957732664,-0.002438983878319867
longrange,0.4,cnn,1.6,0.61301388812193,1.0583730055103673,0.7390294883148569,0.6414587730494757,0.09757071526538119,256.2170535796322,401,0.0,x0,x0,-0.004497267605170806,0.4454743957732664,-0.002438983878319867
longrange,0.4,mlp,1.6,0.25990220817488513,0.4487230820292957,0.7390294883148569,0.6414587730494757,0.09757071526538119,256.2170535796322,401,0.0,x0,x0,-0.004497267605170806,0.4454743957732664,-0.002438983878319867
