orientation,parent_depth,child_depth,n_pairs,corr_linear,corr_abs,corr_log_sq,child_std_given_parent_q1,child_std_given_parent_q4,std_ratio_q4_q1,std_ratio_linear_ar_null,std_ratio_excess_over_null
HL,0,1,40000,0.18205653825249069,0.17073248828231075,0.12431231753490295,0.8684368916735209,1.1764953095770523,1.354727465930066,1.0478321528272785,0.3068953131027876
HL,1,2,160000,0.3815123103806209,0.2636770510038304,0.20334076413539645,0.7363097965448083,1.3413247957797667,1.8216853857901103,1.2184106951379199,0.6032746906521904
HL,2,3,640000,0.3921439735599272,0.3621348754180005,0.4210866332915125,0.5737925347996705,1.4786147756263002,2.5769153238330857,1.2315376060335395,1.3453777177995463
HL,3,4,2560000,0.45239497147631175,0.4631425938697731,0.5652284009963883,0.4400071050461076,1.6047789608520497,3.647166017203035,1.3152210965736315,2.3319449206294034
LH,0,1,40000,0.3518365376317394,0.17384297324647566,0.1391062843438965,0.8597331508046723,1.1531700218075236,1.341311569442457,1.184159967020109,0.15715160242234805
LH,1,2,160000,0.3890276979738795,0.23369183153658313,0.17942841729642187,0.7609482083493957,1.2794316029359603,1.6813648930342164,1.2276417772680992,0.45372311576611724
LH,2,3,640000,0.4159309634355799,0.3404454855136078,0.3893907702941961,0.6042682188369236,1.4363588446084563,2.3770219909514925,1.2626298495765425,1.11439214137495
LH,3,4,2560000,0.4819610516133586,0.45850791102431115,0.5489307920577933,0.48071895475122856,1.5801777285708491,3.2871134224124554,1.3626557421098044,1.924457680302651
HH,0,1,40000,0.03919555995395667,0.1598891761810875,0.11226139963422017,0.8720730030984479,1.17057295249185,1.342287799682872,1.0021982401831475,0.3400895594997244
HH,1,2,160000,0.10112645374258272,0.18035603262637967,0.1460929084316821,0.8497609552228693,1.210529438712307,1.4245529066404536,1.0146657145132405,0.40988719212721314
HH,2,3,640000,0.10042252280633002,0.2838530430954228,0.39548120425559263,0.649121782775595,1.3308009775034186,2.0501560921480952,1.0144617139728869,1.0356943781752084
HH,3,4,2560000,0.14848182789505224,0.38693323590878204,0.5225297182242173,0.5090663395733612,1.4697188550681792,2.8870870863312676,1.0317175472421485,1.8553695390891192
