family,iteration,log_evidence
gaussian,0,-14118477.71688651
gaussian,1,-14115033.47833417
gaussian,2,-14113509.305098003
gaussian,3,-14112604.527827468
gaussian,4,-14111983.678707166
gaussian,5,-14111523.804440673
gaussian,6,-14111166.757531809
gaussian,7,-14110880.14884464
gaussian,8,-14110643.904496616
gaussian,9,-14110444.711014764
gaussian,10,-14110273.359987212
gaussian,11,-14110123.311764345
gaussian,12,-14109989.83950124
gaussian,13,-14109869.482593268
gaussian,14,-14109759.681109
gaussian,15,-14109658.523698796
gaussian,16,-14109564.570198273
gaussian,17,-14109476.7250729
gaussian,18,-14109394.14627045
gaussian,19,-14109316.179126244
gaussian,20,-14109242.308191266
gaussian,21,-14109172.121982912
gaussian,22,-14109105.287105598
gaussian,23,-14109041.529193439
gaussian,24,-14108980.618835546
mixture,0,-14124523.059710538
mixture,1,-14118289.80698078
mixture,2,-14114600.043682966
mixture,3,-14112145.784525739
mixture,4,-14110433.107114514
mixture,5,-14109174.637539348
mixture,6,-14108212.05422258
mixture,7,-14107452.952127602
mixture,8,-14106839.08276337
mixture,9,-14106331.568728173
mixture,10,-14105903.440504564
mixture,11,-14105535.472982135
mixture,12,-14105213.680399751
mixture,13,-14104927.729129437
mixture,14,-14104669.892933208
mixture,15,-14104434.34354023
mixture,16,-14104216.655912265
mixture,17,-14104013.455259163
mixture,18,-14103822.160275154
mixture,19,-14103640.79331845
mixture,20,-14103467.838181553
mixture,21,-14103302.132339593
mixture,22,-14103142.784595724
mixture,23,-14102989.111710997
mixture,24,-14102840.589409035
