family,iteration,log_evidence
gaussian,0,-2818522.5193852386
gaussian,1,-2817904.5173277264
gaussian,2,-2817628.893522779
gaussian,3,-2817463.7238077926
gaussian,4,-2817349.7974601486
gaussian,5,-2817265.349911834
gaussian,6,-2817199.965746884
gaussian,7,-2817147.7808782854
gaussian,8,-2817105.1253952784
gaussian,9,-2817069.5384019553
gaussian,10,-2817039.295222628
gaussian,11,-2817013.152462127
mixture,0,-2820361.459686958
mixture,1,-2819114.1151415342
mixture,2,-2818400.2002168912
mixture,3,-2817917.2685556733
mixture,4,-2817559.8308146554
mixture,5,-2817281.418075485
mixture,6,-2817059.4084402956
mixture,7,-2816880.0015204204
mixture,8,-2816733.453865921
mixture,9,-2816612.506868084
mixture,10,-2816511.6528128125
mixture,11,-2816426.6716975216
scale_mixture,0,-2818317.129285585
scale_mixture,1,-2816844.252692091
scale_mixture,2,-2816292.6077707196
scale_mixture,3,-2815973.8748348076
scale_mixture,4,-2815758.3195360703
scale_mixture,5,-2815598.9052169425
scale_mixture,6,-2815474.42058571
scale_mixture,7,-2815373.0932889334
scale_mixture,8,-2815287.9108857405
scale_mixture,9,-2815214.2733255345
scale_mixture,10,-2815149.397636378
scale_mixture,11,-2815091.3645649347
