family,iteration,log_evidence
gaussian,0,-14118477.71688651
gaussian,1,-14115033.47833417
gaussian,2,-14113509.305098003
gaussian,3,-14112604.527827468
gaussian,4,-14111983.678707166
gaussian,5,-14111523.804440673
gaussian,6,-14111166.757531809
gaussian,7,-14110880.14884464
gaussian,8,-14110643.904496616
gaussian,9,-14110444.711014764
gaussian,10,-14110273.359987212
gaussian,11,-14110123.311764345
gaussian,12,-14109989.83950124
gaussian,13,-14109869.482593268
gaussian,14,-14109759.681109
gaussian,15,-14109658.523698796
gaussian,16,-14109564.570198273
gaussian,17,-14109476.7250729
gaussian,18,-14109394.14627045
gaussian,19,-14109316.179126244
