family,iteration,log_evidence
mixture,0,-14124523.059710538
mixture,1,-14118289.80698078
mixture,2,-14114600.043682966
mixture,3,-14112145.784525739
mixture,4,-14110433.107114514
mixture,5,-14109174.637539348
mixture,6,-14108212.05422258
mixture,7,-14107452.952127602
mixture,8,-14106839.08276337
mixture,9,-14106331.568728173
mixture,10,-14105903.440504564
mixture,11,-14105535.472982135
mixture,12,-14105213.680399751
mixture,13,-14104927.729129437
mixture,14,-14104669.892933208
mixture,15,-14104434.34354023
mixture,16,-14104216.655912265
mixture,17,-14104013.455259163
mixture,18,-14103822.160275154
mixture,19,-14103640.79331845
