family,iteration,log_evidence
scale_mixture,0,-14112695.087404376
scale_mixture,1,-14105199.932301834
scale_mixture,2,-14102275.73912901
scale_mixture,3,-14100552.110103056
scale_mixture,4,-14099372.112787262
scale_mixture,5,-14098492.065103417
scale_mixture,6,-14097800.831617624
scale_mixture,7,-14097235.847117351
scale_mixture,8,-14096760.658452742
scale_mixture,9,-14096350.695586743
scale_mixture,10,-14095990.021023579
scale_mixture,11,-14095668.562301336
scale_mixture,12,-14095378.145049844
scale_mixture,13,-14095113.912781557
scale_mixture,14,-14094870.734833233
scale_mixture,15,-14094646.22220091
scale_mixture,16,-14094438.633762877
scale_mixture,17,-14094245.37196838
scale_mixture,18,-14094065.26491802
scale_mixture,19,-14093896.549231539
