model,iteration,log_evidence
caterpillar,0,-4257500.584591592
caterpillar,1,-4253856.274171719
caterpillar,2,-4253134.853689132
caterpillar,3,-4252826.13153961
caterpillar,4,-4252658.317423738
caterpillar,5,-4252552.821656007
caterpillar,6,-4252479.515658466
caterpillar,7,-4252424.843100632
frozen,0,-4258760.548650003
frozen,1,-4258165.480895227
frozen,2,-4257922.263171015
frozen,3,-4257778.704528034
frozen,4,-4257679.592339195
frozen,5,-4257605.520609413
frozen,6,-4257547.445262028
frozen,7,-4257500.443104322
