n_chains,c_lo,c_hi,metric,n_pairs,mean_diff,ci_lo,ci_hi,equivalence_region,ci_entirely_inside_region
128,1,2,test_log_evidence_per_edge,16,-0.014838666053618582,-0.02876005454672096,-0.00409367950334853,0.0001,False
128,1,2,schedule_score_risk,16,0.10828258939779348,0.03989084995748891,0.1826671992994756,0.0028037266325314125,False
128,2,4,test_log_evidence_per_edge,16,-0.001963159631547501,-0.006070772262130914,0.0015684142357107157,0.0001,False
128,2,4,schedule_score_risk,16,0.02357151379983044,0.0026485238712682705,0.04614673109611495,0.003886552526509347,False
128,4,8,test_log_evidence_per_edge,16,-0.0019619225963937587,-0.005795292987052603,1.7231565574120914e-05,0.0001,False
128,4,8,schedule_score_risk,16,0.010454600531879344,-0.00034466427124523217,0.030343401590250518,0.004122267664507651,False
128,8,16,test_log_evidence_per_edge,16,-0.00018187887480512754,-0.0003655241968014471,-9.429611600010012e-06,0.0001,False
128,8,16,schedule_score_risk,16,0.0026367338466599874,0.0005267940565686039,0.004786066064550934,0.004226813669826445,False
512,1,2,test_log_evidence_per_edge,16,-0.013296172456676483,-0.02898183586842164,-0.0009696987023446547,0.0001,False
512,1,2,schedule_score_risk,16,0.0704650099170981,0.0016772078033241548,0.14449438761452682,0.0028628902309466354,False
512,2,4,test_log_evidence_per_edge,16,0.0002923358745780674,-0.0019539496760203764,0.00370508735767287,0.0001,False
512,2,4,schedule_score_risk,16,0.014526365102469671,-0.016382523811108957,0.039748158526899495,0.003567540330117617,False
512,4,8,test_log_evidence_per_edge,16,0.0003685061493997749,-0.00034591570292059616,0.0013244936939206056,0.0001,False
512,4,8,schedule_score_risk,16,-0.0008186836861292478,-0.010445441727993004,0.0074236582163959555,0.0037128039811423143,False
512,8,16,test_log_evidence_per_edge,16,-0.00039223672266036624,-0.001342790538805964,0.00024234730809249004,0.0001,False
512,8,16,schedule_score_risk,16,0.0037925863650437805,0.0008217808246637695,0.007611172774605243,0.003704617144281021,False
