seed,condition,checkpoint,at_cap,test_risk,val_risk
0,fixed_dsm,500,0,2.119739516011028,2.117949542224794
0,fresh_dsm,16000,0,0.09637284604281997,0.09702303344844154
0,fixed_exact,8000,0,0.15807736777381132,0.15757395263963134
0,fresh_exact,32000,1,0.06759858971816833,0.06812201136972262
1,fixed_dsm,500,0,3.248031418772193,3.2111846670619113
1,fresh_dsm,8000,0,0.10077251006472636,0.10014532943773677
1,fixed_exact,8000,0,0.2721361711387686,0.27108759465686444
1,fresh_exact,32000,1,0.07086394951333425,0.07068612477175223
2,fixed_dsm,500,0,2.0891470690882517,2.087728924380527
2,fresh_dsm,32000,1,0.09344518433632339,0.09335168998268423
2,fixed_exact,32000,1,0.16945933207825817,0.1670043401788968
2,fresh_exact,32000,1,0.07666686345843501,0.0764627546240212
3,fixed_dsm,500,0,2.0481176074707084,2.066243633721801
3,fresh_dsm,16000,0,0.08943489249820345,0.0895344796941194
3,fixed_exact,32000,1,0.15345904701381471,0.15910493596613565
3,fresh_exact,16000,0,0.0810894837923466,0.08120006873817319
4,fixed_dsm,500,0,2.381032027527003,2.3487343545846513
4,fresh_dsm,16000,0,0.10450782439363485,0.10366412426823661
4,fixed_exact,8000,0,0.20024201015263968,0.1967181267990907
4,fresh_exact,32000,1,0.07282875237095328,0.07254840827500422
5,fixed_dsm,500,0,1.3682214364827643,1.375027889470617
5,fresh_dsm,16000,0,0.10064440619930619,0.09996940004884135
5,fixed_exact,8000,0,0.21493244606706308,0.21524723996429312
5,fresh_exact,32000,1,0.06854716579029163,0.06774743757906118
