regime,n_chains,rep,n_components,rho_raw,param_raw,rho_grid,param_grid,rho_err_raw,rho_err_grid,param_err_raw,param_err_grid,rho_grid_minus_raw,param_grid_minus_raw,exkurt_raw,exkurt_grid,raw_monotone_violation
gaussian,64,0,0,0.7890243327495609,0.36270456728498085,0.7888095226572089,0.3631382307354574,-0.010975667250439192,-0.011190477342791105,0.0027045672849809743,0.003138230735457548,-0.00021481009235191362,0.0004336634504765735,nan,nan,nan
mixture,64,0,8,0.8239028275502255,0.36869663520687407,0.822655251591731,0.3691397278398023,0.023902827550225436,0.022655251591730985,0.008696635206874193,0.009139727839802436,-0.0012475759584944512,0.00044309263292824363,3.1582136432634487,3.232434832899889,0.0
gaussian,64,1,0,0.8146001909334495,0.36314620141297416,0.8143973873141765,0.36358550777832876,0.014600190933449442,0.014397387314176502,0.003146201412974281,0.003585507778328889,-0.00020280361927293988,0.0004393063653546081,nan,nan,nan
mixture,64,1,8,0.8039640229535386,0.3421858911946799,0.8035054460652084,0.3426299833617994,0.003964022953538593,0.0035054460652083064,-0.017814108805319973,-0.01737001663820048,-0.00045857688833028654,0.00044409216711949195,3.549797817505289,3.5319267274509514,0.0
gaussian,64,2,0,0.818107255704156,0.3647470850081737,0.8179056527835762,0.3651931697415716,0.018107255704155945,0.017905652783576143,0.004747085008173835,0.005193169741571746,-0.000201602920579802,0.0004460847333979112,nan,nan,nan
mixture,64,2,8,0.7993229345680839,0.33380995947912173,0.8003748292486141,0.3342258047615822,-0.0006770654319161462,0.0003748292486140947,-0.026190040520878144,-0.025774195238417674,0.001051894680530241,0.0004158452824604697,2.8098168624201385,2.8362033315698527,0.0
gaussian,64,3,0,0.8025802452058935,0.36948350883124736,0.8023685832456254,0.36992609802156984,0.0025802452058935055,0.0023685832456253886,0.009483508831247489,0.009926098021569962,-0.0002116619602681169,0.00044258919032247324,nan,nan,nan
mixture,64,3,8,0.8189161813317701,0.349938053137413,0.8214562947578145,0.3503735233510558,0.018916181331770088,0.02145629475781441,-0.010061946862586879,-0.00962647664894406,0.0025401134260443214,0.000435470213642819,1.751861176921036,1.7642292229130403,0.0
gaussian,64,4,0,0.8125016942868932,0.35417128468696535,0.8122987087177117,0.3546144544730573,0.012501694286893184,0.01229870871771166,-0.005828715313034527,-0.005385545526942592,-0.0002029855691815241,0.0004431697860919348,nan,nan,nan
mixture,64,4,8,0.8067940794132223,0.3622985380026937,0.8067042457982665,0.36274356661788887,0.006794079413222298,0.0067042457982664505,0.0022985380026938063,0.002743566617888993,-8.983361495584763e-05,0.00044502861519518655,2.93958114440869,2.9607053478623513,0.0
gaussian,64,5,0,0.8108569657227914,0.3630437354244364,0.8106470431578233,0.3634853289910178,0.010856965722791379,0.010647043157823277,0.0030437354244365333,0.003485328991017944,-0.00020992256496810136,0.0004415935665814108,nan,nan,nan
mixture,64,5,8,0.7983925161330561,0.3792558048005722,0.7980317639010653,0.37969730051261497,-0.0016074838669439817,-0.001968236098934706,0.019255804800572318,0.01969730051261509,-0.00036075223199072415,0.00044149571204277205,2.9350648127536445,2.8356111249052125,0.0
gaussian,64,6,0,0.8121119913687442,0.3714832271225256,0.8119129767184309,0.3719190690796507,0.01211199136874419,0.011912976718430834,0.011483227122525752,0.011919069079650846,-0.00019901465031335608,0.00043584195712509377,nan,nan,nan
mixture,64,6,8,0.7776690391390074,0.354371273818402,0.7768610087561575,0.35481719940107864,-0.02233096086099262,-0.023138991243842555,-0.005628726181597876,-0.005182800598921233,-0.0008080303828499336,0.00044592558267664284,2.3268863079109687,2.2955914378048083,0.0
gaussian,64,7,0,0.8122674651171959,0.36167917623944146,0.8120588778112449,0.3621231664982452,0.012267465117195897,0.012058877811244817,0.0016791762394415821,0.0021231664982453435,-0.0002085873059510801,0.0004439902588037614,nan,nan,nan
