arm,n_chains,rep,rho_err,q_err,rho_fitted,q_fitted
clean,64,0,-0.011190477342791105,0.003138230735457548,0.7888095226572089,0.3631382307354574
noised,64,0,0.00793715330634115,-0.03567631763377532,0.8079371533063412,0.32432368236622455
clean,64,1,0.014397387314176502,0.003585507778328889,0.8143973873141765,0.36358550777832876
noised,64,1,-0.024511789695404684,0.06262585501100704,0.7754882103045954,0.4226258550110069
clean,64,2,0.017905652783576143,0.005193169741571746,0.8179056527835762,0.3651931697415716
noised,64,2,0.023697502429691264,-0.010938694404937999,0.8236975024296913,0.3490613055950619
clean,64,3,0.0023685832456253886,0.009926098021569962,0.8023685832456254,0.36992609802156984
noised,64,3,0.005804631129668558,-0.030851559999005518,0.8058046311296686,0.32914844000099436
clean,64,4,0.01229870871771166,-0.005385545526942592,0.8122987087177117,0.3546144544730573
noised,64,4,0.0021843452057142,0.029273199677854467,0.8021843452057142,0.38927319967785434
clean,64,5,0.010647043157823277,0.003485328991017944,0.8106470431578233,0.3634853289910178
noised,64,5,0.01680981419303562,-0.0024016777975157666,0.8168098141930357,0.3575983222024841
clean,64,6,0.011912976718430834,0.011919069079650846,0.8119129767184309,0.3719190690796507
noised,64,6,-0.0029499318087209403,0.049029863561197984,0.7970500681912791,0.40902986356119786
clean,64,7,0.012058877811244817,0.0021231664982453435,0.8120588778112449,0.3621231664982452
noised,64,7,0.012914249141486644,-0.018505643605484567,0.8129142491414867,0.3414943563945153
clean,64,8,0.0034556147059294773,0.025245423875393747,0.8034556147059295,0.3852454238753936
noised,64,8,-0.010236657916290026,-0.0020095529013614,0.78976334208371,0.3579904470986385
clean,64,9,-0.0002669862090399766,-0.006968298798835371,0.7997330137909601,0.3530317012011645
noised,64,9,0.0015388581704783855,-0.0032376980452186177,0.8015388581704784,0.35676230195478126
clean,64,10,-0.018389472380207272,-0.016122551131030227,0.7816105276197928,0.34387744886896965
noised,64,10,-0.021671768704856653,-0.0014370364591101414,0.7783282312951434,0.35856296354088973
clean,64,11,0.011695652245420574,-0.01113711456762334,0.8116956522454206,0.34886288543237653
noised,64,11,0.017829976418240467,-0.015057696951787547,0.8178299764182405,0.34494230304821233
clean,64,12,0.0040829241125914795,0.0006006562032280227,0.8040829241125915,0.3606006562032279
noised,64,12,-0.00793820037966475,0.057560072686104635,0.7920617996203353,0.4175600726861045
clean,64,13,0.01684840824833045,-0.020381965866705987,0.8168484082483305,0.3396180341332939
noised,64,13,0.028976408099115836,-0.018522331834112504,0.8289764080991159,0.34147766816588737
clean,64,14,-0.0070287234500141516,0.03125309413026389,0.7929712765499859,0.39125309413026377
noised,64,14,-0.02200904936278858,0.04145453581088976,0.7779909506372115,0.40145453581088963
clean,64,15,-0.006429723751571026,0.012146777340497406,0.793570276248429,0.3721467773404973
noised,64,15,0.006664762290660042,0.005481378368974832,0.8066647622906601,0.3654813783689747
clean,64,16,0.003726755314005681,0.0027095489614837875,0.8037267553140057,0.36270954896148366
noised,64,16,0.015665069096772788,0.03364303227438381,0.8156650690967728,0.3936430322743837
clean,64,17,0.0046052267285431325,-0.0002702333992733452,0.8046052267285432,0.35972976660072653
noised,64,17,-0.008637820799699769,-0.0002254079108952034,0.7913621792003003,0.3597745920891047
clean,64,18,0.010980872811981346,-0.012393110494833548,0.8109808728119814,0.3476068895051663
noised,64,18,-0.001322840209314835,0.009731703416954951,0.7986771597906852,0.3697317034169548
clean,64,19,-0.010335715703785109,0.0028367788710251807,0.7896642842962149,0.36283677887102506
noised,64,19,-0.026866156538362662,-0.012921442474601752,0.7731338434616374,0.3470785575253981
clean,64,20,0.005614072927668912,0.006965267118454188,0.805614072927669,0.36696526711845406
noised,64,20,0.027392576679069025,-0.00568947052489599,0.8273925766790691,0.3543105294751039
clean,64,21,0.010984226604683567,-0.014250106694499498,0.8109842266046836,0.3457498933055004
noised,64,21,0.035539947415137996,-0.0676827531637772,0.835539947415138,0.2923172468362227
clean,64,22,-0.004154457752017837,-0.008238239502584954,0.7958455422479822,0.3517617604974149
noised,64,22,-0.02228237119080012,-0.0006126990805220278,0.7777176288091999,0.35938730091947785
clean,64,23,0.02342060276355118,0.013474490473557033,0.8234206027635512,0.3734744904735569
noised,64,23,0.03131382808782024,-0.005965483034756192,0.8313138280878203,0.3540345169652437
clean,64,24,-0.019933245428607305,0.006558332418356183,0.7800667545713927,0.36655833241835606
noised,64,24,-0.013511598667670821,0.018870784294048037,0.7864884013323292,0.3788707842940479
clean,64,25,-0.006283041664701172,-0.002194832465202079,0.7937169583352989,0.3578051675347978
noised,64,25,-0.033091370390507246,0.05478480917687084,0.7669086296094928,0.4147848091768707
clean,64,26,0.025522434040400777,0.0005345588578278826,0.8255224340404008,0.36053455885782776
noised,64,26,0.04155868682274544,-0.02563441792423049,0.8415586868227455,0.3343655820757694
clean,64,27,0.002726226907251106,-0.014153068965044202,0.8027262269072512,0.3458469310349557
noised,64,27,0.028046470851453842,-0.03582195683552142,0.8280464708514539,0.32417804316447846
clean,64,28,-0.009558446259513187,-0.009381270310315493,0.7904415537404869,0.3506187296896844
noised,64,28,-0.04050080559114133,0.021593300658422576,0.7594991944088587,0.38159330065842245
clean,64,29,-0.006825694273820182,-9.087647960887013e-05,0.7931743057261799,0.359909123520391
noised,64,29,0.02779742887528225,-0.06704814578830853,0.8277974288752823,0.29295185421169134
clean,64,30,-0.013430032698200645,0.01169093856200365,0.7865699673017994,0.3716909385620035
noised,64,30,0.017486682850866297,-0.01531280930879897,0.8174866828508663,0.3446871906912009
clean,64,31,-0.023705239553729496,0.008411337146084163,0.7762947604462705,0.36841133714608404
noised,64,31,-0.01712499272730017,-0.003709700196738386,0.7828750072726999,0.3562902998032615
clean,128,0,-0.003349264214430714,0.005049707093712497,0.7966507357855693,0.3650497070937124
noised,128,0,-0.008998972634345126,-3.526136139136993e-05,0.7910010273656549,0.3599647386386085
clean,128,1,0.005224304084854192,0.0020723256761757125,0.8052243040848542,0.3620723256761756
noised,128,1,-0.002880160159867695,0.027806306852669105,0.7971198398401323,0.387806306852669
clean,128,2,-0.01771127268225392,-0.004035388614026358,0.7822887273177461,0.3559646113859735
noised,128,2,-0.017220550450635752,0.004075811749050473,0.7827794495493643,0.36407581174905035
clean,128,3,-0.00013418707293511023,0.00455980533131406,0.7998658129270649,0.36455980533131394
noised,128,3,0.010239958632873303,-0.010427322938857342,0.8102399586328733,0.34957267706114253
clean,128,4,0.0015295130450307948,0.0023055530496065013,0.8015295130450308,0.3623055530496064
noised,128,4,-0.009265344982518187,0.03103422392732308,0.7907346550174819,0.39103422392732295
clean,128,5,0.0010521483762114814,0.005251875175124543,0.8010521483762115,0.3652518751751244
noised,128,5,0.00852501078172252,0.0019436889266314927,0.8085250107817226,0.36194368892663137
clean,128,6,0.0022232179090752036,0.013659811735606597,0.8022232179090752,0.3736598117356065
noised,128,6,0.015579710541232195,0.009218620889946627,0.8155797105412322,0.3692186208899465
clean,128,7,0.00888535009813074,-0.006053736007276045,0.8088853500981308,0.35394626399272383
noised,128,7,0.015412442821351346,-0.02316142104166513,0.8154124428213514,0.33683857895833474
clean,128,8,-0.022940499881781817,0.003887383552858392,0.7770595001182182,0.36388738355285827
noised,128,8,-0.027648203289845075,-0.002669523193722767,0.772351796710155,0.3573304768062771
clean,128,9,0.008195392816394031,0.01095942821341811,0.8081953928163941,0.370959428213418
noised,128,9,0.01931135336712564,0.002043957907242988,0.8193113533671257,0.36204395790724286
clean,128,10,0.001886614389064123,-0.006903071423387974,0.8018866143890642,0.3530969285766119
noised,128,10,0.008706597117350001,-0.008562837449752836,0.80870659711735,0.35143716255024704
clean,128,11,-0.0046265424451763515,-0.0055633086910472085,0.7953734575548237,0.35443669130895267
noised,128,11,-0.003677570691657084,-0.01632466258173637,0.796322429308343,0.3436753374182635
clean,128,12,-0.006526238095876158,0.0006182637956587689,0.7934737619041239,0.36061826379565864
noised,128,12,-0.018011735014644703,-0.0021377570519681144,0.7819882649853553,0.35786224294803176
clean,128,13,-0.0047857908660355886,0.008936401094047974,0.7952142091339645,0.36893640109404785
noised,128,13,0.012024050820057641,-0.015006164623955875,0.8120240508200577,0.344993835376044
clean,128,14,-0.018699324309846665,0.014875239952261421,0.7813006756901534,0.3748752399522613
noised,128,14,-0.015473507267960929,0.032216298250376196,0.7845264927320391,0.39221629825037607
clean,128,15,0.010363138686420914,-0.003930560824149942,0.810363138686421,0.35606943917584993
noised,128,15,-0.003046694505147829,0.025719646174978184,0.7969533054948522,0.38571964617497806
clean,128,16,-0.0007703811542812966,-0.00012018238364180922,0.7992296188457187,0.35987981761635807
noised,128,16,-0.008480192908581374,0.049592019690875566,0.7915198070914187,0.40959201969087544
clean,128,17,-0.0007932688498490936,-0.001975687789329772,0.799206731150151,0.3580243122106701
noised,128,17,0.011730093565195387,-0.001902411067398413,0.8117300935651954,0.35809758893260146
clean,128,18,-0.006236596999719235,-0.0157713147477494,0.7937634030002808,0.3442286852522505
noised,128,18,-0.007954277829636869,-0.03544241263170311,0.7920457221703632,0.32455758736829676
clean,128,19,-0.0006930371074804764,0.005427134971189795,0.7993069628925196,0.36542713497118967
noised,128,19,0.020234894725124186,0.0029641962764510033,0.8202348947251242,0.3629641962764509
clean,128,20,-0.004598229581394331,0.00592336816232808,0.7954017704186057,0.36592336816232796
noised,128,20,0.004621536838648521,0.0005344747314389164,0.8046215368386486,0.3605344747314388
clean,128,21,-0.004629888808755034,0.009915627563954421,0.795370111191245,0.3699156275639543
noised,128,21,-0.006237110060964612,0.02060832250868777,0.7937628899390354,0.38060832250868765
clean,128,22,0.0032509783916929713,0.0008536271625224079,0.803250978391693,0.3608536271625223
noised,128,22,0.015263247473156438,-0.0149136008736519,0.8152632474731565,0.345086399126348
clean,128,23,0.012256685778043508,0.008199594731531035,0.8122566857780436,0.3681995947315309
noised,128,23,0.0357853522815651,-0.029908090631654893,0.8357853522815651,0.330091909368345
clean,128,24,-0.01328734698032863,0.013053630828176843,0.7867126530196714,0.3730536308281767
noised,128,24,-0.0028628327814052,-0.004888114358212181,0.7971371672185948,0.3551118856417877
clean,128,25,-0.014161809489057098,0.0011027667587765189,0.785838190510943,0.3611027667587764
noised,128,25,-0.007742125712342562,-0.02627525271689185,0.7922578742876575,0.333724747283108
clean,128,26,-0.0021930261799411044,0.011797303370223,0.7978069738200589,0.3717973033702229
noised,128,26,0.012836607037702952,-0.0058019282356511215,0.812836607037703,0.35419807176434875
clean,128,27,-0.004223428153544928,-0.0046617792812462255,0.7957765718464551,0.35533822071875365
noised,128,27,-0.0014737236822878197,-0.014184975958750179,0.7985262763177122,0.3458150240412497
clean,128,28,0.0007355798524087964,-0.003036962184334746,0.8007355798524088,0.35696303781566513
noised,128,28,-0.011036846631185315,0.011651788975519217,0.7889631533688147,0.3716517889755191
clean,128,29,0.019980946104182662,0.004879380338392358,0.8199809461041827,0.36487938033839223
noised,128,29,0.03595195285234931,-0.014208512984428268,0.8359519528523494,0.3457914870155716
clean,128,30,-0.007644078964564316,-2.1384209377528496e-05,0.7923559210354357,0.35997861579062235
noised,128,30,0.0029006651609720935,-0.011716272865458566,0.8029006651609721,0.3482837271345413
clean,128,31,-0.0009420836800507759,-0.0033806153078673185,0.7990579163199493,0.35661938469213256
noised,128,31,0.008224236973091714,-0.022729948819054213,0.8082242369730918,0.33727005118094566
clean,256,0,0.008036026547009523,-0.000699327442659381,0.8080360265470096,0.3593006725573405
noised,256,0,0.005042589086627025,-0.014346942403722307,0.8050425890866271,0.34565305759627757
clean,256,1,-0.013070358898183865,-0.006008861352889694,0.7869296411018162,0.3539911386471102
noised,256,1,-0.016746752794746578,0.014735166586387516,0.7832532472052535,0.3747351665863874
clean,256,2,-0.0004549256705901339,-0.008250490287903811,0.7995450743294099,0.35174950971209606
noised,256,2,0.009216203633547027,-0.03409870220842309,0.8092162036335471,0.3259012977915768
clean,256,3,-0.0005364546501275269,0.006043599432552227,0.7994635453498725,0.3660435994325521
noised,256,3,0.012573183646269914,-0.011556127300852148,0.81257318364627,0.3484438726991477
clean,256,4,-0.003525852053593348,-0.005441957618129656,0.7964741479464067,0.3545580423818702
noised,256,4,0.014391078817875047,-0.01633598993388735,0.8143910788178751,0.3436640100661125
