rho_true,grid_size,dx,rho_hat,rho_err,b_hat,b_err,monotone_violation
0.8,201,0.08000000000000007,0.8,0.0,0.41608420530474216,0.008179863407186294,0.0
0.8,401,0.040000000000000036,0.8,0.0,0.4164048555264533,0.007859213185475167,0.0
0.8,801,0.019999999999999574,0.8000000000000002,1.1102230246251565e-16,0.4164834215185417,0.0077806471933867805,0.0
0.8,1601,0.009999999999999787,0.8000000000000004,3.3306690738754696e-16,0.41650553181264516,0.007758536899283297,0.0
0.77,201,0.08000000000000007,0.750000000000001,0.01999999999999902,0.4748831055286561,0.023717947299432884,0.0
0.77,401,0.040000000000000036,0.7777777777777788,0.0077777777777787716,0.46088908346817803,0.009723925238954823,0.0
0.77,801,0.019999999999999574,0.7857142857142857,0.01571428571428568,0.45676987279440157,0.005604714565178359,0.0
0.77,1601,0.009999999999999787,0.7851851851851858,0.015185185185185746,0.4570601612366524,0.005895003007429178,0.0
0.813,201,0.08000000000000007,0.8,0.0129999999999999,0.4438377224967343,0.032115121708290784,0.0
0.813,401,0.040000000000000036,0.8000000000000007,0.012999999999999234,0.4441225082736481,0.03239990748520455,0.0
0.813,801,0.019999999999999574,0.8108108108108113,0.002189189189188645,0.43850923356765853,0.026786632779215003,0.0
0.813,1601,0.009999999999999787,0.8113207547169812,0.001679245283018771,0.4382463785657695,0.026523777777325952,0.0
