init,rho_init,b_init,rho_hat,b_hat,rho_true,b_true,rho_err,b_err,logL_start,logL_end,monotone_violation,iters,sec_per_iter
0,0.10518925475662078,1.085459458214468,0.7999999999999998,0.4192692729601537,0.8,0.42426406871192845,2.220446049250313e-16,0.00499479575177475,-46834.508614085185,-42458.13674852207,0.0,57,0.9003785646299979
1,0.5532776486615243,0.8938915665698287,0.7999999999999998,0.41926933776162295,0.8,0.42426406871192845,2.220446049250313e-16,0.004994730950305504,-44356.126194329256,-42458.136748645724,0.0,53,0.930677429153496
2,-0.4204376690838477,0.7232712942906623,0.7999999999999998,0.41926933973777064,0.8,0.42426406871192845,2.220446049250313e-16,0.004994728974157814,-49614.062993061714,-42458.13674864949,0.0,59,0.9320612450296027
3,0.6812771899783645,1.4870348949359542,0.7999999999999998,0.4192693100561416,0.8,0.42426406871192845,2.220446049250313e-16,0.004994758655786857,-48522.45476524677,-42458.13674859284,0.0,54,0.9325184656643413
4,0.22204211767166382,0.24865914976437586,0.7999999999999998,0.41926909180311084,0.8,0.42426406871192845,2.220446049250313e-16,0.004994976908817617,-49151.069568073304,-42458.13674817732,0.0,52,0.9364046626097451
5,0.1982524740574455,0.43242695537101195,0.7999999999999998,0.41926933327213145,0.8,0.42426406871192845,2.220446049250313e-16,0.0049947354397970045,-46045.88528053631,-42458.13674863715,0.0,54,0.9305634208980741
6,-0.43221739962822303,1.01018085367305,0.7999999999999998,0.4192693498687408,0.8,0.42426406871192845,2.220446049250313e-16,0.00499471884318764,-50063.381566830474,-42458.13674866885,0.0,59,0.9369236216327902
7,0.14316796143251953,1.3567314360314804,0.7999999999999998,0.4192693107323316,0.8,0.42426406871192845,2.220446049250313e-16,0.004994757979596864,-48116.938854156295,-42458.13674859413,0.0,57,0.9310816658105243
8,0.7662936973296528,1.2888001117591412,0.7999999999999998,0.4192692828572459,0.8,0.42426406871192845,2.220446049250313e-16,0.0049947858546825485,-47405.5674781412,-42458.13674854094,0.0,53,0.9319548186986655
9,-0.47269162114398755,1.4725562109568575,0.7999999999999998,0.41926936630871353,0.8,0.42426406871192845,2.220446049250313e-16,0.004994702403214923,-52245.54459074972,-42458.13674870026,0.0,59,0.9336328527424484
10,-0.006288177567848718,0.8527084302722678,0.7999999999999998,0.4192693514519412,0.8,0.42426406871192845,2.220446049250313e-16,0.004994717259987236,-46626.785078798435,-42458.136748671874,0.0,57,0.9319679780920412
11,0.7945070966723615,1.4619148062364995,0.7999999999999998,0.41926933300121855,0.8,0.42426406871192845,2.220446049250313e-16,0.004994735710709908,-48816.149824496824,-42458.136748636636,0.0,53,0.9321444715364432
12,0.7593543529645466,0.1403713390442193,0.7999999999999999,0.41917498434906025,0.8,0.42426406871192845,1.1102230246251565e-16,0.005089084362868201,-46661.22434248381,-42458.136751452636,0.0,50,0.932350109363906
13,0.13118399349541798,1.1494476303131511,0.7999999999999998,0.4192692726566846,0.8,0.42426406871192845,2.220446049250313e-16,0.004994796055243833,-47025.49277844157,-42458.1367485215,0.0,57,0.9347928682497392
14,0.4164356843665379,0.43966097940567683,0.7999999999999998,0.41926781207057495,0.8,0.42426406871192845,2.220446049250313e-16,0.0049962566413535026,-44246.20943278719,-42458.13674578027,0.0,52,0.9302140708448581
15,0.45587845701986984,1.4995779673955136,0.7999999999999998,0.4192693934865641,0.8,0.42426406871192845,2.220446049250313e-16,0.004994675225364342,-48320.62706844158,-42458.13674875219,0.0,55,0.9351018853908912
