regime,n_chains,rep,n_components,rho_raw,param_raw,rho_grid,param_grid,rho_err_raw,rho_err_grid,param_err_raw,param_err_grid,rho_grid_minus_raw,param_grid_minus_raw,exkurt_raw,exkurt_grid,raw_monotone_violation
gaussian,64,0,0,0.7890243327495609,0.36270456728498085,0.7881633659402368,0.3644419363613542,-0.010975667250439192,-0.011836634059763207,0.0027045672849809743,0.004441936361354315,-0.0008609668093240153,0.0017373690763733407,nan,nan,nan
mixture,64,0,4,0.8210221942506531,0.3687083176044531,0.8193568969151955,0.37048681615046947,0.021022194250653103,0.019356896915195487,0.00870831760445323,0.010486816150469591,-0.0016652973354576162,0.0017784985460163605,2.996842738480413,3.221198797513985,0.0
gaussian,64,1,0,0.8146001909334495,0.36314620141297416,0.8137911891021957,0.36489991819521134,0.014600190933449442,0.013791189102195678,0.003146201412974281,0.004899918195211461,-0.0008090018312537639,0.0017537167822371802,nan,nan,nan
mixture,64,1,4,0.8067049685060764,0.3421598925200893,0.8060744907841118,0.34392124535053453,0.006704968506076381,0.006074490784111708,-0.01784010747991055,-0.016078754649465343,-0.0006304777219646729,0.0017613528304452064,3.383137058809478,3.6465655648163056,0.0
gaussian,64,2,0,0.818107255704156,0.3647470850081737,0.8173066279924152,0.3665215715146161,0.018107255704155945,0.017306627992415113,0.004747085008173835,0.006521571514616242,-0.0008006277117408311,0.0017744865064424076,nan,nan,nan
mixture,64,2,4,0.799251820355075,0.33381129336051674,0.7990336126583858,0.33558169795445836,-0.0007481796449250178,-0.0009663873416142499,-0.02618870663948314,-0.024418302045541518,-0.00021820769668923212,0.0017704045939416213,2.5784829247222065,2.607888254046646,0.0
gaussian,256,0,0,0.8082481510186421,0.3588589224186007,0.8074044684953071,0.36061638619897934,0.00824815101864207,0.0074044684953070705,-0.001141077581399197,0.0006163861989794683,-0.0008436825233349987,0.0017574637803786652,nan,nan,nan
mixture,256,0,4,0.8011861690786877,0.36106855450960657,0.8003927088004114,0.36282527782563473,0.0011861690786876267,0.0003927088004113122,0.0010685545096066895,0.002825277825634853,-0.0007934602782763145,0.0017567233160281637,2.6418935392238083,2.6645231284936886,0.0
gaussian,256,1,0,0.7871535960013581,0.35355949713113116,0.786258626823586,0.355284997649136,-0.012846403998641898,-0.013741373176413996,-0.006440502868868714,-0.004715002350863862,-0.0008949691777720981,0.0017255005180048522,nan,nan,nan
mixture,256,1,4,0.8003525594210538,0.37634944084089555,0.7993357444084145,0.37808548810612413,0.00035255942105372196,-0.0006642555915855608,0.01634944084089568,0.01808548810612426,-0.0010168150126392828,0.0017360472652285797,2.6145501277963197,2.7136776916353185,0.0
gaussian,256,2,0,0.7997627716813066,0.35131025023274254,0.7988954263797592,0.35306182551818405,-0.00023722831869343874,-0.0011045736202408563,-0.008689749767257338,-0.006938174481815829,-0.0008673453015474175,0.001751575285441509,nan,nan,nan
mixture,256,2,4,0.8074027127480468,0.36101975703565475,0.8067653392571307,0.36278207546547464,0.007402712748046714,0.0067653392571306314,0.001019757035654878,0.002782075465474765,-0.0006373734909160822,0.0017623184298198868,2.85437012002616,2.90253767462283,0.0
