t,grid_size,half_width,score_rel_error_mean,score_rel_error_std,mean_rel_error_mean,identity_residual_max,resolution_ok
0.005,101,4.0,8.807607430541081e-11,1.3076607206559959e-11,5.18076281968348e-12,0.0008240537712497343,0.0
0.005,101,5.0,9.273260141490827e-07,1.080854372561487e-07,5.43096080881053e-08,7.317642583170921e-08,0.0
0.005,101,6.0,0.00012989814650104533,1.339660514408595e-05,7.624195216707862e-06,4.919460397517971e-10,0.0
0.005,101,7.0,0.002647220551555138,0.00029710221490268857,0.0001542034361379372,2.4778959576591775e-11,0.0
0.005,101,8.0,0.01654834155427224,0.002611355864655419,0.0009391947658496739,4.602233588364495e-12,0.0
0.005,201,4.0,7.987107510745899e-15,7.794008164074088e-16,2.6010336610883663e-15,6.82567545445017,0.0
0.005,201,5.0,7.982354862153477e-15,8.454981585466983e-16,2.6093654278190533e-15,7.362224790860432,0.0
0.005,201,6.0,8.283832054430448e-15,5.979087057233086e-16,2.635858574949575e-15,6.791858249099197,0.0
0.005,201,7.0,3.249342597798678e-14,3.1299488168268403e-15,3.1836216907943e-15,1.9125484827334962,0.0
0.005,201,8.0,8.807588742101057e-11,1.307656239197608e-11,5.180749660771374e-12,0.0008246417273263201,0.0
0.005,401,4.0,7.76625520772879e-15,5.223803728482589e-16,2.629066383952465e-15,7.05982952366895,1.0
0.005,401,5.0,7.747693569148337e-15,5.715964376535388e-16,2.614162825723877e-15,7.28635792511813,1.0
0.005,401,6.0,7.460350860709769e-15,5.618549264601153e-16,2.6073795827591915e-15,7.473332325173663,1.0
0.005,401,7.0,8.41748357134653e-15,1.2696047655446168e-15,2.628309513349333e-15,7.801512331353371,0.0
0.005,401,8.0,8.714412801447578e-15,8.291639490204977e-16,2.614610268620722e-15,6.850473119880056,0.0
0.005,801,4.0,8.028513716936256e-15,6.603564483851168e-16,2.593886713789757e-15,7.236291380973039,1.0
0.005,801,5.0,7.463740084630583e-15,3.7180603866295836e-16,2.614148086635901e-15,7.8443813396364215,1.0
0.005,801,6.0,7.589208282750546e-15,7.221679169879892e-16,2.6241603479710702e-15,8.27764832355366,1.0
0.005,801,7.0,8.64678575119949e-15,1.2331949134481545e-15,2.619540226490269e-15,7.5462677987432505,1.0
0.005,801,8.0,7.837686791576169e-15,6.098847031323063e-16,2.634594149190754e-15,7.298753961529412,1.0
0.05,101,4.0,7.907245166459782e-15,1.321751083697687e-14,2.539595835769827e-15,3.074607223043845,1.0
0.05,101,5.0,1.926304399193135e-15,1.736851820621705e-16,1.8916380861726978e-15,3.189062093680026,1.0
0.05,101,6.0,2.0165198474816932e-15,5.890206557458718e-17,1.870959140773618e-15,3.154035296108133,0.0
0.05,101,7.0,1.8804922909900957e-15,1.9356972848997555e-16,1.915766655003954e-15,3.308481344543614,0.0
0.05,101,8.0,3.903804358044431e-15,7.399155245891028e-16,2.335081242475166e-15,2.2504108955983195,0.0
0.05,201,4.0,6.30953505872934e-15,9.833284024003128e-15,2.3694596940072104e-15,3.3682268022931146,1.0
0.05,201,5.0,1.829884680928044e-15,1.583607794906657e-16,1.9041033454010164e-15,3.4078885257488905,1.0
0.05,201,6.0,1.907629284532859e-15,1.6925297892068553e-16,1.8986055110938916e-15,3.3131450580633253,1.0
0.05,201,7.0,1.856335645309421e-15,1.768356027376982e-16,1.8998629287826195e-15,3.3907114002094376,1.0
0.05,201,8.0,2.3511613117949054e-15,4.733115368674516e-16,1.965536942604812e-15,2.865072632095956,1.0
0.05,401,4.0,5.61716507835427e-15,8.304758154718371e-15,2.3105688439068867e-15,3.3716234748894096,1.0
0.05,401,5.0,1.9170025636029397e-15,1.102703211811976e-16,1.905467227432513e-15,3.248956499732174,1.0
0.05,401,6.0,1.9125970895131704e-15,1.9628946578603718e-16,1.9197017535796063e-15,3.282109892337595,1.0
0.05,401,7.0,1.8411892220822654e-15,1.9856791853347313e-16,1.8904304785225784e-15,3.3326869171954936,1.0
0.05,401,8.0,2.0648001536264515e-15,2.039868614951844e-16,1.962261624119598e-15,3.042452035631274,1.0
0.05,801,4.0,5.56452147102458e-15,8.09481846538276e-15,2.2852535295083392e-15,3.3153236481428596,1.0
0.05,801,5.0,1.9072618929500844e-15,1.9157638585205986e-16,1.9046366694714544e-15,3.2298823310362565,1.0
0.05,801,6.0,1.961748086127339e-15,1.7916336378379142e-16,1.9127459895227897e-15,3.1819229666168365,1.0
0.05,801,7.0,1.9060895620572288e-15,1.7641953036822671e-16,1.8884320751477515e-15,3.411780846985491,1.0
0.05,801,8.0,1.8427039064614317e-15,1.6261922387385408e-16,1.924861478791825e-15,3.3115884613494746,1.0
0.4,101,4.0,6.884701921805549e-08,1.1600311502604862e-07,5.772590543904392e-08,0.00022152616738565478,1.0
0.4,101,5.0,5.283378718761792e-14,7.662896285844943e-14,6.755240375250974e-14,1.2579245370928254,1.0
0.4,101,6.0,5.541039397383119e-16,1.0970994806325031e-16,9.074565719408426e-16,1.2229240662970595,1.0
0.4,101,7.0,4.950940008841672e-16,8.923584501852488e-17,7.274185678064773e-16,1.2892607375445362,1.0
0.4,101,8.0,6.724938312785064e-16,2.248279480039922e-16,1.139652747010777e-15,1.4407844626377226,1.0
0.4,201,4.0,6.513415710561444e-08,1.0969051883744272e-07,5.4680506218017135e-08,0.0002406193080504953,1.0
