rho,t,trial,half_width,grid_size,grid_step,score_rel_error,mean_rel_error,identity_residual,resolution_ok
0.95,0.005,0,4.0,101,0.08,8.36238375163989e-11,2.7436673371478313e-12,0.0004562604611612153,0.0
0.95,0.005,1,4.0,101,0.08,9.379315319674438e-11,4.100414431135895e-12,0.0005061604245061057,0.0
0.95,0.005,2,4.0,101,0.08,6.742467474389591e-11,4.5996775045084165e-12,0.0008240537712497343,0.0
0.95,0.005,3,4.0,101,0.08,1.0069198983717958e-10,9.917596977067235e-12,0.0004101143087822382,0.0
0.95,0.005,4,4.0,101,0.08,9.48467162328353e-11,4.5424578485580255e-12,0.0005982501874064929,0.0
0.95,0.005,0,5.0,101,0.1,9.049895049190687e-07,2.9684297543771884e-08,4.1881789056826646e-08,0.0
0.95,0.005,1,5.0,101,0.1,1.011637400478852e-06,4.423292191407651e-08,4.6689460806359355e-08,0.0
0.95,0.005,2,5.0,101,0.1,7.567690954956282e-07,5.1636744206802094e-08,7.317642583170921e-08,0.0
0.95,0.005,3,5.0,101,0.1,1.0271023353175732e-06,1.0116258065337033e-07,4.009145862505946e-08,0.0
0.95,0.005,4,5.0,101,0.1,9.361317345342909e-07,4.483149612250568e-08,6.040425047732584e-08,0.0
0.95,0.005,0,6.0,101,0.12,0.00013020603269639844,4.270850213523923e-06,2.9366300121218503e-10,0.0
0.95,0.005,1,6.0,101,0.12,0.00012156508002186776,5.3153221645407205e-06,3.868348589340821e-10,0.0
0.95,0.005,2,6.0,101,0.12,0.00011213478919689248,7.651310776184496e-06,4.919460397517971e-10,0.0
0.95,0.005,3,6.0,101,0.12,0.00014241816370034324,1.4027218696311247e-05,2.8938152327325686e-10,0.0
0.95,0.005,4,6.0,101,0.12,0.0001431666668897248,6.856274232978932e-06,3.9203751296131445e-10,0.0
0.95,0.005,0,7.0,101,0.14,0.002647124459199584,8.682755958496884e-05,1.4376189769880881e-11,0.0
0.95,0.005,1,7.0,101,0.14,0.0025323813650306166,0.00011072606374411887,1.8623734500039004e-11,0.0
0.95,0.005,2,7.0,101,0.14,0.002227539908789771,0.00015199208229263898,2.4778959576591775e-11,0.0
0.95,0.005,3,7.0,101,0.14,0.0028124209155629696,0.0002770042965390124,1.464325699451167e-11,0.0
0.95,0.005,4,7.0,101,0.14,0.003016636109192749,0.00014446717852894693,1.880749534798129e-11,0.0
0.95,0.005,0,8.0,101,0.16,0.018403174399506138,0.0006036371717130044,2.0737297585612145e-12,0.0
0.95,0.005,1,8.0,101,0.16,0.01774843491772043,0.0007760341168228836,2.6740891746782977e-12,0.0
0.95,0.005,2,8.0,101,0.16,0.012029615379415071,0.0008208186454850313,4.602233588364495e-12,0.0
0.95,0.005,3,8.0,101,0.16,0.0166072454642272,0.0016357005175914258,2.4854614588308407e-12,0.0
0.95,0.005,4,8.0,101,0.16,0.017953237610492362,0.0008597833776360246,3.1554546848216075e-12,0.0
0.95,0.005,0,4.0,201,0.04,8.238370766226807e-15,1.1595279143978953e-15,4.597121864505759,0.0
0.95,0.005,1,4.0,201,0.04,6.981091435943487e-15,1.96747061747594e-15,6.766951540078853,0.0
0.95,0.005,2,4.0,201,0.04,8.111814375059264e-15,3.712493795517138e-15,6.82567545445017,0.0
0.95,0.005,3,4.0,201,0.04,7.546938390359475e-15,3.6721295792449284e-15,5.4713123454951695,0.0
0.95,0.005,4,4.0,201,0.04,9.057322586140464e-15,2.4935463988059276e-15,6.250104961967079,0.0
0.95,0.005,0,5.0,201,0.05,8.205204318052414e-15,1.1662031984072635e-15,4.625185158776168,0.0
0.95,0.005,1,5.0,201,0.05,7.3820781721646e-15,1.961478292456451e-15,6.401826889226639,0.0
0.95,0.005,2,5.0,201,0.05,7.51637666013961e-15,3.7500038896165685e-15,7.362224790860432,0.0
0.95,0.005,3,5.0,201,0.05,7.435379999606918e-15,3.66598658578015e-15,5.557004546300757,0.0
0.95,0.005,4,5.0,201,0.05,9.37273516080384e-15,2.5031551728348343e-15,6.037644844631373,0.0
0.95,0.005,0,6.0,201,0.06,8.512078109577478e-15,1.2037554848617638e-15,4.458987838735435,0.0
0.95,0.005,1,6.0,201,0.06,7.998177261331011e-15,1.986892598479293e-15,5.906948030035247,0.0
0.95,0.005,2,6.0,201,0.06,8.171475956623067e-15,3.768555312450274e-15,6.791858249099197,0.0
0.95,0.005,3,6.0,201,0.06,7.572080799734528e-15,3.729301804104934e-15,5.454381713442465,0.0
0.95,0.005,4,6.0,201,0.06,9.165348144886151e-15,2.4907876748516105e-15,6.174250942034416,0.0
0.95,0.005,0,7.0,201,0.07,3.2514208773382436e-14,1.6334234047190709e-15,1.1673849902863527,0.0
0.95,0.005,1,7.0,201,0.07,3.4332651248442894e-14,2.4349782214020384e-15,1.3768204094054572,0.0
0.95,0.005,2,7.0,201,0.07,2.916961243373827e-14,4.382347676192123e-15,1.8977497578160725,0.0
0.95,0.005,3,7.0,201,0.07,3.6666552129543916e-14,4.310431931026581e-15,1.125262708929481,0.0
0.95,0.005,4,7.0,201,0.07,2.97841053048264e-14,3.1569272206316842e-15,1.9125484827334962,0.0
0.95,0.005,0,8.0,201,0.08,8.362482813091451e-11,2.7437000179896606e-12,0.00045612688692700927,0.0
0.95,0.005,1,8.0,201,0.08,9.379292366618093e-11,4.100404652126489e-12,0.0005061045361980667,0.0
0.95,0.005,2,8.0,201,0.08,6.742416101045657e-11,4.599639709362954e-12,0.0008246417273263201,0.0
0.95,0.005,3,8.0,201,0.08,1.0069212143395135e-10,9.917608241312197e-12,0.00041012177842036137,0.0
0.95,0.005,4,8.0,201,0.08,9.484540286354953e-11,4.542395683065567e-12,0.0005981484854197687,0.0
0.95,0.005,0,4.0,401,0.02,8.010112325639069e-15,1.1728606480268492e-15,4.739335628582781,1.0
0.95,0.005,1,4.0,401,0.02,7.443844970667924e-15,1.9712112755453274e-15,6.347707586086876,1.0
0.95,0.005,2,4.0,401,0.02,7.863634324665594e-15,3.714761388704435e-15,7.05982952366895,1.0
0.95,0.005,3,4.0,401,0.02,7.079180619500905e-15,3.759743213851457e-15,5.8345230729426,1.0
0.95,0.005,4,4.0,401,0.02,8.434503798170463e-15,2.5267553936342555e-15,6.7400857313736955,1.0
0.95,0.005,0,5.0,401,0.025,8.271664932082395e-15,1.1679267874845036e-15,4.578390003188722,1.0
0.95,0.005,1,5.0,401,0.025,6.921450918177482e-15,1.9713637463580306e-15,6.825549393023261,1.0
0.95,0.005,2,5.0,401,0.025,7.598086157079818e-15,3.666240108099344e-15,7.28635792511813,1.0
0.95,0.005,3,5.0,401,0.025,7.638083008498972e-15,3.680124670429579e-15,5.405294991992513,1.0
0.95,0.005,4,5.0,401,0.025,8.309182829903016e-15,2.585158816247927e-15,6.809439239223692,1.0
0.95,0.005,0,6.0,401,0.03,8.03192890676422e-15,1.1564522668901349e-15,4.72572260100614,1.0
0.95,0.005,1,6.0,401,0.03,6.6184713793843384e-15,1.9382620458679037e-15,7.139804659809504,1.0
0.95,0.005,2,6.0,401,0.03,7.408792013094064e-15,3.689124552531614e-15,7.473332325173663,1.0
0.95,0.005,3,6.0,401,0.03,7.32733715196706e-15,3.702569062601379e-15,5.635943689808703,1.0
0.95,0.005,4,6.0,401,0.03,7.915224852339161e-15,2.5504899859049266e-15,7.1838165324741325,1.0
0.95,0.005,0,7.0,401,0.035,9.310671039690444e-15,1.212929734695517e-15,4.066183938593875,0.0
0.95,0.005,1,7.0,401,0.035,7.741446772187507e-15,1.925659052336167e-15,6.1037986490179685,0.0
0.95,0.005,2,7.0,401,0.035,7.111994585550867e-15,3.699976477541873e-15,7.801512331353371,0.0
0.95,0.005,3,7.0,401,0.035,7.758275441014797e-15,3.73844198570436e-15,5.322997767352156,0.0
0.95,0.005,4,7.0,401,0.035,1.0165030018289034e-14,2.5645403164687478e-15,5.567884487615655,0.0
0.95,0.005,0,8.0,401,0.04,7.677957079395155e-15,1.1802486403360512e-15,4.944908713215653,0.0
0.95,0.005,1,8.0,401,0.04,9.688493449085997e-15,1.8880338304615997e-15,4.8789668708716425,0.0
0.95,0.005,2,8.0,401,0.04,8.082840550068102e-15,3.7458657256350625e-15,6.850473119880056,0.0
0.95,0.005,3,8.0,401,0.04,8.852445215016084e-15,3.7350006999902805e-15,4.667456689851208,0.0
0.95,0.005,4,8.0,401,0.04,9.270327713672542e-15,2.5239024466806155e-15,6.1048117897601095,0.0
0.95,0.005,0,4.0,801,0.01,8.390821534061393e-15,1.154002834043276e-15,4.514519181129945,1.0
0.95,0.005,1,4.0,801,0.01,7.612951785261535e-15,1.9140426109698865e-15,6.206716382963302,1.0
0.95,0.005,2,4.0,801,0.01,7.652512532890908e-15,3.700959897598429e-15,7.236291380973039,1.0
0.95,0.005,3,4.0,801,0.01,7.46634765610258e-15,3.668943163055453e-15,5.530228043676221,1.0
0.95,0.005,4,4.0,801,0.01,9.01993507636486e-15,2.5314850632817396e-15,6.276076551120438,1.0
0.95,0.005,0,5.0,801,0.0125,7.107361415499589e-15,1.1719952336562543e-15,5.341681973880163,1.0
0.95,0.005,1,5.0,801,0.0125,7.661528728452518e-15,1.981577213756955e-15,6.1669375907354445,1.0
0.95,0.005,2,5.0,801,0.0125,7.0779298447783295e-15,3.6967334013740985e-15,7.8443813396364215,1.0
0.95,0.005,3,5.0,801,0.0125,7.524047021733236e-15,3.677035368099809e-15,5.486655291564427,1.0
0.95,0.005,4,5.0,801,0.0125,7.947833412689243e-15,2.5433992162923893e-15,7.119795582384155,1.0
0.95,0.005,0,6.0,801,0.015,8.09675746208386e-15,1.1562610185901056e-15,4.690057017088165,1.0
0.95,0.005,1,6.0,801,0.015,7.0058092714436875e-15,1.9366253799031308e-15,6.744968811077095,1.0
0.95,0.005,2,6.0,801,0.015,6.7059341218506856e-15,3.780803086047861e-15,8.27764832355366,1.0
0.95,0.005,3,6.0,801,0.015,7.716624879312941e-15,3.661996810164939e-15,5.35126127653994,1.0
0.95,0.005,4,6.0,801,0.015,8.420915679061561e-15,2.5851154451493157e-15,6.751287175761501,1.0
0.95,0.005,0,7.0,801,0.0175,9.44072052760956e-15,1.202743179518769e-15,4.011269413319575,1.0
0.95,0.005,1,7.0,801,0.0175,8.817210938490187e-15,1.8750146250422274e-15,5.359166911738854,1.0
0.95,0.005,2,7.0,801,0.0175,7.358226300370083e-15,3.708196471488355e-15,7.5462677987432505,1.0
0.95,0.005,3,7.0,801,0.0175,7.446761511326138e-15,3.728465788860017e-15,5.5448195980372805,1.0
0.95,0.005,4,7.0,801,0.0175,1.0171009478201478e-14,2.5832810675419775e-15,5.565540703892292,1.0
0.95,0.005,0,8.0,801,0.02,7.427939850690362e-15,1.1993020138250868e-15,5.109741726766949,1.0
0.95,0.005,1,8.0,801,0.02,7.373148440817579e-15,1.9381942021168243e-15,6.407723579286349,1.0
0.95,0.005,2,8.0,801,0.02,7.605156563203987e-15,3.7603729029936974e-15,7.298753961529412,1.0
0.95,0.005,3,8.0,801,0.02,7.92335618198734e-15,3.710658153262906e-15,5.212677908011598,1.0
0.95,0.005,4,8.0,801,0.02,8.858832921181573e-15,2.564443473755254e-15,6.416895742808974,1.0
0.95,0.05,0,4.0,101,0.08,2.148906386687656e-15,1.0709561547740636e-15,1.894760886715388,1.0
0.95,0.05,1,4.0,101,0.08,1.9955936232136145e-15,2.8053090049958553e-15,3.074607223043845,1.0
0.95,0.05,2,4.0,101,0.08,2.0862675120982015e-15,3.839294388397923e-15,3.054879899315136,1.0
0.95,0.05,3,4.0,101,0.08,1.7555227025027861e-15,1.3265913732838781e-15,3.000039871925349,1.0
0.95,0.05,4,4.0,101,0.08,3.154993560779665e-14,3.6558282573974126e-15,0.13455465321980753,1.0
0.95,0.05,0,5.0,101,0.1,2.148830054091329e-15,1.1078931904680286e-15,1.8893270830423707,1.0
0.95,0.05,1,5.0,101,0.1,1.9742978970178535e-15,2.782087313342494e-15,3.1151206024789126,1.0
0.95,0.05,2,5.0,101,0.1,1.9972023377663153e-15,3.856209587573381e-15,3.189062093680026,1.0
0.95,0.05,3,5.0,101,0.1,1.8082066610949015e-15,1.3142880538950037e-15,2.921255336222161,1.0
0.95,0.05,4,5.0,101,0.1,1.7029850459952752e-15,3.9771228558458315e-16,2.5330891784570087,1.0
0.95,0.05,0,6.0,101,0.12,2.0116964802952144e-15,1.1132409051837635e-15,2.0233615455627887,0.0
0.95,0.05,1,6.0,101,0.12,2.097735824556575e-15,2.6708396980694798e-15,2.931659544010844,0.0
0.95,0.05,2,6.0,101,0.12,2.0192007129629225e-15,3.93368413519366e-15,3.154035296108133,0.0
0.95,0.05,3,6.0,101,0.12,1.9315682486866403e-15,1.2478797148467807e-15,2.718981208378322,0.0
0.95,0.05,4,6.0,101,0.12,2.0223979709071134e-15,3.891512505744042e-16,2.138519378771227,0.0
0.95,0.05,0,7.0,101,0.14,2.049426199923457e-15,1.1171235815874684e-15,1.9891866908676858,0.0
0.95,0.05,1,7.0,101,0.14,1.8580414532704464e-15,2.794514106721312e-15,3.3030755008657273,0.0
0.95,0.05,2,7.0,101,0.14,2.0702557801620165e-15,3.924174674270704e-15,3.076871894705867,0.0
0.95,0.05,3,7.0,101,0.14,1.5934295368186504e-15,1.346123778943624e-15,3.308481344543614,0.0
0.95,0.05,4,7.0,101,0.14,1.8313084847759068e-15,3.9689713349666045e-16,2.361923430190094,0.0
0.95,0.05,0,8.0,101,0.16,3.5049355860280294e-15,1.6944526184357861e-15,1.1601430032951412,0.0
0.95,0.05,1,8.0,101,0.16,4.1026176930081775e-15,3.5695991606607195e-15,1.493919959635529,0.0
0.95,0.05,2,8.0,101,0.16,2.8222831091966446e-15,4.251675185228113e-15,2.2504108955983195,0.0
0.95,0.05,3,8.0,101,0.16,4.531004433416799e-15,1.5775357587368792e-15,1.1553090402537398,0.0
0.95,0.05,4,8.0,101,0.16,4.558180968572504e-15,5.821434893143327e-16,0.9647763336031278,0.0
0.95,0.05,0,4.0,201,0.04,2.0525225603680494e-15,1.1014511574626466e-15,1.9848199437458691,1.0
0.95,0.05,1,4.0,201,0.04,1.9252624449355595e-15,2.8152514132899743e-15,3.188544437062704,1.0
0.95,0.05,2,4.0,201,0.04,2.1052516912661195e-15,3.794509103013146e-15,3.025826386231891,1.0
0.95,0.05,3,4.0,201,0.04,1.568771842478989e-15,1.3097297690058524e-15,3.3682268022931146,1.0
0.95,0.05,4,4.0,201,0.04,2.389586675459798e-14,2.8263570272644325e-15,0.17897700031530198,1.0
0.95,0.05,0,5.0,201,0.05,2.0013302916911766e-15,1.1306576544102434e-15,2.0358034035422747,1.0
0.95,0.05,1,5.0,201,0.05,1.9462578924530326e-15,2.7552142400537846e-15,3.1582170745060774,1.0
0.95,0.05,2,5.0,201,0.05,1.874629890839211e-15,3.915727679557076e-15,3.4078885257488905,1.0
0.95,0.05,3,5.0,201,0.05,1.6697130063353377e-15,1.319255285688852e-15,3.154638313394445,1.0
0.95,0.05,4,5.0,201,0.05,1.6574923233214626e-15,3.996618672951251e-16,2.6105501834429607,1.0
0.95,0.05,0,6.0,201,0.06,2.061715988826447e-15,1.1048674105738628e-15,1.9708110564136043,1.0
0.95,0.05,1,6.0,201,0.06,1.8536354406731404e-15,2.7575368625929503e-15,3.3131450580633253,1.0
0.95,0.05,2,6.0,201,0.06,2.0316216616697335e-15,3.895115510152156e-15,3.1383963233497947,1.0
0.95,0.05,3,6.0,201,0.06,1.6415622692340198e-15,1.3360080066131152e-15,3.2113569040323324,1.0
0.95,0.05,4,6.0,201,0.06,1.9496110622609534e-15,3.9949976553737395e-16,2.2237889140672262,1.0
0.95,0.05,0,7.0,201,0.07,2.0485621410439847e-15,1.0847509096146308e-15,1.991113697999873,1.0
0.95,0.05,1,7.0,201,0.07,1.810739009053371e-15,2.7962155207904926e-15,3.3907114002094376,1.0
0.95,0.05,2,7.0,201,0.07,2.02656353992332e-15,3.890023577499142e-15,3.141266488114699,1.0
0.95,0.05,3,7.0,201,0.07,1.639271077710282e-15,1.3004837787458491e-15,3.2186648856465245,1.0
0.95,0.05,4,7.0,201,0.07,1.756542458816147e-15,4.278408572629821e-16,2.4715967932265266,1.0
0.95,0.05,0,8.0,201,0.08,2.2102850217810227e-15,1.1895861946646388e-15,1.8393434650872904,1.0
0.95,0.05,1,8.0,201,0.08,2.273027114874369e-15,2.9727283356413774e-15,2.712184831317915,1.0
0.95,0.05,2,8.0,201,0.08,2.2219004809194726e-15,3.858274840456356e-15,2.865072632095956,1.0
0.95,0.05,3,8.0,201,0.08,1.8956981523608386e-15,1.3433653141422542e-15,2.776382725154553,1.0
0.95,0.05,4,8.0,201,0.08,3.154895789038823e-15,4.637300281194354e-16,1.3945594238839396,1.0
0.95,0.05,0,4.0,401,0.02,2.111669730596287e-15,1.105295713358583e-15,1.931185139513271,1.0
0.95,0.05,1,4.0,401,0.02,1.923276927211073e-15,2.798724862152968e-15,3.1985567845092637,1.0
0.95,0.05,2,4.0,401,0.02,2.019888671004442e-15,3.834948854946812e-15,3.1512058564858205,1.0
0.95,0.05,3,4.0,401,0.02,1.5624956500496543e-15,1.3784874647136182e-15,3.3716234748894096,1.0
0.95,0.05,4,4.0,401,0.02,2.0468494412909895e-14,2.4353873243624525e-15,0.20703952735375897,1.0
0.95,0.05,0,5.0,401,0.025,1.9862995229091526e-15,1.1670339096714898e-15,2.0416088937446863,1.0
0.95,0.05,1,5.0,401,0.025,1.9424323879099934e-15,2.7248371285459432e-15,3.1659051447788635,1.0
0.95,0.05,2,5.0,401,0.025,1.9604311712219763e-15,3.8983667826778444e-15,3.248956499732174,1.0
0.95,0.05,3,5.0,401,0.025,1.7219091340936753e-15,1.2856837839258554e-15,3.0612785488853946,1.0
0.95,0.05,4,5.0,401,0.025,1.973940601879902e-15,4.514145323414301e-16,2.189184401493133,1.0
0.95,0.05,0,6.0,401,0.03,2.0605356067900948e-15,1.14072128869697e-15,1.9745976260706872,1.0
0.95,0.05,1,6.0,401,0.03,1.9411249317471204e-15,2.776519844657673e-15,3.1709371124358894,1.0
0.95,0.05,2,6.0,401,0.03,2.1004195410542724e-15,3.9338892110519135e-15,3.039853322852878,1.0
0.95,0.05,3,6.0,401,0.03,1.6084114356202657e-15,1.3293390870680722e-15,3.282109892337595,1.0
0.95,0.05,4,6.0,401,0.03,1.8524939323541005e-15,4.1803933642340396e-16,2.3368094136798563,1.0
0.95,0.05,0,7.0,401,0.035,2.0905114429626948e-15,1.1099373203273255e-15,1.9415818354677974,1.0
0.95,0.05,1,7.0,401,0.035,1.8450760874334985e-15,2.7543771144598998e-15,3.3326869171954936,1.0
0.95,0.05,2,7.0,401,0.035,1.9783599270274846e-15,3.81494767253548e-15,3.2188255379725836,1.0
0.95,0.05,3,7.0,401,0.035,1.6622197235455997e-15,1.3095794798221702e-15,3.172053744801551,1.0
0.95,0.05,4,7.0,401,0.035,1.6297789294420492e-15,4.633108054680185e-16,2.6341860748240546,1.0
0.95,0.05,0,8.0,401,0.04,2.1818216415791565e-15,1.1804284512792427e-15,1.8647828335148584,1.0
0.95,0.05,1,8.0,401,0.04,2.0208938911445923e-15,2.865404938855772e-15,3.042452035631274,1.0
0.95,0.05,2,8.0,401,0.04,2.1098925201445524e-15,3.958348232100131e-15,3.0221242924875424,1.0
0.95,0.05,3,8.0,401,0.04,1.7394249442182247e-15,1.3495835640477797e-15,3.035030058642946,1.0
0.95,0.05,4,8.0,401,0.04,2.271967771045731e-15,4.575429343150624e-16,1.9007491612702452,1.0
0.95,0.05,0,4.0,801,0.01,2.1678100208759725e-15,1.085388803585069e-15,1.892317749466021,1.0
0.95,0.05,1,4.0,801,0.01,1.8998522709780576e-15,2.733819281176753e-15,3.234671261615988,1.0
0.95,0.05,2,4.0,801,0.01,1.925101928923686e-15,3.909029704116611e-15,3.3153236481428596,1.0
0.95,0.05,3,4.0,801,0.01,1.786998529933525e-15,1.3068481482414106e-15,2.9579020282241064,1.0
0.95,0.05,4,4.0,801,0.01,2.004284460441166e-14,2.3911817104218525e-15,0.21216353211432334,1.0
0.95,0.05,0,5.0,801,0.0125,2.1566842531614254e-15,1.0951111236209575e-15,1.890984074602975,1.0
0.95,0.05,1,5.0,801,0.0125,1.9034506916957457e-15,2.769184380406335e-15,3.2298823310362565,1.0
