rho,half_width,t,score_rel_error_mean,score_rel_error_std,mean_rel_error_mean,identity_residual_max,resolution_ok
0.2,4.0,0.005,1.502485624121999e-14,2.083983268721254e-15,3.2892094267829115e-16,2.5114206360252345,1.0
0.2,4.0,0.01,4.5736391775881033e-10,1.0226819987738026e-09,9.344512674536966e-12,2.6514063454410883,1.0
0.2,4.0,0.02,1.3779647214983553e-10,1.9161466860386563e-10,5.808790937328568e-12,2.2872009505169006,1.0
0.2,4.0,0.05,4.3056912631150735e-05,9.621282923382738e-05,4.554411751978057e-06,0.007501336161388886,1.0
0.2,4.0,0.1,9.17591187771518e-05,0.00014508771048775344,2.0228381277463757e-05,6.973538387511821e-10,1.0
0.2,4.0,0.2,0.0018360087403597534,0.0038516743934744846,0.0008629880657159623,2.8846112437015693e-11,1.0
0.2,4.0,0.4,0.0004189887584706986,0.0004802563555812973,0.0004824929365670496,4.6412941813413785e-12,1.0
0.2,4.0,0.8,0.000328582489473855,0.00020958358435883696,0.0011608812645374424,3.946350652481248e-12,1.0
0.2,4.0,1.6,5.559206433255915e-05,1.795652386802114e-05,0.0012503096588837876,7.274500160941198e-12,1.0
0.2,4.0,2.4,1.1520966518921497e-05,2.295680196927681e-06,0.0012703737531030272,3.761583282462382e-11,1.0
0.2,5.0,0.005,1.3082374873941647e-14,3.435814451650719e-15,3.2238367738476512e-16,2.97297689340026,1.0
0.2,5.0,0.01,6.455725296514696e-15,1.750806315153537e-15,3.0850910625254686e-16,3.5495434935741748,1.0
0.2,5.0,0.02,3.193534711624156e-15,7.887557534107552e-16,3.1290877791825264e-16,3.1760222790178063,1.0
0.2,5.0,0.05,1.3802811365996544e-12,3.0832279130370955e-12,1.4609686712282185e-13,2.7326592929073867,1.0
0.2,5.0,0.1,1.3976470751882137e-09,2.69622991497005e-09,3.031815103508227e-10,0.000787684067671533,1.0
0.2,5.0,0.2,8.279246795404181e-06,1.8411595390820526e-05,3.875931186662847e-06,1.9568918860123253e-07,1.0
0.2,5.0,0.4,2.4557710127015785e-06,3.868177295016296e-06,2.79605352411418e-06,1.8089917381958052e-09,1.0
0.2,5.0,0.8,5.025818629083735e-06,4.431694252028213e-06,1.7744167406287873e-05,5.357922166369061e-10,1.0
0.2,5.0,1.6,8.326047157074035e-07,4.4875006208637915e-07,1.8618493506002316e-05,5.529883387752933e-10,1.0
0.2,5.0,2.4,1.5930992240251148e-07,3.211169424833827e-08,1.7562953540911702e-05,3.0373489058580275e-09,1.0
0.2,6.0,0.005,1.3660875336322894e-14,2.8874143579224004e-15,3.1015075186335423e-16,2.649079189989655,1.0
0.2,6.0,0.01,7.401049285861791e-15,1.4179594189620405e-15,3.28522766546114e-16,2.6887266533235707,1.0
0.2,6.0,0.02,3.983174518035967e-15,9.231799567524827e-16,3.741448151087759e-16,3.337831317015473,1.0
0.2,6.0,0.05,1.6047184471798833e-15,2.9438837126874135e-16,3.205061573015975e-16,2.00732083636995,1.0
0.2,6.0,0.1,7.599383184437877e-16,1.25218946728745e-16,3.4862418939526876e-16,3.079858468303492,1.0
0.2,6.0,0.2,1.8045751233640114e-09,4.033094184184137e-09,8.444603461774776e-10,0.02839451945856358,1.0
0.2,6.0,0.4,2.5745817917250553e-09,4.800582520799633e-09,2.91103456811236e-09,4.866164819349143e-06,1.0
0.2,6.0,0.8,2.4144710794376508e-08,2.536362371229742e-08,8.526662277652738e-08,2.455383041675175e-07,1.0
0.2,6.0,1.6,4.609521257421209e-09,3.723253333701102e-09,1.023654596289605e-07,1.3172003432645953e-07,1.0
0.2,6.0,2.4,7.761756133246985e-10,1.582432758702408e-10,8.55525127986577e-08,6.053861167517346e-07,1.0
0.2,7.0,0.005,1.3661959432922207e-14,1.5405005907077346e-15,3.254242949459485e-16,2.52779059518824,1.0
0.2,7.0,0.01,8.00814288710463e-15,1.1873330358051848e-15,3.1828771235368445e-16,2.1247767421298094,1.0
0.2,7.0,0.02,3.970857599318439e-15,9.075759413593389e-16,3.1548426000287157e-16,2.1492720743044758,1.0
0.2,7.0,0.05,1.3343793785636775e-15,3.4754943598145173e-16,3.242610256052326e-16,2.8785118191287684,1.0
0.2,7.0,0.1,8.855939857327382e-16,9.679404090336465e-17,3.5047066721874203e-16,2.1545069005345483,1.0
0.2,7.0,0.2,1.8353213736699893e-14,4.0106901532844285e-14,8.640142208082536e-15,2.5507560530464355,1.0
0.2,7.0,0.4,4.57161620252762e-13,9.30919165730599e-13,5.150258975529043e-13,0.06669754173324101,1.0
0.2,7.0,0.8,3.458566215285332e-11,4.0183727908875383e-11,1.2221217157931825e-10,0.00043696415352941176,1.0
0.2,7.0,1.6,9.552032720179578e-12,1.0448470219394632e-11,2.106137710107387e-10,8.94628904126429e-05,1.0
0.2,7.0,2.4,1.3511343765189274e-12,2.7862898655762405e-13,1.488966414574629e-10,0.0003124374510040634,1.0
0.2,8.0,0.005,1.534700443726044e-14,2.9295669746042468e-15,3.2181681858499924e-16,2.4596014839325644,1.0
0.2,8.0,0.01,7.380635954548659e-15,1.0339646393569868e-15,3.489655718582868e-16,2.1229239054825966,1.0
0.2,8.0,0.02,3.5234791079042506e-15,5.514102985917847e-16,3.0282266115563495e-16,3.179273080342875,1.0
0.2,8.0,0.05,1.229879542693357e-15,3.210021540856076e-16,2.732015072554833e-16,3.4525458661532995,1.0
0.2,8.0,0.1,7.641458654567847e-16,1.0919391305591721e-16,3.27067651380032e-16,2.9869395133910674,1.0
0.2,8.0,0.2,4.443929864053298e-16,5.1785377124403903e-17,3.130628655528553e-16,2.104216742503302,1.0
0.2,8.0,0.4,3.0075635590302677e-16,3.4494238253760874e-17,2.9350856883840653e-16,1.761385986813713,1.0
0.2,8.0,0.8,1.443445197181828e-14,1.768746822227179e-14,5.081878563224178e-14,0.928956392991934,1.0
0.2,8.0,1.6,7.328831195599695e-15,1.0047075411361552e-14,1.6197141466051753e-13,0.19596832413010193,1.0
0.2,8.0,2.4,9.323546904970045e-16,1.5916814064451678e-16,9.341583517676033e-14,0.40476253014371866,1.0
0.5,4.0,0.005,1.085893639601408e-14,7.665970919182063e-16,3.5490291140290676e-16,2.538101085085703,1.0
0.5,4.0,0.01,3.3197767081740604e-08,7.423244867402257e-08,7.200526720528424e-10,2.724752166049626,1.0
0.5,4.0,0.02,7.761883520669023e-12,1.734988531521235e-11,5.30984992941383e-13,3.1531479648660494,1.0
0.5,4.0,0.05,1.756593156841527e-08,3.509164590832753e-08,2.9501675393760405e-09,0.14884202886990547,1.0
0.5,4.0,0.1,1.1469586865700853e-05,2.5603824569405725e-05,2.518818195567455e-06,2.5040233691291895e-07,1.0
0.5,4.0,0.2,0.0003248132385749671,0.0007113677724573433,0.00015858061968045042,7.123844565990438e-09,1.0
0.5,4.0,0.4,0.00016948717800497777,0.00011494475391132237,0.00021552416272183132,8.591446392918773e-11,1.0
0.5,4.0,0.8,0.00037086922494632124,0.0002765589795918331,0.0012052545545017351,3.849268271463486e-12,1.0
0.5,4.0,1.6,9.479370156866496e-05,4.608578878777021e-05,0.0018841430104825682,5.1599237729074344e-12,1.0
0.5,4.0,2.4,2.297368070443108e-05,7.361652467911343e-06,0.002257273464864882,2.374992811974883e-11,1.0
0.5,5.0,0.005,1.1933411032662644e-14,2.22251956186205e-15,3.40185615396308e-16,2.6099979739144743,1.0
0.5,5.0,0.01,6.359564243378087e-15,1.1854919632234991e-15,3.749198014936208e-16,3.341482573460212,1.0
0.5,5.0,0.02,2.6624446072072382e-15,5.221320701258228e-16,4.075852459134405e-16,3.4923459667079157,1.0
0.5,5.0,0.05,1.0945677111869203e-15,1.697184332884519e-16,4.2432840691773385e-16,4.4444354957989285,1.0
0.5,5.0,0.1,3.4790388429145516e-11,7.779063532133184e-11,7.638901556150756e-12,2.1636878149384975,1.0
0.5,5.0,0.2,2.8173985418492914e-07,6.290144004534879e-07,1.3685606907642085e-07,0.0007761460973268075,1.0
0.5,5.0,0.4,4.745091992108659e-07,4.7363527410864336e-07,6.019060824714613e-07,1.6011665026816764e-07,1.0
0.5,5.0,0.8,3.998148894610711e-06,3.671816348917186e-06,1.2781619249147677e-05,8.979760120342808e-10,1.0
0.5,5.0,1.6,1.3153796698752785e-06,7.058051095390646e-07,2.5934817183771693e-05,4.122504319911094e-10,1.0
0.5,5.0,2.4,3.2317980356106836e-07,1.078892269512442e-07,3.167143138212105e-05,1.835469820359884e-09,1.0
