rho,t,trial,half_width,grid_size,grid_step,score_rel_error,mean_rel_error,identity_residual,resolution_ok
0.2,0.005,0,4.0,401,0.02,1.532074376966965e-14,2.598329142277474e-16,1.640726392645239,1.0
0.2,0.005,1,4.0,401,0.02,1.2897313937182193e-14,3.3300062287895924e-16,1.7957345934165108,1.0
0.2,0.005,2,4.0,401,0.02,1.7235092659476112e-14,2.8209943002609423e-16,1.7092703753882634,1.0
0.2,0.005,3,4.0,401,0.02,1.6810553054987765e-14,3.5108909881957084e-16,2.020288526476973,1.0
0.2,0.005,4,4.0,401,0.02,1.2860577784784232e-14,4.1858264743908387e-16,2.5114206360252345,1.0
0.2,0.01,0,4.0,401,0.02,8.318465470710954e-15,3.363957526551929e-16,1.648551412014393,1.0
0.2,0.01,1,4.0,401,0.02,2.286793092656693e-09,4.6721299201319e-11,5.612371057435135e-06,1.0
0.2,0.01,2,4.0,401,0.02,5.573923094983144e-15,3.636119818599523e-16,2.6514063454410883,1.0
0.2,0.01,3,4.0,401,0.02,6.691813397458503e-15,2.85428735276132e-16,2.0535787759608177,1.0
0.2,0.01,4,4.0,401,0.02,5.911935395831386e-15,2.7873489604164236e-16,2.0642289131799822,1.0
0.2,0.02,0,4.0,401,0.02,2.8023716710678864e-15,2.8929664709202145e-16,1.7856524584349855,1.0
0.2,0.02,1,4.0,401,0.02,2.972467042965042e-10,1.3190815300838823e-11,1.9235277744167236e-05,1.0
0.2,0.02,2,4.0,401,0.02,3.0514954381446244e-15,3.4911364462906996e-16,2.2872009505169006,1.0
0.2,0.02,3,4.0,401,0.02,3.9172498047205e-10,1.5852112295233695e-11,2.8954594415104917e-05,1.0
0.2,0.02,4,4.0,401,0.02,4.822113514256607e-15,3.8868027859882677e-16,1.245590712214672,1.0
0.2,0.05,0,4.0,401,0.02,0.00021516763050953124,2.2759372957947305e-05,1.1738894200285756e-11,1.0
0.2,0.05,1,4.0,401,0.02,1.1594518234058996e-07,1.2578127276100538e-08,1.640901641604872e-08,1.0
0.2,0.05,2,4.0,401,0.02,1.2522168377091891e-12,1.4974026032883012e-13,0.002271345978366908,1.0
0.2,0.05,3,4.0,401,0.02,4.1880578710631025e-13,4.457053020532603e-14,0.007501336161388886,1.0
0.2,0.05,4,4.0,401,0.02,9.857928591992731e-10,1.0748035609155944e-10,2.6538367070235375e-06,1.0
0.2,0.1,0,4.0,401,0.02,1.1200482234717236e-05,2.6332790236264847e-06,1.3980052383080366e-10,1.0
0.2,0.1,1,4.0,401,0.02,0.00034082291314484577,7.284485745996043e-05,2.9942353382845413e-12,1.0
0.2,0.1,2,4.0,401,0.02,2.957890898702691e-06,7.008620222913041e-07,6.973538387511821e-10,1.0
