rho,grid_size,t,score_rel_error_mean,score_rel_error_std,mean_rel_error_mean,identity_residual_max,resolution_ok
0.2,101,0.005,0.02695696360613442,0.006882338848784484,0.0002793447523253786,1.4504682931669292e-12,0.0
0.2,101,0.01,1.2919102559644699e-05,1.2591911237373105e-06,2.8246896997779e-07,1.2404055581795059e-09,0.0
0.2,101,0.02,4.594269070868092e-12,3.5207054567152233e-13,1.9958503243369752e-13,0.0027439102893143815,0.0
0.2,101,0.05,2.069853871871278e-15,4.266511436548871e-16,3.396852500663504e-16,1.6435586827549196,0.0
0.2,101,0.1,1.187182061941899e-15,1.5672243899020705e-16,3.566524048418368e-16,1.8720934018648063,0.0
0.2,101,0.2,5.908853687266666e-16,1.3175736707966733e-16,4.0183072647467087e-16,1.8054238044238076,1.0
0.2,101,0.4,3.0214814603282213e-16,2.780439906584138e-17,3.4183067907235775e-16,1.838428527903937,1.0
0.2,101,0.8,1.6480017194678038e-14,2.0220566141361858e-14,5.800948364712144e-14,0.9657656852955193,1.0
0.2,101,1.6,8.210201611052101e-15,1.1146188482492217e-14,1.8103001813485666e-13,0.1777877586182296,1.0
0.2,101,2.4,1.0314909930919568e-15,1.7733260229271734e-16,1.0485160179723482e-13,0.40753492696544497,1.0
0.2,201,0.005,5.913601330380772e-12,1.3411967012931576e-12,6.121423969244746e-14,0.006402457519968248,0.0
0.2,201,0.01,9.490760312463589e-15,1.4410458424289757e-15,3.6399915262677237e-16,1.7204013538425766,0.0
0.2,201,0.02,5.753556482232237e-15,1.2933493555545401e-15,4.0912207300063347e-16,1.732860804100682,0.0
0.2,201,0.05,2.2656139943128763e-15,3.008681282638273e-16,3.8076532828786366e-16,1.46812479171174,1.0
0.2,201,0.1,1.0963197888117332e-15,1.912947162954308e-16,3.7885897278311064e-16,1.9176746647821856,1.0
0.2,201,0.2,6.077801039933845e-16,8.891991007991689e-17,3.713733289690306e-16,1.7507696190491673,1.0
0.2,201,0.4,3.1018607794716564e-16,4.382964409903023e-17,3.648066707506998e-16,1.8146328805840335,1.0
0.2,201,0.8,1.4925029413737017e-14,1.834178537147913e-14,5.254346336477508e-14,0.9536868383677256,1.0
0.2,201,1.6,7.527748600426176e-15,1.0320061852414852e-14,1.6647135382168744e-13,0.17927539536773748,1.0
0.2,201,2.4,9.443616927483815e-16,1.6197322680286097e-16,9.603037527024675e-14,0.39162190836940536,1.0
0.2,401,0.005,1.8506630529866017e-14,1.976404918408448e-15,3.6508906354366333e-16,1.8378622302935228,0.0
0.2,401,0.01,9.298766762227425e-15,1.4068577695808683e-15,3.8610987307187544e-16,2.084608306608883,1.0
0.2,401,0.02,4.282813815502646e-15,6.365595029462838e-16,3.599731880514201e-16,2.716585631398925,1.0
0.2,401,0.05,1.502994656914373e-15,1.6409861559693797e-16,2.8247664213317186e-16,2.0135505657572326,1.0
0.2,401,0.1,9.384313780508013e-16,1.8827504718153205e-16,3.2156948186818554e-16,1.8911730829371787,1.0
0.2,401,0.2,4.2725463395782885e-16,8.953442856522525e-17,3.383466703829697e-16,2.6273024015393096,1.0
0.2,401,0.4,2.951225475829752e-16,3.9529269969215166e-17,3.625791156661027e-16,1.841816419398402,1.0
0.2,401,0.8,1.4530444001783007e-14,1.7814211452016265e-14,5.113333747076661e-14,0.9858121954803938,1.0
0.2,401,1.6,7.368495704607603e-15,1.0097196478898031e-14,1.6299381949056558e-13,0.18942766493414243,1.0
0.2,401,2.4,9.354446395507992e-16,1.5850817219129326e-16,9.385400963113116e-14,0.40564208550989317,1.0
0.2,801,0.005,1.534700443726044e-14,2.9295669746042468e-15,3.2181681858499924e-16,2.4596014839325644,1.0
0.2,801,0.01,7.380635954548659e-15,1.0339646393569868e-15,3.489655718582868e-16,2.1229239054825966,1.0
0.2,801,0.02,3.5234791079042506e-15,5.514102985917847e-16,3.0282266115563495e-16,3.179273080342875,1.0
