rho,t,trial,half_width,grid_size,grid_step,score_rel_error,mean_rel_error,identity_residual,resolution_ok
0.2,0.005,0,8.0,101,0.16,0.02967446200540789,0.0003076754631737593,8.603672693853446e-13,0.0
0.2,0.005,1,8.0,101,0.16,0.014989916821986589,0.0001681101776124255,1.4504682931669292e-12,0.0
0.2,0.005,2,8.0,101,0.16,0.027418716286298193,0.00026058035955571273,1.0076617228736516e-12,0.0
0.2,0.005,3,8.0,101,0.16,0.031200107316901166,0.0003009388715797318,1.0418596420770874e-12,0.0
0.2,0.005,4,8.0,101,0.16,0.03150161560007828,0.0003594188897052636,9.687962558735481e-13,0.0
0.2,0.01,0,8.0,101,0.16,1.4929403391839769e-05,3.2301221043466295e-07,9.061922811873398e-10,0.0
0.2,0.01,1,8.0,101,0.16,1.1577873237602526e-05,2.3654582408882237e-07,9.664363524887012e-10,0.0
0.2,0.01,2,8.0,101,0.16,1.2266198089802244e-05,2.9469027946422393e-07,1.2404055581795059e-09,0.0
0.2,0.01,3,8.0,101,0.16,1.3105478136511145e-05,3.0374421103527974e-07,1.056315288245452e-09,0.0
0.2,0.01,4,8.0,101,0.16,1.27165599424678e-05,2.54352324865961e-07,9.159553586896912e-10,0.0
0.2,0.02,0,8.0,101,0.16,5.004932486053647e-12,2.324225276799022e-13,0.0010604635271672356,0.0
0.2,0.02,1,8.0,101,0.16,4.465032033298013e-12,1.9803030680726163e-13,0.001170430643439275,0.0
0.2,0.02,2,8.0,101,0.16,4.9300018537537905e-12,2.1325651822610046e-13,0.0013208806799302215,0.0
0.2,0.02,3,8.0,101,0.16,4.346141156709451e-12,1.757526500161021e-13,0.0027439102893143815,0.0
0.2,0.02,4,8.0,101,0.16,4.225237824525554e-12,1.784631594391211e-13,0.0015857491692148659,0.0
0.2,0.05,0,8.0,101,0.16,1.655769087433636e-15,3.200929527254037e-16,1.6435586827549196,0.0
0.2,0.05,1,8.0,101,0.16,1.6126747194745387e-15,2.804896021294679e-16,1.2534582934626908,0.0
0.2,0.05,2,8.0,101,0.16,2.1397925078101402e-15,4.156582215879329e-16,1.2573192033065759,0.0
0.2,0.05,3,8.0,101,0.16,2.5746637155469118e-15,3.60002752782599e-16,1.2101988114528506,0.0
0.2,0.05,4,8.0,101,0.16,2.3663693290911616e-15,3.2218272110634867e-16,1.1189351924385325,0.0
0.2,0.1,0,8.0,101,0.16,1.2472821352468297e-15,3.829843494509541e-16,1.2803596741603602,0.0
0.2,0.1,1,8.0,101,0.16,1.4248552291642992e-15,3.3167859188455927e-16,0.8250765201236713,0.0
0.2,0.1,2,8.0,101,0.16,1.0992175744744025e-15,4.3445193280270016e-16,1.8720934018648063,0.0
0.2,0.1,3,8.0,101,0.16,1.0174720883632276e-15,3.475618319540506e-16,1.23260986435415,0.0
0.2,0.1,4,8.0,101,0.16,1.147083282460736e-15,2.8658531811692e-16,1.2110728119650733,0.0
0.2,0.2,0,8.0,101,0.16,8.043978789190291e-16,4.90375963370343e-16,1.1292730457892024,1.0
0.2,0.2,1,8.0,101,0.16,5.832534915265032e-16,3.6569091854781235e-16,1.8054238044238076,1.0
0.2,0.2,2,8.0,101,0.16,4.480733133492977e-16,4.074835044462257e-16,1.7422684351968456,1.0
0.2,0.2,3,8.0,101,0.16,5.859035907095243e-16,4.306858070798687e-16,1.3244863963389129,1.0
0.2,0.2,4,8.0,101,0.16,5.327985691289786e-16,3.149174389291048e-16,1.5021209020942075,1.0
0.2,0.4,0,8.0,101,0.16,3.444766752272818e-16,2.6294759443175573e-16,1.417445803683678,1.0
0.2,0.4,1,8.0,101,0.16,2.907606491242499e-16,4.912530245305704e-16,1.838428527903937,1.0
0.2,0.4,2,8.0,101,0.16,2.926948113105619e-16,3.3408980569853777e-16,1.5462634641144533,1.0
0.2,0.4,3,8.0,101,0.16,2.707798839335681e-16,3.313438424352371e-16,1.5682996355661776,1.0
0.2,0.4,4,8.0,101,0.16,3.1202871056844903e-16,2.8951912826568765e-16,1.4494781220292496,1.0
0.2,0.8,0,8.0,101,0.16,3.3211602996668956e-14,1.132898192596479e-13,0.013326703781583307,1.0
0.2,0.8,1,8.0,101,0.16,5.658184378735464e-16,1.467820775194189e-15,0.7086404262281334,1.0
0.2,0.8,2,8.0,101,0.16,4.3179301392734924e-14,1.5668390823886847e-13,0.008873487323595953,1.0
0.2,0.8,3,8.0,101,0.16,3.933645901994536e-16,4.548080230373344e-16,0.9657656852955193,1.0
0.2,0.8,4,8.0,101,0.16,5.049998555913309e-15,1.815106193885933e-14,0.08798097078713146,1.0
0.2,1.6,0,8.0,101,0.16,2.798275531728958e-14,6.049966058913719e-13,0.00856665341042356,1.0
0.2,1.6,1,8.0,101,0.16,2.66750778631949e-15,6.202419472333039e-14,0.08696166005085278,1.0
0.2,1.6,2,8.0,101,0.16,3.041686223914636e-15,7.265399541429519e-14,0.09897403695226471,1.0
0.2,1.6,3,8.0,101,0.16,1.7421080727811729e-15,4.121559631747418e-14,0.1777877586182296,1.0
0.2,1.6,4,8.0,101,0.16,5.616950654955628e-15,1.242596983278117e-13,0.049646651572541736,1.0
0.2,2.4,0,8.0,101,0.16,1.3123979381877319e-15,1.1833688377468717e-13,0.26275235940199626,1.0
0.2,2.4,1,8.0,101,0.16,1.0277194830254697e-15,1.103521831191711e-13,0.30133082361005437,1.0
0.2,2.4,2,8.0,101,0.16,9.841940530817137e-16,1.0176293249578604e-13,0.24360565860564892,1.0
0.2,2.4,3,8.0,101,0.16,1.0120039304619701e-15,1.0566010975946226e-13,0.24307444082135124,1.0
0.2,2.4,4,8.0,101,0.16,8.211395607028992e-16,8.814589983706748e-14,0.40753492696544497,1.0
0.2,0.005,0,8.0,201,0.08,5.753896100240585e-12,5.960976258973351e-14,0.004514097402021669,0.0
0.2,0.005,1,8.0,201,0.08,3.737572045479073e-12,4.199958939534414e-14,0.006402457519968248,0.0
0.2,0.005,2,8.0,201,0.08,6.152616161450651e-12,5.842762537122937e-14,0.004443487286027295,0.0
0.2,0.005,3,8.0,201,0.08,7.261444352950808e-12,7.007763430974724e-14,0.0043132884321387234,0.0
0.2,0.005,4,8.0,201,0.08,6.662477991782746e-12,7.595658679618304e-14,0.004629632062344536,0.0
0.2,0.01,0,8.0,201,0.08,9.370368328873794e-15,4.37632305570892e-16,1.4516925589315148,0.0
0.2,0.01,1,8.0,201,0.08,1.0795407019940573e-14,2.616326569386758e-16,1.1020624570451778,0.0
