t,trial,alpha,delta,posterior_mean_mse,posterior_mean_rel_error,score_mse,score_rel_error,score_cosine,score_max_abs_error,identity_residual,grid_self_conv_rel_error,legacy_vs_analytic_max_abs_mean
0.05,0,0.951229424500714,0.09516258196404048,0.005269524511922949,0.06279289207751998,0.5265135436260575,0.3721202153964234,0.9305106945407333,2.9824404733276957,1.1241233287257155e-15,1.2132780223572087e-05,0.00012117521951598986
0.05,1,0.951229424500714,0.09516258196404048,0.0021773967508691384,0.07041735576732575,0.2175583160465498,0.24622316659796983,0.9794924630822694,0.8800388183215242,1.174473833091626e-15,1.3937244076678387e-05,5.346073227554052e-06
0.05,2,0.951229424500714,0.09516258196404048,0.0016129539058045612,0.07478181656474399,0.1611610449347251,0.21268389837224771,0.9911104051634074,0.8352178853201633,9.42394093699567e-16,1.2066664256886159e-05,1.6200185294079628e-06
0.05,3,0.951229424500714,0.09516258196404048,0.001449652767059319,0.03861582440249465,0.14484453268691458,0.19029008067542066,0.9826251259170962,0.7161878083636082,1.7417154134138871e-15,1.2807568939781571e-05,5.907261752402526e-05
0.05,4,0.951229424500714,0.09516258196404048,0.003398236525135575,0.0866985467191582,0.3395406076734828,0.3038756524992171,0.95370035452049,1.5614912091271858,6.085849806296135e-16,1.2512713681331729e-05,6.29476737563639e-05
0.05,5,0.951229424500714,0.09516258196404048,0.0015906052974911117,0.05329541632327275,0.1589280455565837,0.18615019086399184,0.9825342902418444,0.7351467767446216,1.07370099714348e-15,9.068633758059995e-06,1.233548118739769e-05
0.05,6,0.951229424500714,0.09516258196404048,0.001409669821229179,0.04791906373927346,0.14084956835075796,0.23801485973523862,0.9736303107244605,0.9067077211507937,1.2506784601936002e-15,1.6549445571146152e-05,7.98750365516021e-06
0.05,7,0.951229424500714,0.09516258196404048,0.0029293373023104178,0.060044624616189715,0.2926897407964853,0.29594883675207717,0.965081949608491,2.016400778932641,1.1715132698089032e-15,1.0213155811390888e-05,4.466652440904273e-05
0.05,8,0.951229424500714,0.09516258196404048,0.001472301223308092,0.04028510714139965,0.14710749188374914,0.21969849743244868,0.9775314175114687,0.8917430838203518,1.8380324587777905e-15,1.2314110312984466e-05,8.704398255598988e-05
0.05,9,0.951229424500714,0.09516258196404048,0.006143615195070133,0.053499963767735005,0.6138498074565106,0.4699708657674135,0.9287456103754483,2.458252236921923,1.0356205164431458e-15,9.662604483758247e-06,0.0011201972643384295
0.05,10,0.951229424500714,0.09516258196404048,0.001853096472659228,0.06285818553623161,0.1851552997415915,0.22832402752518022,0.9735852143953094,1.041609094710243,9.834344369959684e-16,1.4243361011535221e-05,2.5153592879023634e-05
0.05,11,0.951229424500714,0.09516258196404048,0.00506529143765297,0.04654437783878712,0.506107247115579,0.3771371928148179,0.9314527378435217,2.3124687551686436,1.6563471369016331e-15,7.439391011544323e-06,0.0001109341728706692
0.05,12,0.951229424500714,0.09516258196404048,0.007518087654782765,0.08306867061258039,0.751182571303099,0.48695135995408484,0.8860985148291124,3.478784536989254,1.1130406913780184e-15,1.2037878629714966e-05,0.0007331220024819896
0.05,13,0.951229424500714,0.09516258196404048,0.0015600117335466794,0.053574969755651874,0.15587123735157635,0.16979006626980167,0.9890153496762625,0.7807054537854444,1.2140209648294455e-15,1.0322700127000981e-05,2.0007986658576726e-06
0.05,14,0.951229424500714,0.09516258196404048,0.0017942109017363135,0.04423306451915142,0.17927164732761816,0.2156356681335256,0.98413672894283,0.6924244321973774,1.3014697845256286e-15,1.3634934364829605e-05,0.0003156375443831294
0.05,15,0.951229424500714,0.09516258196404048,0.0014828112840841556,0.06639959887155578,0.14815762256070306,0.18838612878456043,0.9836079101405222,0.7901447659966829,8.528623511319512e-16,1.2777477111371888e-05,2.0760522529639225e-05
0.05,16,0.951229424500714,0.09516258196404048,0.008915896032278572,0.12110837868048312,0.8908469832401334,0.4386343747230938,0.9270081616790423,3.945200893923407,6.825304811843291e-16,1.1191708384545047e-05,0.0001808148146406896
0.05,17,0.951229424500714,0.09516258196404048,0.0012758675587536323,0.07752180998482344,0.12748048671886025,0.21432878022361093,0.9874787046563326,0.8134056645554062,5.250627738671829e-16,1.58049960041094e-05,2.3574288749994565e-06
0.05,18,0.951229424500714,0.09516258196404048,0.002267809821414059,0.06499706456495488,0.22659209244421324,0.3142752422542091,0.9495117283619279,1.3402753804925907,1.163950852754471e-15,1.3807835305913968e-05,7.236759213702197e-06
0.05,19,0.951229424500714,0.09516258196404048,0.0017062722706951917,0.05724723709331259,0.1704851087801033,0.24548288729563367,0.9800738402485434,0.9290619491473742,1.0500581079071482e-15,1.0259709465938945e-05,2.863248161411036e-05
0.05,20,0.951229424500714,0.09516258196404048,0.007112661558318507,0.04752041608134524,0.7106737302786599,0.4463926731068213,0.9136259499768647,2.844025605925187,1.0279105214961201e-15,7.744108720352092e-06,0.006212094796605339
0.05,21,0.951229424500714,0.09516258196404048,0.002354526789171733,0.05926232901260253,0.2352565664177746,0.25454849925477935,0.9683265768102519,1.4018657748421535,9.690303079820735e-16,1.7413885848176504e-05,4.283739734295411e-06
0.05,22,0.951229424500714,0.09516258196404048,0.0013640342425334953,0.034236601585470046,0.13628981154535263,0.20152234795585208,0.9885577331344212,0.7753080290600955,1.8897293215337173e-15,9.650081278130879e-06,1.7053689333579314e-05
0.05,23,0.951229424500714,0.09516258196404048,0.0018706348027214747,0.11130751877572839,0.186907671950785,0.2261662464983381,0.9935516703518101,0.8811407662225919,7.111514663151864e-16,1.284659449881729e-05,1.7295029090813596e-06
0.05,24,0.951229424500714,0.09516258196404048,0.0018249105046802547,0.05979737632151005,0.18233905060040975,0.20815206128305366,0.9907579872768953,0.759834242970302,1.382983950308851e-15,1.3739104471457728e-05,9.991186130431373e-06
0.05,25,0.951229424500714,0.09516258196404048,0.0022453548226905005,0.07152413003962817,0.2243484628864973,0.2142739005484969,0.9773406370289087,0.9680298406398586,1.3258179828582636e-15,9.451183011703487e-06,5.460901164378029e-06
0.05,26,0.951229424500714,0.09516258196404048,0.0015721786736984755,0.05114253328839445,0.15708691796183125,0.24259861222084322,0.9745385136488514,0.9476484627293138,1.1436540671036925e-15,1.3258667487068741e-05,1.741837007729341e-05
0.05,27,0.951229424500714,0.09516258196404048,0.005136931285080013,0.07834522466585483,0.5132652648548081,0.3446355353828842,0.9396432057385702,2.472713719362872,8.915702773988605e-16,8.779720196226896e-06,8.465409462382611e-05
0.05,28,0.951229424500714,0.09516258196404048,0.0013287316211461507,0.065629840730871,0.13276248982137479,0.22298333758411787,0.9865077302677144,0.8010580921179304,1.1708552421470334e-15,1.5537929368649242e-05,4.7811287586796425e-06
0.05,29,0.951229424500714,0.09516258196404048,0.006630779328952672,0.055381548114994905,0.6625256441240611,0.4642677072806007,0.9023258772604612,2.932991575742817,1.0590616055141413e-15,1.2053328921391642e-05,0.0005134778076236746
0.05,30,0.951229424500714,0.09516258196404048,0.0013861770452794912,0.0621353065890524,0.13850224750864093,0.18849397681555327,0.9865922348760134,0.6940676428466501,1.256877749530035e-15,1.0393377127333277e-05,8.882998678072518e-06
0.05,31,0.951229424500714,0.09516258196404048,0.003002716381313596,0.055505067193557446,0.30002153682980176,0.25418843147315223,0.9671548724184075,1.7841855055813662,1.1179340023450834e-15,1.0248776735313945e-05,4.471679452044963e-05
0.05,32,0.951229424500714,0.09516258196404048,0.0019463592117682812,0.06427670786057528,0.19447380564197714,0.2040824836902269,0.9948903763748985,0.808689302133788,1.2947146760762282e-15,1.3367595547820334e-05,3.3927637826947077e-06
0.05,33,0.951229424500714,0.09516258196404048,0.0011397143608839644,0.04205772410390621,0.11387650736091628,0.19275253612506396,0.983261073987321,0.7083013830857823,1.820475294272168e-15,1.7405277392581846e-05,3.784678214158177e-06
0.05,34,0.951229424500714,0.09516258196404048,0.0015880430692908785,0.049141507820425784,0.1586720361488598,0.2491393512265176,0.9810734334375356,0.8659413107566718,1.2605374244232362e-15,1.4573741795000206e-05,7.577314551365788e-06
0.05,35,0.951229424500714,0.09516258196404048,0.0013091461145460677,0.0200293850071035,0.13080557047117763,0.23952650876066897,0.973721110920059,0.7068049562607523,3.5032646848226424e-15,1.3018436976064485e-05,0.00043001461673819463
0.05,36,0.951229424500714,0.09516258196404048,0.008832935966936642,0.08279189988490653,0.8825578865894214,0.5610728926455726,0.8792301195453028,3.806624159495652,7.44736980232899e-16,1.237684133799109e-05,9.760893537880122e-05
0.05,37,0.951229424500714,0.09516258196404048,0.005649779747288569,0.03265027376344834,0.5645073950640218,0.39261775042448793,0.9333283070977185,2.1606240933743055,1.945122993914072e-15,5.17907034201497e-06,0.0023038194003506263
0.05,38,0.951229424500714,0.09516258196404048,0.001860327038668645,0.051455186645361285,0.18587775409652002,0.23973208338415064,0.9718089268456461,0.9128080584717956,1.5012094301001813e-15,1.1113133834693414e-05,2.583397035527124e-05
0.05,39,0.951229424500714,0.09516258196404048,0.003374025070153344,0.06321883336795603,0.3371214787880978,0.2808868640925176,0.9611950336463255,1.4635092638214031,8.726137670228528e-16,7.075508918321725e-06,9.568350996358443e-06
0.05,40,0.951229424500714,0.09516258196404048,0.0009588672261265819,0.027876749322841295,0.09580685694743313,0.21201821691527023,0.9793161024418416,0.7096136149971397,1.752616734807411e-15,1.8269917201620512e-05,3.3310072399483914e-05
0.05,41,0.951229424500714,0.09516258196404048,0.001294756962441858,0.04189661829383108,0.12936785375745508,0.19167294551020989,0.9908948516319405,0.8174074938050429,1.737335940639379e-15,1.1467464558785795e-05,1.3384730816801138e-05
0.05,42,0.951229424500714,0.09516258196404048,0.001706169816870507,0.07159167257720317,0.17047487193118632,0.2763003715436848,0.9638729303372577,1.062664158070586,1.0445383697695295e-15,1.6318871852738352e-05,1.0355515959736827e-05
0.05,43,0.951229424500714,0.09516258196404048,0.0018628602601395952,0.030786039986414545,0.1861308652473347,0.2667467027699286,0.9655189526833313,0.9985578422332103,2.121754142453141e-15,1.0951989532825797e-05,0.00015051599658910675
0.05,44,0.951229424500714,0.09516258196404048,0.0013043668951210263,0.05035307402204887,0.13032804659790365,0.178931943468796,0.9886262602555302,0.7420759265732171,1.1388788773022624e-15,1.2094082676555489e-05,1.3173187697668176e-05
0.05,45,0.951229424500714,0.09516258196404048,0.0023632710858185147,0.08464228394907286,0.23613026775526666,0.2168566217952091,0.977377323637193,1.3835899157723792,6.964573456645395e-16,1.012818311755367e-05,3.167714981877623e-06
0.05,46,0.951229424500714,0.09516258196404048,0.0017496196691138125,0.06721331192401149,0.17481623814418887,0.2483682012231279,0.9765680096621329,0.8942515600096472,1.0636533814904707e-15,1.1293602150048399e-05,1.0712428750503378e-05
0.05,47,0.951229424500714,0.09516258196404048,0.0017202222991139259,0.046318875348333205,0.1718789497006294,0.1997062956855822,0.9800147282680379,0.9885748101331953,1.96590492712081e-15,1.347852226403114e-05,1.586692630128894e-05
0.05,48,0.951229424500714,0.09516258196404048,0.0024167760178693065,0.05853095889274877,0.24147630444449608,0.28468917326772897,0.9644166877510467,1.3632939699416537,1.1575093172165586e-15,1.6117823351775005e-05,2.68819217317251e-05
0.05,49,0.951229424500714,0.09516258196404048,0.004118157103979997,0.038429391691808056,0.411472702161146,0.29632803667074764,0.9579150567505713,2.0396884629376424,2.1079072329920738e-15,6.377664078662419e-06,0.00026737067303161943
0.05,50,0.951229424500714,0.09516258196404048,0.0021953368879863407,0.05981519684272767,0.21935083549405274,0.2590133423668122,0.9662895525041335,1.1207171333705384,9.546647949780968e-16,1.1653547089585745e-05,1.0880811163960225e-05
0.05,51,0.951229424500714,0.09516258196404048,0.0013649649737909242,0.0408697362610781,0.13638280714892254,0.20108317443107043,0.9886964106051047,0.8629700579388184,2.2473177157168746e-15,1.3944098376005849e-05,7.246804915617133e-05
