t,rel_score_error_median,rel_score_error_q10,rel_score_error_q90,rel_score_error_max,p_rel_error_gt_0p1,cosine_median,posterior_mean_mse_median,grid_self_conv_median,legacy_artifact_median,legacy_artifact_max,identity_residual_max
0.05,0.24116534780249693,0.19153465902673097,0.3972194128543486,0.5610728926455726,1.0,0.975553261655492,0.001866747531430535,1.2059996589138902e-05,2.295705770433143e-05,0.006212094796605339,3.5032646848226424e-15
0.0725,0.18032731069741773,0.1396111691613692,0.3052919750862251,0.5654139898023609,1.0,0.9860870638907359,0.0019062937133417159,7.337771629239115e-06,1.753938449633452e-05,0.13805601126142975,2.2889479784643452e-15
0.1053,0.13998699050462926,0.1105262308268093,0.22021271221256886,0.39008384584613165,0.9833333333333333,0.9919450377450605,0.0019783750940756345,3.873170018305926e-06,4.130422765319386e-05,0.04151138350293371,3.807665189640397e-15
0.1527,0.09255904720038909,0.07702987681948081,0.1985325341973032,0.3084334291822069,0.38333333333333336,0.9964713340101162,0.0017376261553315273,1.7443484198482543e-06,0.00010978936841919695,0.010972966936019901,2.315859114691538e-15
0.2216,0.06789597501676542,0.049339533075353846,0.15321449132087941,0.4016064956859345,0.23333333333333334,0.9979669816798826,0.0015262041898664353,8.859284412189587e-07,0.00012298232127838649,0.06282736576599013,3.389153393616423e-15
0.3215,0.04568999832784734,0.033596529257689176,0.08405815812250157,0.27675541520201424,0.08333333333333333,0.999095488893109,0.0012595938810065705,4.907590896340151e-07,0.0004069401311697085,0.03145492847033404,5.009172837976906e-15
0.4665,0.02799888887007783,0.019288201357155785,0.06109216283076792,0.10901330959361122,0.016666666666666666,0.9996519271409867,0.0008605902135006599,3.618649958019338e-07,0.0023932783648541733,0.076148919332649,7.807872067386704e-15
0.6769,0.014987220538483993,0.011197230421856816,0.02474043636439871,0.10129536888752116,0.016666666666666666,0.9999072590264517,0.000510792452146859,2.9451995860001217e-07,0.005928377204340779,0.5997275100825683,1.707822235366787e-14
0.9821,0.00680055424314692,0.004865706262016417,0.00976967897691661,0.022539905633286766,0.0,0.9999795686379092,0.00022080145134949555,2.3091131501099986e-07,0.0958659955153591,4.934608345875088,3.397901725747192e-14
1.425,0.0019936594931282865,0.0014309742013866658,0.00458304389757212,0.015794815104361114,0.0,0.9999982218821539,6.071671873465329e-05,1.360629057721239e-07,0.28404467831855845,6.596031287951812,1.1008667700609584e-13
2.0676,0.0002478519428037498,0.00015809985897015017,0.00042019193423283176,0.001550270313034195,0.0,0.9999999719072202,3.4908882107438445e-06,4.6787690146453594e-08,0.19039818417047305,6.678221362792758,7.91049178631307e-13
3.0,7.299383890705377e-06,4.432190698695933e-06,1.8436127377108472e-05,5.07240291493276e-05,0.0,0.9999999999748481,1.810128658210186e-08,9.246602163646036e-09,0.013937970076484379,0.21687390881716145,3.599141625426926e-11
