regime,n_chains,rep,n_components,rho_raw,param_raw,rho_grid,param_grid,rho_err_raw,rho_err_grid,param_err_raw,param_err_grid,rho_grid_minus_raw,param_grid_minus_raw,exkurt_raw,exkurt_grid,raw_monotone_violation
gaussian,64,0,0,0.8395990333301295,0.27956991448405566,0.8393689968282435,0.28002732987030754,-0.010400966669870448,-0.01063100317175647,0.0020699144840555794,0.00252732987030746,-0.00023003650188602176,0.0004574153862518804,nan,nan,nan
mixture,64,0,8,0.8706124575859995,0.28418124296670416,0.8692976952892413,0.28465112842643736,0.0206124575859995,0.0192976952892413,0.006681242966704082,0.007151128426437281,-0.0013147622967581984,0.0004698854597331992,3.167615962377753,3.2315704299858767,0.0
gaussian,64,1,0,0.8628254338192467,0.27992203816322314,0.8626147282695276,0.28038250484811944,0.012825433819246723,0.012614728269527586,0.0024220381632230614,0.0028825048481193605,-0.0002107055497191368,0.00046046668489629905,nan,nan,nan
mixture,64,1,8,0.8511408328477494,0.2638001823315972,0.850947050026544,0.26426432064776384,0.0011408328477494623,0.0009470500265440496,-0.013699817668402892,-0.01323567935223624,-0.00019378282120541268,0.00046413831616665124,3.718324975897988,3.738461074385196,0.0
gaussian,64,2,0,0.8665439311228782,0.2811323305281026,0.8663336986073967,0.2815992415963227,0.01654393112287822,0.01633369860739675,0.003632330528102523,0.004099241596322634,-0.0002102325154814677,0.0004669110682201105,nan,nan,nan
mixture,64,2,8,0.8492676035558128,0.25731332384274846,0.8503993036689784,0.2577506419246105,-0.0007323964441872111,0.0003993036689784457,-0.020186676157251615,-0.019749358075389578,0.0011317001131656568,0.000437318081862037,2.8101629557367387,2.831807337519037,0.0
gaussian,64,3,0,0.851769615600974,0.28481227184912705,0.8515446454033819,0.28527417040720865,0.001769615600973995,0.0015446454033819501,0.007312271849126972,0.007774170407208569,-0.00022497019759204484,0.0004618985580815971,nan,nan,nan
mixture,64,3,8,0.8644572754517709,0.2698210767546777,0.8662847407245632,0.27027898544054385,0.01445727545177089,0.016284740724563207,-0.007678923245322378,-0.007221014559456229,0.0018274652727923169,0.0004579086858661485,1.7506793715084976,1.7589025231488273,0.0
gaussian,64,4,0,0.8629800449076956,0.2729514212261642,0.8627675768220434,0.273421804694236,0.012980044907695665,0.012767576822043436,-0.004548578773835854,-0.004078195305764087,-0.00021246808565222874,0.0004703834680717667,nan,nan,nan
mixture,64,4,8,0.8558057752861654,0.2792678324162335,0.8557481056640193,0.279738626657804,0.005805775286165438,0.005748105664019287,0.0017678324162334058,0.0022386266578039438,-5.7669622146150346e-05,0.00047079424157053795,2.9390703523791837,2.9521611138106483,0.0
gaussian,64,5,0,0.8562280073289243,0.27990044065837955,0.856003282735286,0.28035942623799337,0.006228007328924368,0.006003282735286053,0.0024004406583794657,0.00285942623799329,-0.00022472459363831465,0.00045898557961382425,nan,nan,nan
mixture,64,5,8,0.8502257373418322,0.29231848849228426,0.8498263976525054,0.2927847934781484,0.0002257373418321773,-0.00017360234749452808,0.014818488492284176,0.015284793478148317,-0.0003993396893267054,0.00046630498586414104,2.9409521155093197,2.8369600935411228,0.0
gaussian,64,6,0,0.8582937162272173,0.2863992289718577,0.858079026853492,0.2868650924540219,0.008293716227217307,0.008079026853492044,0.008899228971857631,0.00936509245402184,-0.0002146893737252631,0.00046586348216420825,nan,nan,nan
mixture,64,6,8,0.8295846257368386,0.27312757270537646,0.8287342508949735,0.2735948733033255,-0.020415374263161423,-0.021265749105026432,-0.004372427294623615,-0.003905126696674588,-0.0008503748418650092,0.00046730059794902745,2.3327493337980147,2.294312231107396,0.0
gaussian,64,7,0,0.8598112724463229,0.2788145878587928,0.8595981022173325,0.2792652929229627,0.00981127244632296,0.009598102217332483,0.0013145878587927373,0.0017652929229626246,-0.000213170228990478,0.0004507050641698873,nan,nan,nan
mixture,64,7,8,0.8491031231239807,0.2754221719321083,0.8489387858420572,0.2758849276061884,-0.000896876876019248,-0.0010612141579428025,-0.002077828067891807,-0.0016150723938117006,-0.00016433728192355446,0.00046275567408010643,3.2803028882931695,3.2943745923745142,0.0
gaussian,64,8,0,0.8524578132217494,0.29662650047123845,0.8522384523041012,0.29709161735294637,0.0024578132217494275,0.002238452304101246,0.019126500471238372,0.01959161735294629,-0.00021936091764818144,0.00046511688170791654,nan,nan,nan
mixture,64,8,8,0.8618358731708887,0.28321722513445413,0.8606871173033129,0.2836417995435557,0.011835873170888744,0.010687117303312954,0.0057172251344540514,0.006141799543555593,-0.0011487558675757903,0.0004245744091015413,1.8179401826160593,1.7816947535817995,0.0
gaussian,64,9,0,0.8485020866715848,0.2717799937916829,0.8482716589911407,0.27224712776360904,-0.0014979133284152013,-0.0017283410088593243,-0.0057200062083171965,-0.005252872236391037,-0.00023042768044412298,0.00046713397192615913,nan,nan,nan
mixture,64,9,8,0.8480820591501289,0.2574021585512794,0.8436967793502393,0.25784343415094163,-0.0019179408498710693,-0.0063032206497606325,-0.020097841448720677,-0.01965656584905845,-0.004385279799889563,0.0004412755996622275,4.463283412613748,5.388734588268823,0.0
gaussian,64,10,0,0.8339673205964027,0.2647379365621088,0.8337190148848022,0.2651988030981774,-0.016032679403597316,-0.01628098511519782,-0.012762063437891269,-0.012301196901822686,-0.00024830571160050496,0.00046086653606858263,nan,nan,nan
mixture,64,10,8,0.8465046364681997,0.270308581507618,0.8459170791620866,0.27077934678135585,-0.003495363531800244,-0.004082920837913395,-0.0071914184923820845,-0.006720653218644235,-0.0005875573061131512,0.0004707652737378498,2.8364522407029282,2.832594100907051,0.0
gaussian,64,11,0,0.8584406616810728,0.26860809224670007,0.8582245053256533,0.2690718864857847,0.008440661681072825,0.00822450532565333,-0.00889190775330001,-0.008428113514215407,-0.00021615635541949452,0.0004637942390846028,nan,nan,nan
mixture,64,11,8,0.8267084673129189,0.2803707735406416,0.826218766332854,0.2808027395068576,-0.023291532687081062,-0.023781233667146018,0.0028707735406415247,0.0033027395068574994,-0.0004897009800649554,0.0004319659662159747,2.968930609371137,3.211833428387603,0.0
gaussian,64,12,0,0.8516597760124979,0.27763275605816623,0.8514329282442227,0.2780920136389086,0.0016597760124978933,0.0014329282442226976,0.00013275605816615021,0.0005920136389085395,-0.0002268477682751957,0.0004592575807423893,nan,nan,nan
mixture,64,12,8,0.8589456316088719,0.2832944393114944,0.8589801499031307,0.28375861629963306,0.008945631608871962,0.008980149903130674,0.005794439311494315,0.00625861629963298,3.451829425871189e-05,0.0004641769881386648,2.810768561669649,2.7536051452706083,0.0
gaussian,64,13,0,0.8624404895921339,0.26151957196794107,0.8622187678008891,0.26198138293908335,0.012440489592133952,0.012218767800889152,-0.015980428032059013,-0.015518617060916728,-0.00022172179124479996,0.00046181097114228464,nan,nan,nan
mixture,64,13,8,0.8519894603290544,0.2548692999238739,0.851931278510052,0.25532830816651114,0.001989460329054449,0.0019312785100520369,-0.022630700076126165,-0.022171691833488938,-5.818181900241193e-05,0.0004590082426372266,2.654455811056553,2.6220582178379264,0.0
gaussian,64,14,0,0.8446333349128347,0.30126848066582923,0.8444238340910528,0.30172929764362416,-0.005366665087165323,-0.005576165908947162,0.02376848066582915,0.02422929764362408,-0.00020950082178183838,0.00046081697779493114,nan,nan,nan
mixture,64,14,8,0.8476396168457121,0.2635883494384702,0.8476440102087497,0.2640412415574953,-0.0023603831542878817,-0.0023559897912502903,-0.013911650561529876,-0.01345875844250477,4.3933630375914134e-06,0.0004528921190251056,6.604708794914082,7.1088503174557545,0.0
gaussian,64,15,0,0.8453835226851967,0.28654411922418577,0.8451575766164161,0.2869979129525016,-0.004616477314803302,-0.0048424233835838715,0.009044119224185687,0.00949791295250152,-0.00022594606878056922,0.0004537937283158322,nan,nan,nan
mixture,64,15,8,0.8460983561572705,0.30523430438204996,0.8443076886791117,0.30570291117043336,-0.0039016438427295075,-0.005692311320888321,0.02773430438204988,0.028202911170433276,-0.0017906674781588139,0.00046860678838339664,2.707483206362463,2.72840256591713,0.0
gaussian,64,16,0,0.8538150040519117,0.27924564497450477,0.8536095294851114,0.27969704275874335,0.003815004051911708,0.0036095294851113957,0.0017456449745046898,0.002197042758743273,-0.00020547456680031218,0.000451397784238583,nan,nan,nan
mixture,64,16,8,0.860994971027407,0.26441295629124684,0.8606367952104688,0.2648752998019812,0.010994971027406986,0.010636795210468786,-0.013087043708753243,-0.012624700198018868,-0.0003581758169381999,0.0004623435107343754,2.35629155632843,2.5256785963219803,0.0
gaussian,64,17,0,0.8534507819273015,0.276952830774712,0.8532192268470418,0.27740589871561644,0.0034507819273015272,0.0032192268470417895,-0.00054716922528808,-9.410128438364085e-05,-0.0002315550802597377,0.00045306794090443914,nan,nan,nan
mixture,64,17,8,0.8453922899249183,0.3078490682544777,0.845753663612223,0.30829155580255213,-0.00460771007508165,-0.004246336387776939,0.03034906825447764,0.03079155580255205,0.0003613736873047113,0.0004424875480744106,2.5026549105955054,2.674851907113511,0.0
gaussian,64,18,0,0.8599046735625183,0.2676101797885919,0.8596870367761418,0.2680723213790095,0.00990467356251834,0.0096870367761418,-0.009889820211408162,-0.009427678620990587,-0.0002176367863765405,0.0004621415904175752,nan,nan,nan
mixture,64,18,8,0.8586066841933068,0.2604871202595135,0.8603503825344725,0.2609862812742108,0.00860668419330679,0.010350382534472513,-0.017012879740486597,-0.016513718725789273,0.0017436983411657225,0.0004991610146973247,2.090878206453839,2.0775618799014968,0.0
