arm,n_chains,rep,rho_err,q_err,rho_fitted,q_fitted
clean,64,0,-0.01063100317175647,0.00252732987030746,0.8393689968282435,0.28002732987030754
noised,64,0,0.0014187952476115706,-0.024105372665366498,0.8514187952476115,0.2533946273346336
clean,64,1,0.012614728269527586,0.0028825048481193605,0.8626147282695276,0.28038250484811944
noised,64,1,-0.014149120313692642,0.03916696197842995,0.8358508796863073,0.31666696197843003
clean,64,2,0.01633369860739675,0.004099241596322634,0.8663336986073967,0.2815992415963227
noised,64,2,0.022088662681313598,-0.003684756913450382,0.8720886626813136,0.2738152430865497
clean,128,0,-0.004367382900771655,0.004003434633231773,0.8456326170992283,0.28150343463323185
noised,128,0,-0.007134655533718837,-0.0015204026840905382,0.8428653444662811,0.27597959731590954
clean,128,1,0.005522268931682395,0.0017119297038527548,0.8555222689316824,0.27921192970385283
noised,128,1,0.0026253521482484388,0.015488108933117306,0.8526253521482484,0.2929881089331174
clean,128,2,-0.016066723039979913,-0.0029953340736995626,0.8339332769600201,0.2745046659263005
noised,128,2,-0.010600346638054425,1.2557194707829566e-05,0.8393996533619456,0.2775125571947079
clean,256,0,0.00697728020642463,-0.0004206524266053835,0.8569772802064246,0.2770793475733947
noised,256,0,0.004244814663375451,-0.008809190356601326,0.8542448146633754,0.26869080964339875
clean,256,1,-0.011811598190511474,-0.004516979644977714,0.8381884018094885,0.27298302035502237
noised,256,1,-0.013453758530278859,0.007499361783019853,0.8365462414697211,0.28499936178301993
clean,256,2,0.00030412036422422517,-0.006239081583403139,0.8503041203642242,0.27126091841659694
noised,256,2,0.0070961848783438475,-0.02510243209908669,0.8570961848783438,0.2523975679009134
clean,512,0,-0.005816488741687609,-0.003502595459570934,0.8441835112583124,0.27399740454042915
noised,512,0,0.00288648888453813,-0.015922837035756587,0.8528864888845381,0.2615771629642435
clean,512,1,0.00195846991526083,0.0035869812921741073,0.8519584699152608,0.2810869812921742
noised,512,1,-0.00515443674489624,0.013579066277067953,0.8448455632551037,0.29107906627706803
clean,512,2,-0.0016027734046610842,0.0035735983007297856,0.8483972265953389,0.28107359830072987
noised,512,2,-0.006775479576081711,0.012208081813806504,0.8432245204239183,0.2897080818138066
clean,1024,0,0.0009327185211939204,0.005385461334207364,0.8509327185211939,0.28288546133420744
noised,1024,0,0.004559400110006218,-0.0013146094359255955,0.8545594001100062,0.2761853905640745
clean,1024,1,0.00015601339378834567,-0.0006029254149930163,0.8501560133937883,0.27689707458500706
noised,1024,1,-0.0036716528149930427,0.006150160215347644,0.8463283471850069,0.2836501602153477
clean,1024,2,-0.003386798538519198,-0.0004605755341883233,0.8466132014614808,0.27703942446581176
noised,1024,2,-0.002546930469793929,-0.007070413538989018,0.847453069530206,0.27042958646101106
