arm,n_chains,rep,n_components,rho_fitted,innovation_mean,innovation_var,innovation_excess_kurtosis,score_rel_l2_t0.2,score_rel_l2_t0.8
clean,64,0,8,0.8692976952892413,-0.009819500799408685,0.28465112842643736,3.2315704299858767,0.019896492487815613,0.022225362765077753
noised,64,0,8,0.8653375173452328,0.0008729639144396566,0.28428888502053784,3.322125325375019,0.036997961287938884,0.020084092127560915
clean,64,1,8,0.850947050026544,0.010813674942652297,0.26426432064776384,3.738461074385196,0.025036272841132273,0.012449723023327834
noised,64,1,8,0.8550863809350888,0.010640825896110753,0.22964113494935248,2.7544905039786114,0.053962641393792574,0.02621733906033743
clean,64,2,8,0.8503993036689784,-0.014640899897032211,0.2577506419246105,2.831807337519037,0.02390072389496137,0.017767222280763103
noised,64,2,8,0.853941677371627,-0.011435580875956796,0.24445574094932193,2.4230972098840455,0.04444217625404082,0.020988919477614956
clean,128,0,8,0.8529174657377253,0.0004295216824654023,0.2698653287059297,2.8929923415380667,0.008779996323618767,0.0029803380621634384
noised,128,0,8,0.8527738805156213,-0.004582364831397293,0.275678943462483,2.3760450371773683,0.03823995733740306,0.010418597869955498
clean,128,1,8,0.856933429976812,-0.007783579455068409,0.28011780126233143,2.901385565954608,0.01643349307514402,0.010602338601734027
noised,128,1,8,0.8562367635442119,-0.00977624310822264,0.27963100052323264,4.1745280326986896,0.03226376684532542,0.014149387896988063
clean,128,2,8,0.8483033783489289,-0.005775784896297169,0.293476381656759,2.3644317994543576,0.0223955814575392,0.009090029948349211
noised,128,2,8,0.8504828135511417,-0.008027475377094934,0.2672706241618087,2.2783975946587995,0.023077414737731314,0.010353187798984146
clean,256,0,8,0.849816473058301,-0.0005966216000885198,0.2787866255475896,2.834074815577897,0.011710005580062617,0.0037529143753101254
noised,256,0,8,0.8526427743589373,0.0007867694114194382,0.2710571587993915,2.024351657471132,0.03796055040926237,0.006798415836867133
clean,256,1,8,0.851150920246113,-0.0027404115707049866,0.29056383930812935,2.8512195134726275,0.014782838515688325,0.007847605529015126
noised,256,1,8,0.8480762645753882,-0.004363018293895855,0.2850429973654676,2.177424308963026,0.02043502120826536,0.006001188029088049
clean,256,2,8,0.8554882803443389,-0.005528180272844609,0.2787502569733052,3.092396943380768,0.00780918341755101,0.007346781869836719
noised,256,2,8,0.8589782311564212,-0.004362674209880219,0.28024012143963273,2.7109772174460005,0.017952441538081707,0.01057837400512054
clean,512,0,8,0.8466635479446426,0.00012900900627453105,0.28226371901240604,3.1964035774995523,0.009277801298307334,0.003177046033911001
noised,512,0,8,0.838226738419847,0.0003613386562686959,0.2784105296138565,3.1618967177969406,0.02170143007488897,0.011465195789846118
clean,512,1,8,0.8469219506322277,0.0024370841756686397,0.2762417066626163,3.165080813453887,0.006450929188084289,0.004202533761824271
noised,512,1,8,0.8501559414579022,-0.0006653340388162626,0.2697320983478206,3.076819629921726,0.014565375563492312,0.004652510328963987
clean,512,2,8,0.8520640187191674,-0.007401051783522085,0.2761255724669101,2.9975701715595875,0.005473684620861991,0.006763424079033226
noised,512,2,8,0.8474122787238589,-0.01059163878942865,0.2837110916709904,2.7286354908705563,0.017443969658895348,0.009994293440029518
clean,1024,0,8,0.8538108373024581,0.00226251473966368,0.2805705474941514,3.004482838910361,0.005153349525226934,0.005420687839845575
noised,1024,0,8,0.8584719490204056,0.0018684738658842094,0.27866824080535657,2.648261965406676,0.013546175057029116,0.00930779120700113
clean,1024,1,8,0.8482231789532209,-0.002319754236490021,0.2746186742553637,2.7550386920850736,0.0053037975802555995,0.003866735624711657
noised,1024,1,8,0.8492308236683863,-0.002830707132590456,0.2687793465572104,3.001971241598522,0.01893551337491463,0.00803037118383254
clean,1024,2,8,0.8454698687730928,0.0042594649123272104,0.2807378257238146,2.9389552348060217,0.006618774871020861,0.005024178468960217
noised,1024,2,8,0.838444551011736,0.0028338471326323318,0.2902067144706977,2.930809789519116,0.019152062108426824,0.008282997674564047
